"LAWAID","Parameter","Altitude","Landuse","TrendScore","TrendFrequency","TrendPeriod"
"arc-00074","TP","Upland","Urban",1,"monthly",15
"arc-00074","BDISC","Upland","Urban",-99,"unassessed",15
"arc-00074","TURB","Upland","Urban",-1,"monthly",15
"arc-00004","NH4","Lowland","Urban",-99,"monthly",15
"arc-00004","ECOLI","Lowland","Urban",1,"quarterly",15
"arc-00004","DRP","Lowland","Urban",2,"monthly",15
"arc-00004","TN","Lowland","Urban",-99,"unassessed",15
"arc-00004","TON","Lowland","Urban",2,"monthly",15
"arc-00004","TP","Lowland","Urban",2,"monthly",15
"arc-00004","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00004","TURB","Lowland","Urban",2,"monthly",15
"arc-00013","NH4","Lowland","Rural",2,"monthly",15
"arc-00013","ECOLI","Lowland","Rural",2,"quarterly",15
"arc-00013","DRP","Lowland","Rural",-99,"quarterly",15
"arc-00013","TN","Lowland","Rural",-99,"unassessed",15
"arc-00013","TON","Lowland","Rural",1,"quarterly",15
"arc-00013","TP","Lowland","Rural",2,"quarterly",15
"arc-00013","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00013","TURB","Lowland","Rural",2,"quarterly",15
"arc-00036","NH4","Lowland","Urban",-99,"unassessed",15
"arc-00036","ECOLI","Lowland","Urban",-99,"unassessed",15
"arc-00036","DRP","Lowland","Urban",-99,"unassessed",15
"arc-00036","TN","Lowland","Urban",-99,"unassessed",15
"arc-00036","TON","Lowland","Urban",-99,"unassessed",15
"arc-00036","TP","Lowland","Urban",-99,"unassessed",15
"arc-00036","BDISC","Lowland","Urban",-99,NA,15
"arc-00036","TURB","Lowland","Urban",-99,"unassessed",15
"arc-00010","NH4","Lowland","Urban",2,"monthly",15
"arc-00010","ECOLI","Lowland","Urban",2,"quarterly",15
"arc-00010","DRP","Lowland","Urban",2,"monthly",15
"arc-00010","TN","Lowland","Urban",-99,"unassessed",15
"arc-00010","TON","Lowland","Urban",2,"monthly",15
"arc-00010","TP","Lowland","Urban",2,"monthly",15
"arc-00010","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00010","TURB","Lowland","Urban",0,"monthly",15
"arc-00016","NH4","Lowland","Urban",2,"monthly",15
"arc-00016","ECOLI","Lowland","Urban",1,"quarterly",15
"arc-00016","DRP","Lowland","Urban",2,"monthly",15
"arc-00016","TN","Lowland","Urban",-99,"unassessed",15
"arc-00016","TON","Lowland","Urban",2,"monthly",15
"arc-00016","TP","Lowland","Urban",2,"monthly",15
"arc-00016","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00016","TURB","Lowland","Urban",-1,"monthly",15
"arc-00015","NH4","Lowland","Urban",2,"monthly",15
"arc-00015","ECOLI","Lowland","Urban",2,"monthly",15
"arc-00015","DRP","Lowland","Urban",2,"monthly",15
"arc-00015","TN","Lowland","Urban",-99,"unassessed",15
"arc-00015","TON","Lowland","Urban",2,"monthly",15
"arc-00015","TP","Lowland","Urban",2,"monthly",15
"arc-00015","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00015","TURB","Lowland","Urban",2,"monthly",15
"arc-00019","NH4","Lowland","Urban",-2,"monthly",15
"arc-00019","ECOLI","Lowland","Urban",1,"monthly",15
"arc-00019","DRP","Lowland","Urban",-2,"monthly",15
"arc-00019","TN","Lowland","Urban",-99,"unassessed",15
"arc-00019","TON","Lowland","Urban",-2,"monthly",15
"arc-00019","TP","Lowland","Urban",-1,"monthly",15
"arc-00019","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00019","TURB","Lowland","Urban",-2,"monthly",15
"arc-00018","NH4","Lowland","Urban",2,"monthly",15
"arc-00018","ECOLI","Lowland","Urban",0,"monthly",15
"arc-00018","DRP","Lowland","Urban",2,"monthly",15
"arc-00018","TN","Lowland","Urban",-99,"unassessed",15
"arc-00018","TON","Lowland","Urban",-2,"monthly",15
"arc-00018","TP","Lowland","Urban",2,"monthly",15
"arc-00018","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00018","TURB","Lowland","Urban",2,"monthly",15
"arc-00014","NH4","Lowland","Urban",-2,"monthly",15
"arc-00014","ECOLI","Lowland","Urban",-2,"monthly",15
"arc-00014","DRP","Lowland","Urban",0,"monthly",15
"arc-00014","TN","Lowland","Urban",-99,"unassessed",15
"arc-00014","TON","Lowland","Urban",-2,"monthly",15
"arc-00014","TP","Lowland","Urban",-1,"monthly",15
"arc-00014","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00014","TURB","Lowland","Urban",-1,"monthly",15
"arc-00034","NH4","Lowland","Urban",-99,"unassessed",15
"arc-00034","ECOLI","Lowland","Urban",-99,"unassessed",15
"arc-00034","DRP","Lowland","Urban",-99,"unassessed",15
"arc-00034","TN","Lowland","Urban",-99,"unassessed",15
"arc-00034","TON","Lowland","Urban",-99,"unassessed",15
"arc-00034","TP","Lowland","Urban",-99,"unassessed",15
"arc-00034","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00034","TURB","Lowland","Urban",-99,"unassessed",15
"arc-00090","NH4","Lowland","Forest",2,"monthly",15
"arc-00090","ECOLI","Lowland","Forest",2,"quarterly",15
"arc-00090","DRP","Lowland","Forest",2,"monthly",15
"arc-00090","TN","Lowland","Forest",-99,"unassessed",15
"arc-00090","TON","Lowland","Forest",2,"monthly",15
"arc-00090","TP","Lowland","Forest",2,"monthly",15
"arc-00090","BDISC","Lowland","Forest",-99,"unassessed",15
"arc-00090","TURB","Lowland","Forest",2,"monthly",15
"arc-00030","NH4","Upland","Forest",-99,"unassessed",15
"arc-00030","ECOLI","Upland","Forest",-99,NA,15
"arc-00030","DRP","Upland","Forest",-99,"unassessed",15
"arc-00030","TN","Upland","Forest",-99,"unassessed",15
"arc-00030","TON","Upland","Forest",-99,"unassessed",15
"arc-00030","TP","Upland","Forest",-99,"unassessed",15
"arc-00030","BDISC","Upland","Forest",-99,NA,15
"arc-00030","TURB","Upland","Forest",-99,"unassessed",15
"arc-00028","NH4","Lowland","Rural",-99,"unassessed",15
"arc-00028","ECOLI","Lowland","Rural",-99,"unassessed",15
"arc-00028","DRP","Lowland","Rural",-99,"unassessed",15
"arc-00028","TN","Lowland","Rural",-99,"unassessed",15
"arc-00028","TON","Lowland","Rural",-99,"unassessed",15
"arc-00028","TP","Lowland","Rural",-99,"unassessed",15
"arc-00028","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00028","TURB","Lowland","Rural",-99,"unassessed",15
"arc-00022","NH4","Lowland","Urban",2,"monthly",15
"arc-00022","ECOLI","Lowland","Urban",1,"quarterly",15
"arc-00022","DRP","Lowland","Urban",2,"monthly",15
"arc-00022","TN","Lowland","Urban",-99,"unassessed",15
"arc-00022","TON","Lowland","Urban",2,"monthly",15
"arc-00022","TP","Lowland","Urban",2,"monthly",15
"arc-00022","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00022","TURB","Lowland","Urban",2,"monthly",15
"arc-00079","NH4","Lowland","Urban",2,"monthly",15
"arc-00079","ECOLI","Lowland","Urban",1,"quarterly",15
"arc-00079","DRP","Lowland","Urban",2,"monthly",15
"arc-00079","TN","Lowland","Urban",-99,"unassessed",15
"arc-00079","TON","Lowland","Urban",2,"monthly",15
"arc-00079","TP","Lowland","Urban",2,"monthly",15
"arc-00079","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00079","TURB","Lowland","Urban",2,"monthly",15
"arc-00009","NH4","Lowland","Rural",2,"monthly",15
"arc-00009","ECOLI","Lowland","Rural",2,"quarterly",15
"arc-00009","DRP","Lowland","Rural",-99,"monthly",15
"arc-00009","TN","Lowland","Rural",-99,"unassessed",15
"arc-00009","TON","Lowland","Rural",-2,"monthly",15
"arc-00009","TP","Lowland","Rural",2,"monthly",15
"arc-00009","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00009","TURB","Lowland","Rural",-2,"monthly",15
"arc-00021","NH4","Lowland","Urban",2,"monthly",15
"arc-00021","ECOLI","Lowland","Urban",2,"quarterly",15
"arc-00021","DRP","Lowland","Urban",2,"monthly",15
"arc-00021","TN","Lowland","Urban",-99,"unassessed",15
"arc-00021","TON","Lowland","Urban",2,"monthly",15
"arc-00021","TP","Lowland","Urban",2,"monthly",15
"arc-00021","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00021","TURB","Lowland","Urban",0,"monthly",15
"arc-00001","NH4","Upland","Forest",-99,"quarterly",15
"arc-00001","ECOLI","Upland","Forest",-99,"unassessed",15
"arc-00001","DRP","Upland","Forest",1,"quarterly",15
"arc-00001","TN","Upland","Forest",-99,"unassessed",15
"arc-00001","TON","Upland","Forest",-99,"quarterly",15
"arc-00001","TP","Upland","Forest",2,"quarterly",15
"arc-00001","BDISC","Upland","Forest",-99,"unassessed",15
"arc-00001","TURB","Upland","Forest",1,"quarterly",15
"arc-00003","NH4","Lowland","Urban",-99,"quarterly",15
"arc-00003","ECOLI","Lowland","Urban",2,"quarterly",15
"arc-00003","DRP","Lowland","Urban",2,"quarterly",15
"arc-00003","TN","Lowland","Urban",-99,"unassessed",15
"arc-00003","TON","Lowland","Urban",2,"quarterly",15
"arc-00003","TP","Lowland","Urban",2,"quarterly",15
"arc-00003","BDISC","Lowland","Urban",-99,"unassessed",15
"arc-00003","TURB","Lowland","Urban",2,"quarterly",15
"arc-00031","NH4","Lowland","Forest",-99,"unassessed",15
"arc-00031","ECOLI","Lowland","Forest",-99,"unassessed",15
"arc-00031","DRP","Lowland","Forest",-99,"unassessed",15
"arc-00031","TN","Lowland","Forest",-99,"unassessed",15
"arc-00031","TON","Lowland","Forest",-99,"unassessed",15
"arc-00031","TP","Lowland","Forest",-99,"unassessed",15
"arc-00031","BDISC","Lowland","Forest",-99,"unassessed",15
"arc-00031","TURB","Lowland","Forest",-99,"unassessed",15
"arc-00057","NH4","Lowland","Rural",-99,"unassessed",15
"arc-00057","ECOLI","Lowland","Rural",-99,"unassessed",15
"arc-00057","DRP","Lowland","Rural",-99,"unassessed",15
"arc-00057","TN","Lowland","Rural",-99,"unassessed",15
"arc-00057","TON","Lowland","Rural",-99,"unassessed",15
"arc-00057","TP","Lowland","Rural",-99,"unassessed",15
"arc-00057","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00057","TURB","Lowland","Rural",-99,"unassessed",15
"arc-00035","NH4","Lowland","Rural",-99,"unassessed",15
"arc-00035","ECOLI","Lowland","Rural",-99,"unassessed",15
"arc-00035","DRP","Lowland","Rural",-99,"unassessed",15
"arc-00035","TN","Lowland","Rural",-99,"unassessed",15
"arc-00035","TON","Lowland","Rural",-99,"unassessed",15
"arc-00035","TP","Lowland","Rural",-99,"unassessed",15
"arc-00035","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00035","TURB","Lowland","Rural",-99,"unassessed",15
"arc-00033","NH4","Lowland","Rural",-99,"unassessed",15
"arc-00033","ECOLI","Lowland","Rural",-99,"unassessed",15
"arc-00033","DRP","Lowland","Rural",-99,"unassessed",15
"arc-00033","TN","Lowland","Rural",-99,"unassessed",15
"arc-00033","TON","Lowland","Rural",-99,"unassessed",15
"arc-00033","TP","Lowland","Rural",-99,"unassessed",15
"arc-00033","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00033","TURB","Lowland","Rural",-99,"unassessed",15
"nrwqn-00002","NH4","Lowland","Rural",-99,"monthly",15
"nrwqn-00002","ECOLI","Lowland","Rural",0,"monthly",15
"nrwqn-00002","DRP","Lowland","Rural",2,"monthly",15
"nrwqn-00002","TN","Lowland","Rural",1,"monthly",15
"nrwqn-00002","TON","Lowland","Rural",-99,"unassessed",15
"nrwqn-00002","TP","Lowland","Rural",2,"monthly",15
"nrwqn-00002","BDISC","Lowland","Rural",2,"monthly",15
"nrwqn-00002","TURB","Lowland","Rural",2,"monthly",15
"arc-00039","NH4","Upland","Rural",-99,"unassessed",15
"arc-00039","ECOLI","Upland","Rural",-99,"unassessed",15
"arc-00039","DRP","Upland","Rural",-99,"unassessed",15
"arc-00039","TN","Upland","Rural",-99,"unassessed",15
"arc-00039","TON","Upland","Rural",-99,"unassessed",15
"arc-00039","TP","Upland","Rural",-99,"unassessed",15
"arc-00039","BDISC","Upland","Rural",-99,NA,15
"arc-00039","TURB","Upland","Rural",-99,"unassessed",15
"arc-00040","NH4","Upland","Rural",-99,"unassessed",15
"arc-00040","ECOLI","Upland","Rural",-99,"unassessed",15
"arc-00040","DRP","Upland","Rural",-99,"unassessed",15
"arc-00040","TN","Upland","Rural",-99,"unassessed",15
"arc-00040","TON","Upland","Rural",-99,"unassessed",15
"arc-00040","TP","Upland","Rural",-99,"unassessed",15
"arc-00040","BDISC","Upland","Rural",-99,NA,15
"arc-00040","TURB","Upland","Rural",-99,"unassessed",15
"arc-00029","NH4","Lowland","Rural",-99,"unassessed",15
"arc-00029","ECOLI","Lowland","Rural",-99,"unassessed",15
"arc-00029","DRP","Lowland","Rural",-99,"unassessed",15
"arc-00029","TN","Lowland","Rural",-99,"unassessed",15
"arc-00029","TON","Lowland","Rural",-99,"unassessed",15
"arc-00029","TP","Lowland","Rural",-99,"unassessed",15
"arc-00029","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00029","TURB","Lowland","Rural",-99,"unassessed",15
"lawa-102239","NH4","Lowland","Rural",-99,"unassessed",15
"lawa-102239","ECOLI","Lowland","Rural",-99,"unassessed",15
"lawa-102239","DRP","Lowland","Rural",-99,"unassessed",15
"lawa-102239","TN","Lowland","Rural",-99,"unassessed",15
"lawa-102239","TON","Lowland","Rural",-99,"unassessed",15
"lawa-102239","TP","Lowland","Rural",-99,"unassessed",15
"lawa-102239","BDISC","Lowland","Rural",-99,NA,15
"lawa-102239","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00027","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00027","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00027","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00027","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00027","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00027","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00027","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00027","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00026","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00026","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00026","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00026","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00026","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00026","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00026","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00026","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00005","NH4","Lowland","Rural",-2,"quarterly",15
"ebop-00005","ECOLI","Lowland","Rural",1,"quarterly",15
"ebop-00005","DRP","Lowland","Rural",0,"quarterly",15
"ebop-00005","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00005","TON","Lowland","Rural",-2,"quarterly",15
"ebop-00005","TP","Lowland","Rural",-2,"quarterly",15
"ebop-00005","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00005","TURB","Lowland","Rural",2,"quarterly",15
"ebop-00033","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00033","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00033","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00033","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00033","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00033","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00033","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00033","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00032","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00032","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00032","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00032","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00032","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00032","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00032","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00032","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00037","NH4","Lowland","Forest",-99,"unassessed",15
"ebop-00037","ECOLI","Lowland","Forest",1,"quarterly",15
"ebop-00037","DRP","Lowland","Forest",-99,"unassessed",15
"ebop-00037","TN","Lowland","Forest",-99,"unassessed",15
"ebop-00037","TON","Lowland","Forest",-99,"unassessed",15
"ebop-00037","TP","Lowland","Forest",-99,"unassessed",15
"ebop-00037","BDISC","Lowland","Forest",-99,"unassessed",15
"ebop-00037","TURB","Lowland","Forest",-99,"unassessed",15
"ebop-00006","NH4","Lowland","Urban",-2,"quarterly",15
"ebop-00006","ECOLI","Lowland","Urban",0,"quarterly",15
"ebop-00006","DRP","Lowland","Urban",0,"quarterly",15
"ebop-00006","TN","Lowland","Urban",-99,"unassessed",15
"ebop-00006","TON","Lowland","Urban",-1,"quarterly",15
"ebop-00006","TP","Lowland","Urban",-2,"quarterly",15
"ebop-00006","BDISC","Lowland","Urban",-99,"unassessed",15
"ebop-00006","TURB","Lowland","Urban",2,"quarterly",15
"ebop-00019","NH4","Upland","Rural",-2,"monthly",15
"ebop-00019","ECOLI","Upland","Rural",2,"monthly",15
"ebop-00019","DRP","Upland","Rural",2,"monthly",15
"ebop-00019","TN","Upland","Rural",-99,"unassessed",15
"ebop-00019","TON","Upland","Rural",2,"monthly",15
"ebop-00019","TP","Upland","Rural",-2,"monthly",15
"ebop-00019","BDISC","Upland","Rural",-1,"monthly",15
"ebop-00019","TURB","Upland","Rural",-2,"monthly",15
"ebop-00010","NH4","Upland","Rural",0,"monthly",15
"ebop-00010","ECOLI","Upland","Rural",-1,"monthly",15
"ebop-00010","DRP","Upland","Rural",0,"monthly",15
"ebop-00010","TN","Upland","Rural",-99,"unassessed",15
"ebop-00010","TON","Upland","Rural",-1,"monthly",15
"ebop-00010","TP","Upland","Rural",-2,"monthly",15
"ebop-00010","BDISC","Upland","Rural",1,"monthly",15
"ebop-00010","TURB","Upland","Rural",0,"monthly",15
"ebop-00039","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00039","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00039","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00039","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00039","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00039","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00039","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00039","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00023","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00023","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00023","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00023","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00023","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00023","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00023","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00023","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00104","NH4","Upland","Forest",-99,"unassessed",15
"ebop-00104","ECOLI","Upland","Forest",-99,"unassessed",15
"ebop-00104","DRP","Upland","Forest",-99,"unassessed",15
"ebop-00104","TN","Upland","Forest",-99,"unassessed",15
"ebop-00104","TON","Upland","Forest",-99,"unassessed",15
"ebop-00104","TP","Upland","Forest",-99,"unassessed",15
"ebop-00104","BDISC","Upland","Forest",-99,"unassessed",15
"ebop-00104","TURB","Upland","Forest",-99,"unassessed",15
"ebop-00052","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00052","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00052","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00052","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00052","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00052","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00052","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00052","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00102","NH4","Upland","Forest",-99,"unassessed",15
"ebop-00102","ECOLI","Upland","Forest",-99,"unassessed",15
"ebop-00102","DRP","Upland","Forest",-99,"unassessed",15
"ebop-00102","TN","Upland","Forest",-99,"unassessed",15
"ebop-00102","TON","Upland","Forest",-99,"unassessed",15
"ebop-00102","TP","Upland","Forest",-99,"unassessed",15
"ebop-00102","BDISC","Upland","Forest",-99,"unassessed",15
"ebop-00102","TURB","Upland","Forest",-99,"unassessed",15
"ebop-00012","NH4","Upland","Rural",-1,"monthly",15
"ebop-00012","ECOLI","Upland","Rural",-99,"monthly",15
"ebop-00012","DRP","Upland","Rural",2,"monthly",15
"ebop-00012","TN","Upland","Rural",-99,"unassessed",15
"ebop-00012","TON","Upland","Rural",-2,"monthly",15
"ebop-00012","TP","Upland","Rural",2,"monthly",15
"ebop-00012","BDISC","Upland","Rural",2,"monthly",15
"ebop-00012","TURB","Upland","Rural",2,"monthly",15
"ebop-00003","NH4","Lowland","Rural",2,"quarterly",15
"ebop-00003","ECOLI","Lowland","Rural",2,"quarterly",15
"ebop-00003","DRP","Lowland","Rural",0,"quarterly",15
"ebop-00003","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00003","TON","Lowland","Rural",-2,"quarterly",15
"ebop-00003","TP","Lowland","Rural",1,"quarterly",15
"ebop-00003","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00003","TURB","Lowland","Rural",2,"quarterly",15
"ebop-00057","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00057","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00057","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00057","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00057","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00057","TP","Lowland","Rural",-99,"unassessed",15
"ebop-00057","BDISC","Lowland","Rural",-99,"unassessed",15
"ebop-00057","TURB","Lowland","Rural",-99,"unassessed",15
"ebop-00047","NH4","Lowland","Rural",-99,"unassessed",15
"ebop-00047","ECOLI","Lowland","Rural",-99,"unassessed",15
"ebop-00047","DRP","Lowland","Rural",-99,"unassessed",15
"ebop-00047","TN","Lowland","Rural",-99,"unassessed",15
"ebop-00047","TON","Lowland","Rural",-99,"unassessed",15
"ebop-00047","TP","Lowland","Rural",-99,"unassessed",15
