"SiteID","CouncilSiteID","LawaSiteID","Macro","Region","Agency","SWQLanduse","SWQAltitude","Lat","Long"
"Ruakaka at Flyger Road","105008","NRC-00026",FALSE,"northland","nrc","rural","lowland",-35.86945027,174.40261082
"Punakitere at Taheke","105231","NRC-00005",FALSE,"northland","nrc","rural","lowland",-35.46260455,173.66127167
"Victoria at Victoria Valley Road","105532","NRC-00015",FALSE,"northland","nrc","forest","lowland",-35.147225,173.40764898
"Waiarohia at Second Avenue","108359","NRC-00004",FALSE,"northland","nrc","urban","lowland",-35.72266387,174.31624099
"Waipao at Draffin Road","108941","NRC-00030",FALSE,"northland","nrc","rural","lowland",-35.72655755,174.12530358
"Mangamuka at Iwitaua Road","108978","NRC-00022",FALSE,"northland","nrc","forest","lowland",-35.20920885,173.54106138
"Oruru at Oruru Road","108979","NRC-00024",FALSE,"northland","nrc","rural","lowland",-35.03863042,173.49052107
"Utakura at Horeke Road","109020","NRC-00027",FALSE,"northland","nrc","rural","lowland",-35.3399122,173.62625659
"Hakaru at Topuni","109021","NRC-00018",FALSE,"northland","nrc","rural","lowland",-36.20376405,174.49424394
"Mangakahia at Twin Bridges","109096","NRC-00009",FALSE,"northland","nrc","rural","lowland",-35.62991807,173.85405607
"Waimamaku at SH12","109098","NRC-00029",FALSE,"northland","nrc","rural","lowland",-35.55860768,173.44871601
"Otaika at Otaika Valley Road","110431","NRC-00045",FALSE,"northland","nrc","rural","lowland",-35.77783168,174.27764197
"Ngunguru at Coalhill Lane","110603","LAWA-100668",FALSE,"northland","nrc","rural","lowland",-35.64242325,174.42564673
"Awakino River at Gribbon Rd","14393","EW-00001",FALSE,"waikato","wrc","rural","lowland",-38.5631084931943,174.837116995288
"Awakino River at SH3 Awakau Rd Junction","14395","EW-00002",FALSE,"waikato","wrc","forest","lowland",-38.6723891180482,174.709009324741
"Awaroa River (Waiuku) at Otaua Rd Br opp Moseley Rd","14419","EW-00003",FALSE,"waikato","wrc","rural","lowland",-37.3017487330735,174.758607034067
"Awaroa Stm (Rotowaro) at Sansons Br @ Rotowaro-Huntly Rd","14435","EW-00004",FALSE,"waikato","wrc","rural","lowland",-37.5870112217529,175.09097104267
"Hikutaia River at Old Maratoto Rd","24166","EW-00005",FALSE,"waikato","wrc","rural","lowland",-37.2896499189232,175.671016007859
"Hinemaiaia River at SH1","24172","EW-00006",FALSE,"waikato","wrc","forest","upland",-38.853963249184,176.020692474093
"Kaniwhaniwha Stm at Wright Rd","36706","EW-00007",FALSE,"waikato","wrc","rural","lowland",-37.8708851171096,175.140464893556
"Karapiro Stm at Hickey Rd Bridge - Cambridge","36745","EW-00008",FALSE,"waikato","wrc","forest","lowland",-37.8995516346389,175.534949083881
"Kauaeranga River at Smiths Cableway/Recorder","36768","EW-00009",FALSE,"waikato","wrc","forest","lowland",-37.1573656960264,175.590522392679
"Kawaunui Stm at SH5 Br","36800","EW-00010",FALSE,"waikato","wrc","rural","upland",-38.382238370817,176.342556260567
"Kirikiriroa Stm at Tauhara Dr","36867","EW-00011",FALSE,"waikato","wrc","urban","lowland",-37.7449944685449,175.261451019445
"Komakorau Stm at Henry Rd","36890","EW-00012",FALSE,"waikato","wrc","rural","lowland",-37.6261837368706,175.253074645438
"Kuratau River at SH41 Moerangi","36998","EW-00013",FALSE,"waikato","wrc","forest","upland",-38.8914253331204,175.600163900779
"Kuratau River at Te Rae Street T10","37003","EW-00014",FALSE,"waikato","wrc","forest","upland",-38.8887306216126,175.768600585648
"Little Waipa Stm at Arapuni - Putaruru Rd","37523","EW-00016",FALSE,"waikato","wrc","rural","lowland",-38.0553211955092,175.696788242224
"Mangaharakeke Stm (Atiamuri) at SH30 (Off Jct SH1)","37631","EW-00017",FALSE,"waikato","wrc","rural","upland",-38.347165834374,176.011757433945
"Mangakara Stm (Reporoa) at SH5","37700","EW-00018",FALSE,"waikato","wrc","rural","upland",-38.4525976713696,176.317506581143
"Mangakino Stm (Whakamaru) at Sandel Rd","37720","EW-00019",FALSE,"waikato","wrc","forest","upland",-38.459216207122,175.733059864485
"Mangakotukutuku Stm (Rukuhia) at Peacockes Rd","37768","EW-00020",FALSE,"waikato","wrc","rural","lowland",-37.8117970730327,175.300494505438
"Mangamingi Stm (Tokoroa) at Paraonui Rd Br","37825","EW-00021",FALSE,"waikato","wrc","rural","upland",-38.196940583132,175.83942566983
"Manganui River at Off Manganui Rd","37841","EW-00022",FALSE,"waikato","wrc","rural","lowland",-38.6441643644694,174.669238071743
"Mangaohoi Stm at South Branch Maru Rd","37860","EW-00023",FALSE,"waikato","wrc","rural","upland",-38.0509174723394,175.538158089752
"Mangaokewa Stm at Lawrence Street Br","37891","EW-00024",FALSE,"waikato","wrc","forest","lowland",-38.3372177292096,175.169782228371
"Mangaone Stm (Waikato) at Annebrooke Rd Br","37939","EW-00025",FALSE,"waikato","wrc","rural","lowland",-37.8092456754195,175.336250342001
"Mangaonua Stm at Hoeka Rd","37986","EW-00026",FALSE,"waikato","wrc","rural","lowland",-37.7793094894846,175.387499343319
"Mangaonua Stm at Te Miro Rd (a.k.a Waitakaruru stm)","37993","EW-00027",FALSE,"waikato","wrc","rural","lowland",-37.8171203197853,175.512645177134
"Mangaotaki River at SH3 Br","38025","EW-00028",FALSE,"waikato","wrc","rural","lowland",-38.5213762151192,174.907124533541
"Mangapiko Stm (Pirongia/Te Awamutu) at Bowman Rd","38101","EW-00029",FALSE,"waikato","wrc","rural","lowland",-37.976548643878,175.266696679873
"Mangapu River at Otorohanga","38165","EW-00030",FALSE,"waikato","wrc","rural","lowland",-38.1959117036534,175.205339327183
"Mangatangi River at SH2 Maramarua","38220","EW-00031",FALSE,"waikato","wrc","rural","lowland",-37.2470697626325,175.184824815733
"Mangatawhiri River at Lyons Rd At Buckingham Br","38263","EW-00032",FALSE,"waikato","wrc","rural","lowland",-37.1977004227715,175.133413105767
"Mangatutu Stm (Waikeria) at Walker Rd Br","38350","EW-00033",FALSE,"waikato","wrc","rural","lowland",-38.0982243078572,175.396145259323
"Mangauika Stm at Te Awamutu Borough W/S Intake","38367","EW-00034",FALSE,"waikato","wrc","rural","upland",-38.0304880234985,175.13741278133
"Mangawara Stm at Rutherford Rd Br","38386","EW-00035",FALSE,"waikato","wrc","forest","lowland",-37.5596796902786,175.2430095199
"Mangawhero Stm (Cambridge) at Cambridge-Ohaupo Rd","38424","EW-00036",FALSE,"waikato","wrc","rural","lowland",-37.8898105697782,175.404914373312
"Mangawhero Stm (Kaihere) at Mangawara Rd","38431","EW-00037",FALSE,"waikato","wrc","forest","lowland",-37.4008056846073,175.424354884271
"Marokopa River at Speedies Rd (Off Te Anga Rd)","38533","EW-00040",FALSE,"waikato","wrc","rural","lowland",-38.2594414936044,174.834722021283
"Matahuru Stm at Waiterimu Road Below Confluence","38551","EW-00042",FALSE,"waikato","wrc","rural","lowland",-37.4822375688604,175.23939080529
"Mokau River at Mangaokewa Rd (Off SH30)","40716","EW-00044",FALSE,"waikato","wrc","rural","upland",-38.4655875860095,175.286169269964
"Mokau River at Awakau Rd","40718","EW-00043",FALSE,"waikato","wrc","rural","lowland",-38.6847715332841,174.72426079586
"Mokau River at Totoro Rd Recorder","40720","EW-00045",FALSE,"waikato","wrc","forest","lowland",-38.5715687207091,174.90481260219
"Mokauiti Stm at Three Way Point - Aria","40738","EW-00046",FALSE,"waikato","wrc","rural","lowland",-38.5507164620967,174.98139526696
"Ohaeroa Stm at SH22 Br","40966","EW-00047",FALSE,"waikato","wrc","rural","lowland",-37.3128495943554,174.952980808004
"Ohautira Stm at Waingaro Te Uku Rd","40998","EW-00048",FALSE,"waikato","wrc","rural","lowland",-37.7631544554243,174.972518351917
"Ohinemuri River at Queens Head","41010","EW-00049",FALSE,"waikato","wrc","rural","lowland",-37.4146383541911,175.794422436125
"Ohinemuri River at SH25 Br","41011","EW-00050",FALSE,"waikato","wrc","rural","lowland",-37.3734378909694,175.866745259212
"Ohote Stm at Whatawhata/Horotiu Rd","41071","EW-00051",FALSE,"waikato","wrc","rural","lowland",-37.7679353179394,175.150922330953
"Oparau River at Langdon Rd (Off Okupata Rd)","41211","EW-00052",FALSE,"waikato","wrc","rural","lowland",-38.0432515211826,174.933805313697
"Opuatia Stm at Ponganui Rd","41249","EW-00053",FALSE,"waikato","wrc","forest","lowland",-37.3652522107812,174.884997320586
"Oraka Stm at Lake Rd","41303","EW-00054",FALSE,"waikato","wrc","rural","lowland",-37.9221423882887,175.770603877803
"Otamakokore Stm at Hossack Rd","41355","EW-00056",FALSE,"waikato","wrc","forest","upland",-38.3071920215625,176.263725392085
"Piako River at Kiwitahi","41630","EW-00057",FALSE,"waikato","wrc","rural","lowland",-37.7023395427299,175.60384868366
"Piako River at Paeroa-Tahuna Rd Br","41634","EW-00058",FALSE,"waikato","wrc","rural","lowland",-37.5134598526515,175.506337379609
"Piakonui Stm at Piakonui Rd","41667","EW-00059",FALSE,"waikato","wrc","rural","upland",-37.8270354795721,175.630061524085
"Pokaiwhenua Stm at Arapuni - Putaruru Rd","41766","EW-00060",FALSE,"waikato","wrc","rural","lowland",-38.0579166582422,175.722546791127
"Pueto Stm at Broadlands Rd Br","41835","EW-00061",FALSE,"waikato","wrc","forest","upland",-38.6129915484636,176.258454325785
"Puniu River at Bartons Corner Rd Br","41893","EW-00063",FALSE,"waikato","wrc","rural","lowland",-38.0300773769626,175.293511605056
"Tahunaatara Stm at Ohakuri Rd","42292","EW-00064",FALSE,"waikato","wrc","forest","upland",-38.3378467366305,176.070544240897
"Tairua River at Morrisons Br Hikuai","42340","EW-00065",FALSE,"waikato","wrc","forest","lowland",-37.0744325020849,175.770936873536
"Tapu River at Tapu-Coroglen Rd","42385","EW-00066",FALSE,"waikato","wrc","forest","lowland",-36.9815869379655,175.505094549805
"Tawarau River at Off Speedies Rd","42477","EW-00068",FALSE,"waikato","wrc","forest","lowland",-38.2655585382858,174.846317185097
"Tokaanu Power Station Tailrace Canal at SH41 Bridge Over Canal","42678","EW-00069",FALSE,"waikato","wrc","forest","upland",-38.9792349360231,175.774386593026
"Tokaanu Stm at Off SH41 Turangi","42685","EW-00070",FALSE,"waikato","wrc","rural","upland",-38.9896778228372,175.78981315851
"Torepatutahi Stm at Vaile Rd Br","42773","EW-00071",FALSE,"waikato","wrc","forest","upland",-38.487186909678,176.306519978245
"Waerenga Stm at Taniwha Rd","42974","EW-00072",FALSE,"waikato","wrc","forest","lowland",-37.3838306179297,175.290465863315
"Waiau River at E309 Rd Ford","42993","EW-00073",FALSE,"waikato","wrc","rural","lowland",-36.7938607100792,175.524390510656
"Waihaha River at SH32","43010","EW-00074",FALSE,"waikato","wrc","rural","upland",-38.7002032737525,175.682716302898
"Waihou River at Whites Rd","43145","EW-00076",FALSE,"waikato","wrc","rural","lowland",-38.0192588201407,175.814088326377
"Waihou River at Okauia","43171","EW-00075",FALSE,"waikato","wrc","urban","lowland",-37.7874458617256,175.839374136597
"Waikato River at Huntly-Tainui Br","43224","EW-00078",FALSE,"waikato","wrc","forest","lowland",-37.5662443743287,175.154277323428
"Waikato River at Whakamaru Tailrace","43278","EW-00086",FALSE,"waikato","wrc","forest","upland",-38.4187135947562,175.806337994402
"Waikato River at Horotiu Br","43313","EW-00077",FALSE,"waikato","wrc","forest","lowland",-37.6977289352494,175.206777865847
"Waikato River at Ohaaki Br","43334","EW-00082",FALSE,"waikato","wrc","forest","upland",-38.5327953576151,176.303745860361
"Waikato River at Ohakuri Tailrace Br","43336","EW-00083",FALSE,"waikato","wrc","forest","upland",-38.406997966736,176.086134019175
"Waikato River at Taupo Control Gates","43349","EW-00119",FALSE,"waikato","wrc","forest","upland",-38.6810584711027,176.06993982251
"Waikato River at Waipapa Tailrace","43361","EW-00085",FALSE,"waikato","wrc","forest","lowland",-38.285510362379,175.685227433566
"Waikato River at Mercer Br","43401","EW-00079",FALSE,"waikato","wrc","forest","lowland",-37.281271741161,175.046703329257
"Waikato River at Tuakau Br","43411","EW-00084",FALSE,"waikato","wrc","forest","lowland",-37.2960074716085,174.945178573855
"Waikato River at Narrows Boat Ramp","43552","EW-00080",FALSE,"waikato","wrc","forest","lowland",-37.8396283916306,175.347742162208
"Waingaro River (Pukemiro) at Ruakiwi Rd Off SH22","43768","EW-00087",FALSE,"waikato","wrc","rural","lowland",-37.7325943186377,174.968246198867
"Waiohotu Stm at Waiohotu Rd (Off SH5)","43794","EW-00088",FALSE,"waikato","wrc","forest","upland",-38.0037813714963,175.919258464045
"Waiomou Stm at Matamata-Tauranga Rd","43809","EW-00089",FALSE,"waikato","wrc","rural","lowland",-37.853300774061,175.865479835301
"Waiotapu Stm at Homestead Rd Br","43855","EW-00091",FALSE,"waikato","wrc","rural","upland",-38.4550691435155,176.325650999376
"Waiotapu Stm at Campbell Rd Br","43879","EW-00090",FALSE,"waikato","wrc","rural","upland",-38.3805314788798,176.346174289548
"Waipa River at Mangaokewa Rd","43910","EW-00092",FALSE,"waikato","wrc","rural","upland",-38.4523697766534,175.442766277182
"Waipa River at Pirongia-Ngutunui Rd Br","43913","EW-00093",FALSE,"waikato","wrc","forest","lowland",-38.0057504966296,175.203853645951
"Waipa River at SH3 Otorohanga","43915","EW-00094",FALSE,"waikato","wrc","forest","lowland",-38.1922361711938,175.208642332889
"Waipapa Stm (Mokai) at Tirohanga Rd Br","43992","EW-00095",FALSE,"waikato","wrc","rural","upland",-38.4228487324215,175.959677040022
"Waitahanui River at Blake Rd","44082","EW-00096",FALSE,"waikato","wrc","forest","upland",-38.7981140981171,176.086242026119
"Waitakaruru River (Hauraki Plains) at Coxhead Rd Br","44092","EW-00097",FALSE,"waikato","wrc","rural","lowland",-37.2724332763866,175.357903688482
"Waitawhiriwhiri Stm at Edgecumbe Street","44178","EW-00098",FALSE,"waikato","wrc","forest","lowland",-37.7729705043793,175.270125304754
"Waitekauri River at U/S Ohinemuri Conflu","44241","EW-00099",FALSE,"waikato","wrc","forest","lowland",-37.4167234480118,175.783202547386
"Waitetuna River at Te Uku-Waingaro Rd","44285","EW-00100",FALSE,"waikato","wrc","rural","lowland",-37.8180906700705,174.975218123383
"Waitoa River at Landsdowne Rd Br","44331","EW-00101",FALSE,"waikato","wrc","rural","lowland",-37.7653456084661,175.741164634185
"Waitoa River at Mellon Rd Recorder","44334","EW-00102",FALSE,"waikato","wrc","rural","lowland",-37.5295583767832,175.629157415427
"Waitomo Stm at Tumutumu Rd","44379","EW-00105",FALSE,"waikato","wrc","rural","lowland",-38.2601596511047,175.098779177931
"Waitomo Stm at SH31 Otorohanga","44391","EW-00104",FALSE,"waikato","wrc","rural","lowland",-38.1808463852947,175.192293108196
"Waiwawa River at SH25 Coroglen","44407","EW-00106",FALSE,"waikato","wrc","forest","lowland",-36.9239897954475,175.693228531
"Whakapipi Stm at SH22 Br","44529","EW-00108",FALSE,"waikato","wrc","rural","lowland",-37.2574938127379,174.924951629489
"Whakauru Stm at U/S  SH1 Br","44580","EW-00109",FALSE,"waikato","wrc","forest","upland",-38.21446945527,175.871808732372
"Whangamarino River at Jefferies Rd Br","44607","EW-00111",FALSE,"waikato","wrc","forest","lowland",-37.3355278371707,175.235770830708
"Whangamarino River at Island Block Rd","44617","EW-00110",FALSE,"waikato","wrc","forest","lowland",-37.3058356070678,175.088188775756
"Whangamata Stm (Kinloch) at Whangamata Rd","44668","EW-00112",FALSE,"waikato","wrc","forest","upland",-38.6427545776433,175.927628796565
"Whanganui Stm at Lakeside Lake Taupo T8","44674","EW-00113",FALSE,"waikato","wrc","forest","upland",-38.7828631481345,175.731049439201
"Whangape Stm at Rangiriri-Glen Murray Rd","44677","EW-00114",FALSE,"waikato","wrc","rural","lowland",-37.4446579822405,175.087826398824
"Wharekawa River at SH25","44749","EW-00115",FALSE,"waikato","wrc","rural","lowland",-37.1357467196371,175.842021846597
"Whareroa Stm (Taupo) at Lakeside Lake Taupo T9","44791","EW-00116",FALSE,"waikato","wrc","forest","upland",-38.8592591914886,175.782701152047
"Whirinaki Stm at Corbett Rd","44845","EW-00118",FALSE,"waikato","wrc","rural","upland",-38.3030801759577,176.265152969159
"Akatarawa River at Hutt Confluence","Akatarawa River at Hutt Confluence","GW-00025",FALSE,"wellington","gwrc","forest","lowland",-41.08952998,175.09766097
"24","Aniwaniwa Stream at Aniwaniwa","HBRC-00030",FALSE,"hawkes bay","hbrc","forest","upland",-38.7401383467398,177.170314247403
"Arawhata Drain at Hokio Beach Road","Arawhata Drain at Hokio Beach Road","HRC-00001",FALSE,"horizons","hrc","rural","lowland",-40.6219,175.24728
"Are Are Creek at Kaituna Tuamarina Track","Are Are Creek at Kaituna Tuamarina Track","MDC-00001",FALSE,"marlborough","mdc","rural","lowland",-41.46644209,173.82486088
"Arnold Rv @ Blairs Rd No. 2 Br","Arnold Rv @ Blairs Rd No. 2 Br","WCRC-00031",FALSE,"west coast","wcrc","forest","lowland",-42.48180414,171.37623219
"Arnold Rv @ Kotuku Fishing Access","Arnold Rv @ Kotuku Fishing Access","WCRC-00032",FALSE,"west coast","wcrc","forest","lowland",-42.55666403,171.45947445
"39","Aropaoanui River at Aropaoanui","HBRC-00024",FALSE,"hawkes bay","hbrc","rural","lowland",-39.2701184160888,176.978862007857
"Avon River at Pages/Seaview Bridge","AVON01","CCC-00012",FALSE,"canterbury","ecan","urban","lowland",-43.5109612586597,172.721312654641
"Avon River at Bridge Street","AVON02","CCC-00013",FALSE,"canterbury","ecan","urban","lowland",-43.5269609130163,172.723800118103
"Avon River at Dallington Terrace/Gayhurst Road","AVON03","CCC-00009",FALSE,"canterbury","ecan","urban","lowland",-43.5232541352865,172.672709377272
"Avon River at Manchester Street","AVON04","CCC-00007",FALSE,"canterbury","ecan","urban","lowland",-43.5297168443237,172.639621835872
"Wairarapa Stream","AVON05","CCC-00001",FALSE,"canterbury","ecan","urban","lowland",-43.5222119317298,172.607012899531
"Waimairi Stream","AVON06","CCC-00002",FALSE,"canterbury","ecan","urban","lowland",-43.5233902165382,172.606782674794
"Avon River at Mona Vale","AVON07","CCC-00003",FALSE,"canterbury","ecan","urban","lowland",-43.5245285539517,172.608036996872
"Riccarton Main Drain","AVON08","CCC-00005",FALSE,"canterbury","ecan","urban","lowland",-43.53364735907,172.616452586676
"Addington Brook","AVON09","CCC-00006",FALSE,"canterbury","ecan","urban","lowland",-43.5355540897489,172.621488125689
"Dudley Creek","AVON10","CCC-00008",FALSE,"canterbury","ecan","urban","lowland",-43.5147495497519,172.660548678238
"Horseshoe Lake Discharge","AVON11","CCC-00010",FALSE,"canterbury","ecan","urban","lowland",-43.5045155077624,172.682479186561
"Avon River at Carlton Mill Corner","AVON12","CCC-00004",FALSE,"canterbury","ecan","urban","lowland",-43.5226691608001,172.625402289893
"Avon River at Avondale Road Bridge","AVON13","CCC-00011",FALSE,"canterbury","ecan","urban","lowland",-43.502162275476,172.687560852363
"8019","Avondale Stream @ Shadbolt Park","ARC-00036",FALSE,"auckland","ac","urban","lowland",-36.92329,174.69178
"48","Awanui Stream at Flume","HBRC-00090",FALSE,"hawkes bay","hbrc","rural","lowland",-39.6908403104276,176.798436502995
"Awapuni Drain Site 6","Awapuni Drain Site 6 U/S Of Rayonier at Fenceline","LAWA-102234",FALSE,"gisborne","gdc","rural","lowland",-38.69545828,177.94182729
"Awatere River at Awapiri","Awatere River at Awapiri","MDC-00003",FALSE,"marlborough","mdc","rural","upland",-41.83477611,173.73081669
"Awatere River at River Mouth","Awatere River at River Mouth","MDC-00002",FALSE,"marlborough","mdc","rural","lowland",-41.60808432,174.15146174
"Awatere River at SH35 Bridge","Awatere River at SH35 Bridge","GDC-00002",FALSE,"gisborne","gdc","rural","lowland",-37.67457224,178.34813828
"Awhea River at Tora Rd","Awhea River at Tora Rd","GW-00053",FALSE,"wellington","gwrc","rural","lowland",-41.4945283,175.515193
"Baker Ck @ Baker Ck Rd","Baker Ck @ Baker Ck Rd","WCRC-00027",FALSE,"west coast","wcrc","forest","lowland",-41.24401316,172.14600626
"Baker Ck @ Oparara Rd","Baker Ck @ Oparara Rd","WCRC-00028",FALSE,"west coast","wcrc","rural","lowland",-41.24605607,172.13011843
"Berry Ck @ N Brch Wanganui Flat Rd","Berry Ck @ N Brch Wanganui Flat Rd","WCRC-00021",FALSE,"west coast","wcrc","rural","lowland",-43.0840546,170.56915426
"Black Birch Stream at Awatere Intake","Black Birch Stream at Awatere Intake","MDC-00004",FALSE,"marlborough","mdc","rural","upland",-41.70749614,173.88026864
"Blackwater Ck @ Farm 846","Blackwater Ck @ Farm 846","WCRC-00030",FALSE,"west coast","wcrc","rural","lowland",-41.30719863,172.09717193
"Te Rereatukahia at SH2","BQ708712","EBOP-00027",FALSE,"bay of plenty","boprc","rural","lowland",-37.5770915770481,175.911188609567
"Te Mania at SH2","BQ711622","EBOP-00026",FALSE,"bay of plenty","boprc","rural","lowland",-37.5851497196765,175.911808371647
"Uretara at Henry Rd Ford","BQ723939","EBOP-00052",FALSE,"bay of plenty","boprc","rural","lowland",-37.5565881128289,175.912099144522
"Waitekohe at SH2","BQ739463","EBOP-00040",FALSE,"bay of plenty","boprc","rural","lowland",-37.5993647067078,175.915601617197
"Aongatete at SH2","BQ966369","EBOP-00001",FALSE,"bay of plenty","boprc","rural","lowland",-37.6073828302249,175.941409491124
"Tuapiro at Hikurangi Rd","BR809582","EBOP-00028",FALSE,"bay of plenty","boprc","rural","lowland",-37.4984489368448,175.919507525151
"Bradshaws Ck @ Bradshaw Rd","Bradshaws Ck @ Bradshaw Rd","WCRC-00016",FALSE,"west coast","wcrc","rural","lowland",-41.76023604,171.54501704
"Branch River at Weir Intake","Branch River at Weir Intake","MDC-00005",FALSE,"marlborough","mdc","forest","upland",-41.70014713,173.18326957
"Brook at Burn Pl","Brook at Burn Pl","NCC-00011",FALSE,"nelson","ncc","forest","lowland",-41.28921044,173.29170139
"Brook at Manuka St","Brook at Manuka St","NCC-00010",FALSE,"nelson","ncc","urban","lowland",-41.27825433,173.28918088
"Brook at Motor Camp","Brook at Motor Camp","NCC-00012",FALSE,"nelson","ncc","forest","lowland",-41.31154835,173.29221908
"Waiau at Waiau Rd Ford","BS961133","EBOP-00030",FALSE,"bay of plenty","boprc","rural","lowland",-37.4484483244256,175.934796941143
"Buller at Longford","Buller at Longford","NRWQN-00037",FALSE,"nelson","niwa","forest","upland",-41.7650884367679,172.386762208879
"Buller @ Te Kuha","Buller at Te Kuha","NRWQN-00053",FALSE,"west coast","niwa","forest","lowland",-41.8349020171928,171.699853937906
"Burkes Ck @ SH69","Burkes Ck @ SH69","WCRC-00005",FALSE,"west coast","wcrc","rural","upland",-42.08800417,171.84740747
"Cardrona River at Mt Barker","Cardrona at Mt Barker","ORC-00103",FALSE,"otago","orc","rural","upland",-44.75005579,169.11690806
"74701","Cascades @ Whakanewha","ARC-00040",FALSE,"auckland","ac","rural","upland",-36.81832,175.08472
"44603","Cascades Stream @ Confluence","ARC-00001",FALSE,"auckland","ac","forest","lowland",-36.88865,174.52165
"Catlins River at Houipapa","Catlins at Houipapa","ORC-00105",FALSE,"otago","orc","rural","lowland",-46.46115241,169.55050121
"1925","Clive River U/S Whakatu Rail Bridge","HBRC-00003",FALSE,"hawkes bay","hbrc","rural","lowland",-39.599052587315,176.87787555936
"Clutha River at Balclutha","Clutha at Balclutha","NRWQN-00025",FALSE,"otago","niwa","rural","lowland",-46.2372775701064,169.747987601102
"Clutha River at Luggate Bridge","Clutha at Luggate Br.","NRWQN-00032",FALSE,"otago","niwa","rural","upland",-44.7290965407403,169.280578315219
"Clutha River at Millers Flat","Clutha at Millers Flat","NRWQN-00027",FALSE,"otago","niwa","rural","lowland",-45.6647496873505,169.41006377037
"Ngamuwahine at Old Bridge","CO543022","EBOP-00009",FALSE,"bay of plenty","boprc","rural","lowland",-37.816784458299,176.015399445936
"Wairoa d/s Ruahihi Power Station","CO938527","EBOP-00036",FALSE,"bay of plenty","boprc","forest","lowland",-37.7701834581922,176.058395583913
"Collins at SH6","Collins at SH6","NCC-00038",FALSE,"nelson","ncc","forest","lowland",-41.15972008,173.53368155
"Waipapa at Old Highway","CP466747","EBOP-00035",FALSE,"bay of plenty","boprc","rural","lowland",-37.6617415079616,176.000395344288
"Crooked Rv @ Rotomanu-Bell Hill Rd","Crooked Rv @ Rotomanu-Bell Hill Rd","WCRC-00033",FALSE,"west coast","wcrc","forest","lowland",-42.63002914,171.59664514
"Crooked Rv @ Te Kinga","Crooked Rv @ Te Kinga","WCRC-00039",FALSE,"west coast","wcrc","forest","lowland",-42.60115919,171.49737356
"Crookston Burn at Kelso Road","Crookston Burn at Kelso Road","ORC-00096",FALSE,"otago","orc","rural","upland",-45.89854092,169.23515025
"Cullen Creek at Road Bridge","Cullen Creek at Road Bridge","MDC-00006",FALSE,"marlborough","mdc","forest","lowland",-41.29465472,173.85758011
"Dart River at The Hillocks","Dart at The Hillocks","ORC-00107",FALSE,"otago","orc","forest","upland",-44.77397608,168.32442871
"Deep Ck @ Arnold Vly Rd Br","Deep Ck @ Arnold Vly Rd Br","WCRC-00001",FALSE,"west coast","wcrc","forest","lowland",-42.5525352,171.45514239
"Dencker at Kokorua Rd","Dencker at Kokorua Rd","NCC-00039",FALSE,"nelson","ncc","forest","lowland",-41.14096842,173.53693741
"Omanawa at SH29","DO047598","EBOP-00013",FALSE,"bay of plenty","boprc","rural","lowland",-37.7545342603477,176.070120033999
"Kopurererua at SH29","DO406909","EBOP-00005",FALSE,"bay of plenty","boprc","rural","lowland",-37.7344497947606,176.109995199841
