"LAWAID","BandingRule","Year","NOFMedian"
"lawa-102219","AmmoniacalMed_Band","2015to2019","A"
"lawa-102220","AmmoniacalMed_Band","2015to2019","A"
"lawa-102221","AmmoniacalMed_Band","2015to2019","A"
"arc-00099","AmmoniacalMed_Band","2015to2019",NA
"ew-00143","AmmoniacalMed_Band","2015to2019","C"
"ew-00150","AmmoniacalMed_Band","2015to2019","A"
"lawa-100211","AmmoniacalMed_Band","2015to2019","A"
"lawa-100213","AmmoniacalMed_Band","2015to2019","A"
"lawa-100263","AmmoniacalMed_Band","2015to2019","A"
"lawa-100264","AmmoniacalMed_Band","2015to2019","A"
"lawa-100266","AmmoniacalMed_Band","2015to2019","A"
"lawa-102303","AmmoniacalMed_Band","2015to2019","A"
"lawa-102304","AmmoniacalMed_Band","2015to2019","B"
"lawa-102305","AmmoniacalMed_Band","2015to2019","A"
"lawa-102705","AmmoniacalMed_Band","2015to2019",NA
"lawa-102707","AmmoniacalMed_Band","2015to2019",NA
"hbrc-00170","AmmoniacalMed_Band","2015to2019",NA
"arc-00098","AmmoniacalMed_Band","2015to2019",NA
"arc-00100","AmmoniacalMed_Band","2015to2019",NA
"arc-10002","AmmoniacalMed_Band","2015to2019",NA
"nrc-00071","AmmoniacalMed_Band","2015to2019",NA
"nrc-00072","AmmoniacalMed_Band","2015to2019",NA
"nrc-00073","AmmoniacalMed_Band","2015to2019",NA
"nrc-00074","AmmoniacalMed_Band","2015to2019",NA
"nrc-00076","AmmoniacalMed_Band","2015to2019",NA
"nrc-00077","AmmoniacalMed_Band","2015to2019",NA
"nrc-00078","AmmoniacalMed_Band","2015to2019",NA
"nrc-00079","AmmoniacalMed_Band","2015to2019",NA
"nrc-00080","AmmoniacalMed_Band","2015to2019",NA
"nrc-00081","AmmoniacalMed_Band","2015to2019",NA
"nrc-00082","AmmoniacalMed_Band","2015to2019",NA
"nrc-00083","AmmoniacalMed_Band","2015to2019",NA
"nrc-00084","AmmoniacalMed_Band","2015to2019",NA
"nrc-00085","AmmoniacalMed_Band","2015to2019",NA
"nrc-00086","AmmoniacalMed_Band","2015to2019",NA
"nrc-00088","AmmoniacalMed_Band","2015to2019",NA
"nrc-00089","AmmoniacalMed_Band","2015to2019",NA
"nrc-00091","AmmoniacalMed_Band","2015to2019",NA
"nrc-00092","AmmoniacalMed_Band","2015to2019",NA
"nrc-00093","AmmoniacalMed_Band","2015to2019",NA
"nrc-00094","AmmoniacalMed_Band","2015to2019",NA
"nrc-00096","AmmoniacalMed_Band","2015to2019",NA
"wcrc-00065","AmmoniacalMed_Band","2015to2019","A"
"wcrc-00067","AmmoniacalMed_Band","2015to2019","A"
"hrc-00329","AmmoniacalMed_Band","2015to2019",NA
"hrc-00332","AmmoniacalMed_Band","2015to2019",NA
"hrc-00339","AmmoniacalMed_Band","2015to2019",NA
"hrc-00341","AmmoniacalMed_Band","2015to2019",NA
"hrc-00342","AmmoniacalMed_Band","2015to2019",NA
"lawa-100250","AmmoniacalMed_Band","2015to2019",NA
"lawa-102308","AmmoniacalMed_Band","2015to2019",NA
"lawa-102708","AmmoniacalMed_Band","2015to2019",NA
"lawa-102709","AmmoniacalMed_Band","2015to2019",NA
"lawa-102711","AmmoniacalMed_Band","2015to2019",NA
"ecan-00326","AmmoniacalMed_Band","2015to2019",NA
"ecan-00327","AmmoniacalMed_Band","2015to2019",NA
"ecan-00328","AmmoniacalMed_Band","2015to2019",NA
"ecan-00329","AmmoniacalMed_Band","2015to2019",NA
"ecan-00330","AmmoniacalMed_Band","2015to2019",NA
"ecan-00332","AmmoniacalMed_Band","2015to2019",NA
"ecan-00333","AmmoniacalMed_Band","2015to2019",NA
"ecan-00335","AmmoniacalMed_Band","2015to2019",NA
"ecan-00336","AmmoniacalMed_Band","2015to2019",NA
"ecan-00337","AmmoniacalMed_Band","2015to2019",NA
"ecan-00338","AmmoniacalMed_Band","2015to2019",NA
"ecan-00339","AmmoniacalMed_Band","2015to2019",NA
"ecan-00340","AmmoniacalMed_Band","2015to2019",NA
"ecan-00341","AmmoniacalMed_Band","2015to2019",NA
"ecan-00342","AmmoniacalMed_Band","2015to2019",NA
"ecan-00343","AmmoniacalMed_Band","2015to2019",NA
"ecan-00344","AmmoniacalMed_Band","2015to2019",NA
"ecan-00345","AmmoniacalMed_Band","2015to2019",NA
"ecan-00346","AmmoniacalMed_Band","2015to2019",NA
"ecan-00349","AmmoniacalMed_Band","2015to2019",NA
"ecan-00351","AmmoniacalMed_Band","2015to2019",NA
"ecan-00354","AmmoniacalMed_Band","2015to2019",NA
"ecan-00355","AmmoniacalMed_Band","2015to2019",NA
"ecan-00357","AmmoniacalMed_Band","2015to2019",NA
"ecan-00358","AmmoniacalMed_Band","2015to2019",NA
"ecan-00359","AmmoniacalMed_Band","2015to2019",NA
"ecan-00367","AmmoniacalMed_Band","2015to2019",NA
"ecan-00368","AmmoniacalMed_Band","2015to2019",NA
"lawa-101983","AmmoniacalMed_Band","2015to2019",NA
"trc-00051","AmmoniacalMed_Band","2015to2019",NA
"trc-00053","AmmoniacalMed_Band","2015to2019",NA
