"LAWAID","Parameter","Median"
"ebop-00149","PercentageEPTTaxa",56.66675
"ebop-00149","TaxaRichness",20
"ebop-00150","MCI",116.284
"ebop-00150","PercentageEPTTaxa",53.55975
"ebop-00150","TaxaRichness",19.5
"ebop-00151","MCI",122.430527775
"ebop-00151","PercentageEPTTaxa",57.0260277775
"ebop-00151","TaxaRichness",30
"ebop-00152","MCI",119.979
"ebop-00152","PercentageEPTTaxa",38.021
"ebop-00152","TaxaRichness",17.5
"ebop-00153","MCI",119.67507895
"ebop-00153","PercentageEPTTaxa",51.4705
"ebop-00153","TaxaRichness",18
"ebop-00154","MCI",104.238043475
"ebop-00154","PercentageEPTTaxa",41.06075
"ebop-00154","TaxaRichness",19.5
"ebop-00155","MCI",75.70625
"ebop-00155","PercentageEPTTaxa",20.9375
"ebop-00155","TaxaRichness",14.5
"ebop-00156","MCI",121.1115
"ebop-00156","PercentageEPTTaxa",47.222
"ebop-00156","TaxaRichness",18
"ebop-00157","MCI",99.9865
"ebop-00157","PercentageEPTTaxa",41.7225
"ebop-00157","TaxaRichness",15.5
"ebop-00160","MCI",119.327
"ebop-00160","PercentageEPTTaxa",55.357
"ebop-00160","TaxaRichness",17.5
"ebop-00161","MCI",84.519973685
"ebop-00161","PercentageEPTTaxa",33.4364868425
"ebop-00161","TaxaRichness",18
"ebop-00163","MCI",84.9999166675
"ebop-00163","PercentageEPTTaxa",41.6669166675
"ebop-00163","TaxaRichness",12
"ebop-00164","MCI",109.999916675
"ebop-00164","PercentageEPTTaxa",51.0415833325
"ebop-00164","TaxaRichness",24
"ebop-00165","MCI",114.336
"ebop-00165","PercentageEPTTaxa",51.69075
"ebop-00165","TaxaRichness",20.5
"ebop-00166","MCI",83.825
"ebop-00166","PercentageEPTTaxa",22.1465
"ebop-00166","TaxaRichness",19
"ebop-00167","MCI",100.625
"ebop-00167","PercentageEPTTaxa",47.9165
"ebop-00167","TaxaRichness",19.5
"ebop-00168","MCI",99.34148275
"ebop-00168","PercentageEPTTaxa",39.88825
"ebop-00168","TaxaRichness",21.75
"ebop-00169","MCI",100.474
"ebop-00169","PercentageEPTTaxa",37.846
"ebop-00169","TaxaRichness",20
"ebop-00170","MCI",109.01375
"ebop-00170","PercentageEPTTaxa",46.71325
"ebop-00170","TaxaRichness",24.5
"ebop-00173","MCI",91.712
"ebop-00173","PercentageEPTTaxa",30.9520833325
"ebop-00173","TaxaRichness",18.5
"ebop-00174","MCI",89.1355
"ebop-00174","PercentageEPTTaxa",24.0385
"ebop-00174","TaxaRichness",15
"ebop-00175","MCI",116.338
"ebop-00175","PercentageEPTTaxa",41.7700714275
"ebop-00175","TaxaRichness",20.5
"ebop-00178","MCI",112.8275431
"ebop-00178","PercentageEPTTaxa",39.737
"ebop-00178","TaxaRichness",25
"ebop-00179","MCI",96
"ebop-00179","PercentageEPTTaxa",38.6125
"ebop-00179","TaxaRichness",22.5
"ebop-00182","MCI",121.3795
"ebop-00182","PercentageEPTTaxa",67.5864423075
"ebop-00182","TaxaRichness",27
"ebop-00183","MCI",85.3489166675
"ebop-00183","PercentageEPTTaxa",14.8355
"ebop-00183","TaxaRichness",11.75
"ebop-00184","MCI",88.3335
"ebop-00184","PercentageEPTTaxa",25.694305555
"ebop-00184","TaxaRichness",7.5
"ebop-00185","MCI",101.5455
"ebop-00185","PercentageEPTTaxa",27.2320714275
"ebop-00185","TaxaRichness",11
"ebop-00186","MCI",84.643
"ebop-00186","PercentageEPTTaxa",15.4765
"ebop-00186","TaxaRichness",6.5
"ebop-00188","MCI",114.781
"ebop-00188","PercentageEPTTaxa",56.349464285
"ebop-00188","TaxaRichness",25.5
"ebop-00191","MCI",99.5765
"ebop-00191","PercentageEPTTaxa",44.375
"ebop-00191","TaxaRichness",18.75
"ebop-00192","MCI",100.428535715
"ebop-00192","PercentageEPTTaxa",42.582535715
"ebop-00192","TaxaRichness",23
"ebop-00193","MCI",87.39575
"ebop-00193","PercentageEPTTaxa",23.3335
"ebop-00193","TaxaRichness",15
"ebop-00194","MCI",128.777583325
"ebop-00194","PercentageEPTTaxa",51.0355
"ebop-00194","TaxaRichness",24
"ebop-00195","MCI",103.1335
"ebop-00195","PercentageEPTTaxa",43.9105
"ebop-00195","TaxaRichness",22
"ebop-00196","MCI",92.737
"ebop-00196","PercentageEPTTaxa",26.1905
"ebop-00196","TaxaRichness",19
"ebop-00197","MCI",137.394166675
"ebop-00197","PercentageEPTTaxa",66.3195
"ebop-00197","TaxaRichness",31
"ebop-00198","MCI",133.0835
"ebop-00198","PercentageEPTTaxa",52.0835
"ebop-00198","TaxaRichness",23.5
"ebop-00199","MCI",136.49075
"ebop-00199","PercentageEPTTaxa",62.54892647
"ebop-00199","TaxaRichness",33.75
"ebop-00200","MCI",134.826598475
"ebop-00200","PercentageEPTTaxa",62.4460151525
"ebop-00200","TaxaRichness",28
"ebop-00201","MCI",114.1165
"ebop-00201","PercentageEPTTaxa",42.5645
"ebop-00201","TaxaRichness",30.5
"ebop-00202","MCI",107.4605
"ebop-00202","PercentageEPTTaxa",42.94875
"ebop-00202","TaxaRichness",22.5
"ebop-00203","MCI",111.52333695
"ebop-00203","PercentageEPTTaxa",38.6625
"ebop-00203","TaxaRichness",22.5
"ebop-00204","MCI",122.0955
"ebop-00204","PercentageEPTTaxa",59.9605
"ebop-00204","TaxaRichness",34.5
"ebop-00205","MCI",123.2
"ebop-00205","PercentageEPTTaxa",62.658
"ebop-00205","TaxaRichness",20.75
"ebop-00206","MCI",123.3335
"ebop-00206","PercentageEPTTaxa",60
"ebop-00206","TaxaRichness",21
"ebop-00207","MCI",110.684394725
"ebop-00207","PercentageEPTTaxa",38.8665
"ebop-00207","TaxaRichness",19
"ebop-00208","MCI",108.29025
"ebop-00208","PercentageEPTTaxa",58.49293421
"ebop-00208","TaxaRichness",17.5
"ebop-00209","MCI",110.14575
"ebop-00209","PercentageEPTTaxa",42.9165
"ebop-00209","TaxaRichness",12.75
"ebop-00210","MCI",122.05825
"ebop-00210","PercentageEPTTaxa",49.74725
"ebop-00210","TaxaRichness",9
"ebop-00211","MCI",127.5
"ebop-00211","PercentageEPTTaxa",58.631
"ebop-00211","TaxaRichness",17
"ebop-00212","MCI",110.69240385
"ebop-00212","PercentageEPTTaxa",48.3515384625
"ebop-00212","TaxaRichness",17.5
"ebop-00213","MCI",125.4165
"ebop-00213","PercentageEPTTaxa",64.9124166675
"ebop-00213","TaxaRichness",17
"ebop-00214","MCI",123.557
"ebop-00214","PercentageEPTTaxa",60.314615385
"ebop-00214","TaxaRichness",22.5
"ebop-00221","MCI",120.769
"ebop-00221","PercentageEPTTaxa",60
"ebop-00221","TaxaRichness",20
"ebop-00223","MCI",77.5395
"ebop-00223","PercentageEPTTaxa",15.9720833325
"ebop-00223","TaxaRichness",19.5
"ebop-00223_niwa","MCI",87.2727272727273
"ebop-00223_niwa","PercentageEPTTaxa",25
"ebop-00223_niwa","TaxaRichness",8
"ebop-00224","MCI",115.47610715
"ebop-00224","PercentageEPTTaxa",57.658
"ebop-00224","TaxaRichness",24.5
"ebop-00225","MCI",106.46075
"ebop-00225","PercentageEPTTaxa",48.363
"ebop-00225","TaxaRichness",27.5
"ebop-10029","MCI",90.2255714275
"ebop-10029","PercentageEPTTaxa",36.068
"ebop-10029","TaxaRichness",18
"ecan-00005","MCI",97.1678335
"ecan-00005","PercentageEPTTaxa",35.5
"ecan-00005","TaxaRichness",23.5
"ecan-00013","MCI",91.36364
"ecan-00013","PercentageEPTTaxa",36.7
"ecan-00013","TaxaRichness",22
"ecan-00014","MCI",109.96335
"ecan-00014","PercentageEPTTaxa",46.885
"ecan-00014","TaxaRichness",16
"ecan-00020","MCI",110.4099
"ecan-00020","PercentageEPTTaxa",48.7075
"ecan-00020","TaxaRichness",17
"ecan-00031","MCI",98.925
"ecan-00031","PercentageEPTTaxa",40.75
"ecan-00031","TaxaRichness",23
"ecan-00033","MCI",87.25564
"ecan-00033","PercentageEPTTaxa",36.84
"ecan-00033","TaxaRichness",16.5
"ecan-00035","MCI",84.23913
"ecan-00035","PercentageEPTTaxa",26.09
"ecan-00035","TaxaRichness",23
"ecan-00040","MCI",92.257055
"ecan-00040","PercentageEPTTaxa",30.91
"ecan-00040","TaxaRichness",23.5
"ecan-00044","MCI",98.260855
"ecan-00044","PercentageEPTTaxa",32.39
"ecan-00044","TaxaRichness",21.5
"ecan-00046","MCI",84.327485
"ecan-00046","PercentageEPTTaxa",32.455
"ecan-00046","TaxaRichness",18.5
"ecan-00052","MCI",76.8421
"ecan-00052","PercentageEPTTaxa",23.685
"ecan-00052","TaxaRichness",19
"ecan-00053","MCI",81.45833
"ecan-00053","PercentageEPTTaxa",26.04
"ecan-00053","TaxaRichness",19
"ecan-00054","MCI",88.511905
"ecan-00054","PercentageEPTTaxa",35.415
"ecan-00054","TaxaRichness",22.5
"ecan-00055","MCI",67.809525
"ecan-00055","PercentageEPTTaxa",9.52
"ecan-00055","TaxaRichness",20.5
"ecan-00057","MCI",74.078435
"ecan-00057","PercentageEPTTaxa",15.49
"ecan-00057","TaxaRichness",16
"ecan-00062","MCI",87.415385
"ecan-00062","PercentageEPTTaxa",39.075
"ecan-00062","TaxaRichness",18.5
"ecan-00065","MCI",102.6316
"ecan-00065","PercentageEPTTaxa",46.1
"ecan-00065","TaxaRichness",19
"ecan-00070","MCI",90.76923
"ecan-00070","PercentageEPTTaxa",33.33
"ecan-00070","TaxaRichness",18
"ecan-00071","MCI",92.840895
"ecan-00071","PercentageEPTTaxa",35.625
"ecan-00071","TaxaRichness",16.5
"ecan-00072","MCI",88.8
"ecan-00072","PercentageEPTTaxa",40.91
"ecan-00072","TaxaRichness",21
"ecan-00080","MCI",96.19048
"ecan-00080","PercentageEPTTaxa",47.62
"ecan-00080","TaxaRichness",21
"ecan-00081","MCI",96.8
"ecan-00081","PercentageEPTTaxa",36.36
"ecan-00081","TaxaRichness",20
"ecan-00084","MCI",86.66666
"ecan-00084","PercentageEPTTaxa",31.58
"ecan-00084","TaxaRichness",21
"ecan-00086","MCI",86.214835
"ecan-00086","PercentageEPTTaxa",26.215
"ecan-00086","TaxaRichness",20.5
"ecan-00088","MCI",107.6923
"ecan-00088","PercentageEPTTaxa",44.23
"ecan-00088","TaxaRichness",26
"ecan-00090","MCI",73.33334
"ecan-00090","PercentageEPTTaxa",15.79
"ecan-00090","TaxaRichness",15
"ecan-00091","MCI",75.45454
"ecan-00091","PercentageEPTTaxa",18.18
"ecan-00091","TaxaRichness",20
"ecan-00102","MCI",96.11111
"ecan-00102","PercentageEPTTaxa",40.4
"ecan-00102","TaxaRichness",14
"ecan-00104","MCI",99.13043
"ecan-00104","PercentageEPTTaxa",34.78
"ecan-00104","TaxaRichness",23
"ecan-00106","MCI",77.64706
"ecan-00106","PercentageEPTTaxa",23.53
"ecan-00106","TaxaRichness",17
"ecan-00107","MCI",83.809525
"ecan-00107","PercentageEPTTaxa",33.93
"ecan-00107","TaxaRichness",19.25
"ecan-00117","MCI",93.28818
"ecan-00117","PercentageEPTTaxa",35.095
"ecan-00117","TaxaRichness",27.5
"ecan-00122","MCI",97.142855
"ecan-00122","PercentageEPTTaxa",40.285
"ecan-00122","TaxaRichness",20.5
"ecan-00123","MCI",97.857145
"ecan-00123","PercentageEPTTaxa",41.525
"ecan-00123","TaxaRichness",27.5
"ecan-00124","MCI",100
"ecan-00124","PercentageEPTTaxa",36.11
"ecan-00124","TaxaRichness",18
"ecan-00128","MCI",118.59845
"ecan-00128","PercentageEPTTaxa",50
"ecan-00128","TaxaRichness",22.5
"ecan-00129","MCI",105.22725
"ecan-00129","PercentageEPTTaxa",46.99
"ecan-00129","TaxaRichness",24.5
"ecan-00130","MCI",84.537035
"ecan-00130","PercentageEPTTaxa",26.1025
"ecan-00130","TaxaRichness",24.5
"ecan-00133","MCI",105.8333
"ecan-00133","PercentageEPTTaxa",39.13
"ecan-00133","TaxaRichness",21
"ecan-00134","MCI",103.5125
"ecan-00134","PercentageEPTTaxa",45.29
"ecan-00134","TaxaRichness",24
"ecan-00145","MCI",101.4286
"ecan-00145","PercentageEPTTaxa",42.86
"ecan-00145","TaxaRichness",16
"ecan-00148","MCI",90.52631
"ecan-00148","PercentageEPTTaxa",36.84
"ecan-00148","TaxaRichness",23
"ecan-00154","MCI",114
"ecan-00154","PercentageEPTTaxa",47.17
"ecan-00154","TaxaRichness",24
"ecan-00160","MCI",97.08332
"ecan-00160","PercentageEPTTaxa",41.67
"ecan-00160","TaxaRichness",23
"ecan-00170","MCI",99.318495
"ecan-00170","PercentageEPTTaxa",45.7875
"ecan-00170","TaxaRichness",24.75
"ecan-00176","MCI",85.8112775
"ecan-00176","PercentageEPTTaxa",34.735
"ecan-00176","TaxaRichness",20.25
"ecan-00177","MCI",92.838095
"ecan-00177","PercentageEPTTaxa",37.05
"ecan-00177","TaxaRichness",22
"ecan-00178","MCI",91.07143
"ecan-00178","PercentageEPTTaxa",36.905
"ecan-00178","TaxaRichness",23.5
"ecan-00179","MCI",95.62169
"ecan-00179","PercentageEPTTaxa",38.225
"ecan-00179","TaxaRichness",23
"ecan-00182","MCI",87.43158
"ecan-00182","PercentageEPTTaxa",24.525
"ecan-00182","TaxaRichness",24
"ecan-00183","MCI",93.41346
"ecan-00183","PercentageEPTTaxa",42.33
"ecan-00183","TaxaRichness",24
"ecan-10004","MCI",99.16667
"ecan-10004","PercentageEPTTaxa",43.75
"ecan-10004","TaxaRichness",32
"ecan-10028","MCI",92.63158
"ecan-10028","PercentageEPTTaxa",47.36842
"ecan-10028","TaxaRichness",11
"ecan-10033","MCI",94.31818
"ecan-10033","PercentageEPTTaxa",33.33
"ecan-10033","TaxaRichness",21.5
"ecan-10038","MCI",118.1585
"ecan-10038","PercentageEPTTaxa",50
"ecan-10038","TaxaRichness",26
"es-00001","MCI",86
"es-00001","PercentageEPTTaxa",36
"es-00001","TaxaRichness",21
"es-00001_niwa","MCI",92.5
"es-00001_niwa","PercentageEPTTaxa",38.46154
"es-00001_niwa","TaxaRichness",28
"es-00002","MCI",106
"es-00002","PercentageEPTTaxa",53
"es-00002","TaxaRichness",19
"es-00004","MCI",118
"es-00004","PercentageEPTTaxa",56
"es-00004","TaxaRichness",21
"es-00006","MCI",119
"es-00006","PercentageEPTTaxa",59
"es-00006","TaxaRichness",23
"es-00007","MCI",117.5
"es-00007","PercentageEPTTaxa",51
"es-00007","TaxaRichness",32
"es-00008","MCI",94
"es-00008","PercentageEPTTaxa",42
"es-00008","TaxaRichness",21.5
"es-00009","MCI",111
"es-00009","PercentageEPTTaxa",57
"es-00009","TaxaRichness",23
"es-00011","MCI",115
"es-00011","PercentageEPTTaxa",61
"es-00011","TaxaRichness",14
"es-00012","MCI",119
"es-00012","PercentageEPTTaxa",52
"es-00012","TaxaRichness",25
"es-00013","MCI",118
"es-00013","PercentageEPTTaxa",60
"es-00013","TaxaRichness",20
"es-00014","MCI",84
"es-00014","PercentageEPTTaxa",32
"es-00014","TaxaRichness",25
"es-00015","MCI",84
"es-00015","PercentageEPTTaxa",35
"es-00015","TaxaRichness",21
"es-00016","MCI",120
"es-00016","PercentageEPTTaxa",56
"es-00016","TaxaRichness",34
"es-00017","MCI",71
"es-00017","PercentageEPTTaxa",23
"es-00017","TaxaRichness",14
"es-00018","MCI",73
"es-00018","PercentageEPTTaxa",22
"es-00018","TaxaRichness",14
"es-00019","MCI",62.5
"es-00019","PercentageEPTTaxa",8.5
"es-00019","TaxaRichness",11.5
"es-00021","MCI",84
"es-00021","PercentageEPTTaxa",38
"es-00021","TaxaRichness",23
"es-00021_niwa","MCI",90
"es-00021_niwa","PercentageEPTTaxa",40.90909
"es-00021_niwa","TaxaRichness",23
"es-00022","MCI",94.5
"es-00022","PercentageEPTTaxa",32.925
"es-00022","TaxaRichness",25.5
"es-00024","MCI",114
"es-00024","PercentageEPTTaxa",54
"es-00024","TaxaRichness",28
"es-00025","MCI",115
"es-00025","PercentageEPTTaxa",60
"es-00025","TaxaRichness",17
"es-00026","MCI",127
"es-00026","PercentageEPTTaxa",64
"es-00026","TaxaRichness",25
"es-00027","MCI",93
"es-00027","PercentageEPTTaxa",40
"es-00027","TaxaRichness",25
"es-00028","MCI",96
"es-00028","PercentageEPTTaxa",38
"es-00028","TaxaRichness",24
"es-00029","MCI",121
"es-00029","PercentageEPTTaxa",54
"es-00029","TaxaRichness",28
"es-00030","MCI",100.5
"es-00030","PercentageEPTTaxa",39
"es-00030","TaxaRichness",24.5
"es-00033","MCI",120
"es-00033","PercentageEPTTaxa",61.5
"es-00033","TaxaRichness",26.5
"es-00034","MCI",103
"es-00034","PercentageEPTTaxa",58
"es-00034","TaxaRichness",27
"es-00035","MCI",91
"es-00035","PercentageEPTTaxa",40
"es-00035","TaxaRichness",20.5
"es-00036","MCI",78.5
"es-00036","PercentageEPTTaxa",35.5
"es-00036","TaxaRichness",19
"es-00037","MCI",99
"es-00037","PercentageEPTTaxa",44
"es-00037","TaxaRichness",15
"es-00038","MCI",111
"es-00038","PercentageEPTTaxa",53
"es-00038","TaxaRichness",21
"es-00042","MCI",113
"es-00042","PercentageEPTTaxa",61
"es-00042","TaxaRichness",21
"es-00043","MCI",115
"es-00043","PercentageEPTTaxa",60
"es-00043","TaxaRichness",19
"es-00044","MCI",96
"es-00044","PercentageEPTTaxa",46
"es-00044","TaxaRichness",24
"es-00046","MCI",109.5
"es-00046","PercentageEPTTaxa",51
"es-00046","TaxaRichness",28
"es-00047","MCI",97
"es-00047","PercentageEPTTaxa",45
"es-00047","TaxaRichness",26
"es-00048","MCI",96
"es-00048","PercentageEPTTaxa",38
"es-00048","TaxaRichness",25
"es-00053","MCI",100
"es-00053","PercentageEPTTaxa",39
"es-00053","TaxaRichness",26
"es-00054","MCI",89
"es-00054","PercentageEPTTaxa",14
"es-00054","TaxaRichness",16
"es-00061","MCI",93
"es-00061","PercentageEPTTaxa",48
"es-00061","TaxaRichness",25
"es-00062","MCI",100.5
"es-00062","PercentageEPTTaxa",44
"es-00062","TaxaRichness",19.5
"es-00064","MCI",78.5
"es-00064","PercentageEPTTaxa",25
"es-00064","TaxaRichness",20
"es-00065","MCI",82
"es-00065","PercentageEPTTaxa",27
"es-00065","TaxaRichness",23
"es-00068","MCI",74.5
"es-00068","PercentageEPTTaxa",21
"es-00068","TaxaRichness",17.5
"es-00072","MCI",90
"es-00072","PercentageEPTTaxa",43
"es-00072","TaxaRichness",18
"es-00106","MCI",72
"es-00106","PercentageEPTTaxa",6
"es-00106","TaxaRichness",15
