"LAWAID","Parameter","Year","Median"
"ecan-00367","TLI",2019,2.52612681454998
"ecan-00368","TLI",2019,1.74450392717245
"ecan-00369","CHLA",2019,74.5
"ecan-00369","ECOLI",2019,5
"ecan-00369","NH4N",2019,0.019
"ecan-00369","pH",2019,8.5
"ecan-00369","Secchi",2019,0.1
"ecan-00369","TLI",2019,6.83271526981246
"ecan-00369","TN",2019,2200
"ecan-00369","TP",2019,174.5
"ecan-00370","CHLA",2019,72
"ecan-00370","ECOLI",2019,20
"ecan-00370","NH4N",2019,0.015
"ecan-00370","pH",2019,8.49
"ecan-00370","Secchi",2019,0.1
"ecan-00370","TLI",2019,6.84961489702832
"ecan-00370","TN",2019,2300
"ecan-00370","TP",2019,182
"ecan-00371","CHLA",2019,69.5
"ecan-00371","ECOLI",2019,5
"ecan-00371","NH4N",2019,0.018
"ecan-00371","pH",2019,8.495
"ecan-00371","Secchi",2019,0.105
"ecan-00371","TLI",2019,6.76257075173135
"ecan-00371","TN",2019,2150
"ecan-00371","TP",2019,186
"ecan-00372","CHLA",2019,28
"ecan-00372","ECOLI",2019,194
"ecan-00372","NH4N",2019,0.05
"ecan-00372","pH",2019,7.93
"ecan-00372","Secchi",2019,0.2
"ecan-00372","TLI",2019,6.36193588302122
"ecan-00372","TN",2019,1445
"ecan-00372","TP",2019,144.5
"es-000142","CHLA",2019,1.8
"es-000142","ECOLI",2019,15
"es-000142","Secchi",2019,1.175
"es-000142","TLI",2019,4.88514445279087
"es-000142","TN",2019,810
"es-000142","TP",2019,29
"es-000157","CHLA",2019,1.55
"es-000157","ECOLI",2019,18
"es-000157","Secchi",2019,1.375
"es-000157","TLI",2019,4.76707847218578
"es-000157","TN",2019,750
"es-000157","TP",2019,26
"es-000158","CHLA",2019,1.8
"es-000158","ECOLI",2019,10.5
"es-000158","Secchi",2019,1.15
"es-000158","TLI",2019,4.9183536737477
"es-000158","TN",2019,775
"es-000158","TP",2019,28.5
"es-000159","CHLA",2019,2.1
"es-000159","ECOLI",2019,20
"es-000159","Secchi",2019,1.05
"es-000159","TLI",2019,4.93387478001662
"es-000159","TN",2019,820
"es-000159","TP",2019,36.5
"es-00144","CHLA",2019,3.55
"es-00144","ECOLI",2019,43.5
"es-00144","NH4N",2019,0.005
"es-00144","pH",2019,7.4
"es-00144","TLI",2019,4.82753656679847
"es-00144","TN",2019,515
"es-00144","TP",2019,23.5
"ew-00142","CHLA",2019,92
"ew-00142","NH4N",2019,0.01
"ew-00142","pH",2019,7.6
"ew-00142","Secchi",2019,0.33
"ew-00142","TLI",2019,6.59222992938489
"ew-00142","TN",2019,2202
"ew-00142","TP",2019,132
"ew-00143","CHLA",2019,4
"ew-00143","NH4N",2019,0.34
"ew-00143","pH",2019,4.8
"ew-00143","Secchi",2019,0.41
"ew-00143","TLI",2019,5.43761496778964
"ew-00143","TN",2019,2154
"ew-00143","TP",2019,30
"ew-00144","CHLA",2019,3
"ew-00144","NH4N",2019,0.01
"ew-00144","pH",2019,7.5
"ew-00144","Secchi",2019,3.18
"ew-00144","TLI",2019,3.9361517449872
"ew-00144","TN",2019,338
"ew-00144","TP",2019,12
"ew-00145","CHLA",2019,11
"ew-00145","NH4N",2019,0.093
"ew-00145","pH",2019,7.3
"ew-00145","Secchi",2019,1.42
"ew-00145","TLI",2019,4.91785593324989
"ew-00145","TN",2019,1146
"ew-00145","TP",2019,20
"ew-00146","CHLA",2019,27
"ew-00146","NH4N",2019,0.0105
"ew-00146","pH",2019,8.1
"ew-00146","Secchi",2019,0.39
"ew-00146","TLI",2019,5.78017008852374
"ew-00146","TN",2019,1135
"ew-00146","TP",2019,50.5
"ew-00147","CHLA",2019,63
"ew-00147","NH4N",2019,0.01
"ew-00147","pH",2019,7.9
"ew-00147","Secchi",2019,0.19
"ew-00147","TLI",2019,6.58084645473717
"ew-00147","TN",2019,1894
"ew-00147","TP",2019,111.5
"ew-00149","CHLA",2019,12
"ew-00149","NH4N",2019,0.025
"ew-00149","pH",2019,7.2
"ew-00149","Secchi",2019,1.385
"ew-00149","TLI",2019,5.09074554215143
"ew-00149","TN",2019,1310
"ew-00149","TP",2019,24
"ew-00150","CHLA",2019,12
"ew-00150","NH4N",2019,0.02
"ew-00150","pH",2019,7.1
"ew-00150","Secchi",2019,0.955
"ew-00150","TLI",2019,5.07064081216336
"ew-00150","TN",2019,1004
"ew-00150","TP",2019,31
"ew-00151","CHLA",2019,118.5
"ew-00151","NH4N",2019,0.01
"ew-00151","pH",2019,9.1
"ew-00151","Secchi",2019,0.16
"ew-00151","TLI",2019,6.74586021884744
"ew-00151","TN",2019,2906.5
"ew-00151","TP",2019,136.5
"gw-00257","CHLA",2019,15
"gw-00257","NH4N",2019,0.012
"gw-00257","Secchi",2019,0.47
"gw-00257","TLI",2019,4.94782283603203
"gw-00257","TN",2019,510
"gw-00257","TP",2019,32
"gw-00258","CHLA",2019,9.5
"gw-00258","NH4N",2019,0.005
"gw-00258","Secchi",2019,0.24
"gw-00258","TLI",2019,5.29661852998028
"gw-00258","TN",2019,470
"gw-00258","TP",2019,57
"gw-00262","CHLA",2019,8.5
"gw-00262","NH4N",2019,0.005
"gw-00262","Secchi",2019,0.285
"gw-00262","TLI",2019,5.29755018606938
"gw-00262","TN",2019,470
"gw-00262","TP",2019,39
"gw-00263","CHLA",2019,9
"gw-00263","NH4N",2019,0.005
"gw-00263","Secchi",2019,0.23
"gw-00263","TLI",2019,5.25125733565237
"gw-00263","TN",2019,470
"gw-00263","TP",2019,58
"hbrc-00170","TLI",2019,4.12929471534087
"hbrc-00171","CHLA",2019,9.1
"hbrc-00171","ECOLI",2019,3
"hbrc-00171","NH4N",2019,0.059
"hbrc-00171","pH",2019,8
"hbrc-00171","Secchi",2019,2.75
"hbrc-00171","TLI",2019,4.83545401140343
"hbrc-00171","TN",2019,750
"hbrc-00171","TP",2019,50.5
"hbrc-00176","CHLA",2019,6.8
"hbrc-00176","ECOLI",2019,5
"hbrc-00176","NH4N",2019,0.0535
"hbrc-00176","pH",2019,8.1
"hbrc-00176","Secchi",2019,3.1
"hbrc-00176","TLI",2019,4.27179231186156
"hbrc-00176","TN",2019,460
"hbrc-00176","TP",2019,22
"hrc-00329","TLI",2019,5.74329611478461
"hrc-00331","TLI",2019,5.62930732800225
"hrc-00332","TLI",2019,6.96212923353575
"hrc-00333","CHLA",2019,26.5
"hrc-00333","ECOLI",2019,8
"hrc-00333","NH4N",2019,0.025
"hrc-00333","TLI",2019,6.73991814732429
"hrc-00333","TN",2019,2675
"hrc-00333","TP",2019,112.5
"hrc-00335","TLI",2019,5.40579762985961
"hrc-00337","TLI",2019,5.21544694463221
"hrc-00339","TLI",2019,5.38735984206495
"hrc-00341","TLI",2019,7.04550421423386
"hrc-00342","TLI",2019,6.54201353117506
"lawa-100207","CHLA",2019,10
"lawa-100207","ECOLI",2019,10
"lawa-100207","NH4N",2019,0.005
"lawa-100207","pH",2019,7.5
"lawa-100207","Secchi",2019,1.35
"lawa-100207","TLI",2019,4.71380374454755
"lawa-100207","TN",2019,570
"lawa-100207","TP",2019,29
"lawa-100208","CHLA",2019,10.2
"lawa-100208","ECOLI",2019,10
"lawa-100208","NH4N",2019,0.005
"lawa-100208","pH",2019,7.5
"lawa-100208","Secchi",2019,1.4
"lawa-100208","TLI",2019,4.71833414949424
"lawa-100208","TN",2019,590
"lawa-100208","TP",2019,28
"lawa-100209","CHLA",2019,2.7
"lawa-100209","ECOLI",2019,15
"lawa-100209","NH4N",2019,0.0165
"lawa-100209","pH",2019,7.5
"lawa-100209","Secchi",2019,2.76
"lawa-100209","TLI",2019,4.20149713800138
"lawa-100209","TN",2019,860
"lawa-100209","TP",2019,20
"lawa-100210","CHLA",2019,2.83
"lawa-100210","ECOLI",2019,20
"lawa-100210","NH4N",2019,0.014
"lawa-100210","pH",2019,7.6
"lawa-100210","TLI",2019,4.33847196039852
"lawa-100210","TN",2019,870
"lawa-100210","TP",2019,22
"lawa-100211","CHLA",2019,0.33
"lawa-100211","NH4N",2019,0.005
"lawa-100211","pH",2019,7.2
"lawa-100211","Secchi",2019,11.3
"lawa-100211","TLI",2019,1.69824902082677
"lawa-100211","TN",2019,90
"lawa-100211","TP",2019,1.4
"lawa-100213","CHLA",2019,0.5
"lawa-100213","NH4N",2019,0.005
"lawa-100213","pH",2019,7.1
"lawa-100213","Secchi",2019,11.8
"lawa-100213","TLI",2019,1.69179283121596
"lawa-100213","TN",2019,84
"lawa-100213","TP",2019,1.6
"lawa-100215","CHLA",2019,4.75
"lawa-100215","ECOLI",2019,145
"lawa-100215","NH4N",2019,0.005
"lawa-100215","pH",2019,7.4
"lawa-100215","TLI",2019,5.00444196069964
"lawa-100215","TN",2019,535
"lawa-100215","TP",2019,26
"lawa-100243","CHLA",2019,128.5
"lawa-100243","ECOLI",2019,7.5
"lawa-100243","NH4N",2019,0.015
"lawa-100243","pH",2019,8.645
"lawa-100243","Secchi",2019,0.1
"lawa-100243","TLI",2019,7.59019905074893
"lawa-100243","TN",2019,4000
"lawa-100243","TP",2019,360
"lawa-100250","TLI",2019,5.84817311021872
"lawa-100263","CHLA",2019,0.45
"lawa-100263","NH4N",2019,0.005
"lawa-100263","pH",2019,7.2
"lawa-100263","Secchi",2019,11.45
"lawa-100263","TLI",2019,1.71559445459065
"lawa-100263","TN",2019,80.3
"lawa-100263","TP",2019,1.55
"lawa-100264","CHLA",2019,0.35
"lawa-100264","NH4N",2019,0.005
"lawa-100264","pH",2019,7.2
"lawa-100264","Secchi",2019,11.2
"lawa-100264","TLI",2019,1.78874143572469
"lawa-100264","TN",2019,89
"lawa-100264","TP",2019,1.5
"lawa-100266","CHLA",2019,0.5
"lawa-100266","NH4N",2019,0.005
"lawa-100266","pH",2019,7.2
"lawa-100266","Secchi",2019,10.6
"lawa-100266","TLI",2019,1.81248011753135
"lawa-100266","TN",2019,86
"lawa-100266","TP",2019,1.7
"lawa-101983","TLI",2019,3.87853904658822
"lawa-101984","CHLA",2019,31.5
"lawa-101984","ECOLI",2019,69
"lawa-101984","pH",2019,7.955
"lawa-101985","CHLA",2019,30.5
"lawa-101985","ECOLI",2019,18
"lawa-101985","pH",2019,8.29
"lawa-102219","CHLA",2019,1.2
"lawa-102219","ECOLI",2019,70
"lawa-102219","NH4N",2019,0.005
"lawa-102219","pH",2019,7.6
"lawa-102219","TLI",2019,4.17161551183244
"lawa-102219","TN",2019,420
"lawa-102219","TP",2019,18
"lawa-102220","CHLA",2019,3.2
"lawa-102220","ECOLI",2019,10
"lawa-102220","NH4N",2019,0.005
"lawa-102220","pH",2019,7.6
"lawa-102220","TLI",2019,4.51535453804473
"lawa-102220","TN",2019,520
"lawa-102220","TP",2019,21
"lawa-102221","CHLA",2019,3.2
"lawa-102221","ECOLI",2019,11
"lawa-102221","NH4N",2019,0.005
"lawa-102221","pH",2019,7.6
"lawa-102221","Secchi",2019,2.2
"lawa-102221","TLI",2019,4.50018371848807
"lawa-102221","TN",2019,590
"lawa-102221","TP",2019,23
"lawa-102303","CHLA",2019,40
"lawa-102303","NH4N",2019,0.02
"lawa-102303","pH",2019,7.1
"lawa-102303","Secchi",2019,0.95
"lawa-102303","TLI",2019,5.71282062693361
"lawa-102303","TN",2019,1343
"lawa-102303","TP",2019,80
"lawa-102304","CHLA",2019,35
"lawa-102304","NH4N",2019,0.034
"lawa-102304","pH",2019,6.7
"lawa-102304","Secchi",2019,0.4
"lawa-102304","TLI",2019,6.16775210321669
"lawa-102304","TN",2019,2406
"lawa-102304","TP",2019,100
"lawa-102305","CHLA",2019,39
"lawa-102305","NH4N",2019,0.01
"lawa-102305","pH",2019,7.1
"lawa-102305","Secchi",2019,0.745
"lawa-102305","TLI",2019,5.9543574926287
"lawa-102305","TN",2019,1382
"lawa-102305","TP",2019,95
"lawa-102308","TLI",2019,6.12031113281911
"lawa-102686","CHLA",2019,0.0195
"lawa-102686","NH4N",2019,0.005
"lawa-102686","Secchi",2019,4.9
"lawa-102686","TLI",2019,3.03040671372665
"lawa-102686","TN",2019,350
"lawa-102687","CHLA",2019,0.00052
"lawa-102687","NH4N",2019,0.0025
"lawa-102687","Secchi",2019,16.8
"lawa-102687","TLI",2019,0.41994260212403
"lawa-102687","TN",2019,53
"lawa-102687","TP",2019,2
"lawa-102688","CHLA",2019,0.000715
"lawa-102688","NH4N",2019,0.0025
"lawa-102688","Secchi",2019,16.15
"lawa-102688","TLI",2019,0.448753071261729
"lawa-102688","TN",2019,50
"lawa-102688","TP",2019,1.9
"lawa-102689","TLI",2019,4.55576057692635
"lawa-102705","TLI",2019,6.16544429059655
"lawa-102706","CHLA",2019,121
"lawa-102706","ECOLI",2019,7
"lawa-102706","NH4N",2019,0.018
"lawa-102706","pH",2019,8.77
"lawa-102706","Secchi",2019,0.1
"lawa-102706","TLI",2019,7.70940990897706
"lawa-102706","TN",2019,3950
"lawa-102706","TP",2019,370
"lawa-102707","TLI",2019,6.91165289610935
"lawa-102708","TLI",2019,5.31939140208986
"lawa-102709","TLI",2019,4.39833029418422
"lawa-102711","TLI",2019,6.4766762278811
"nrc-00071","TLI",2019,4.21155332630139
"nrc-00072","TLI",2019,4.78812208919988
"nrc-00073","TLI",2019,3.76280644728087
"nrc-00074","TLI",2019,3.96960758720543
"nrc-00075","TLI",2019,2.86797101695851
"nrc-00076","TLI",2019,4.07175992907502
"nrc-00077","TLI",2019,4.93624961779303
"nrc-00078","TLI",2019,4.44146173663254
"nrc-00079","TLI",2019,3.94173581959279
"nrc-00080","TLI",2019,3.90492357232268
"nrc-00081","TLI",2019,4.15721267442779
"nrc-00082","TLI",2019,3.74823161511211
"nrc-00083","TLI",2019,4.58471511246364
"nrc-00084","TLI",2019,3.51565244590775
"nrc-00085","TLI",2019,3.8884063142003
"nrc-00086","TLI",2019,4.73650217487318
"nrc-00087","TLI",2019,1.97148515254009
"nrc-00088","TLI",2019,3.10269578276763
"nrc-00089","TLI",2019,4.05392103597376
"nrc-00090","TLI",2019,2.40156294469156
"nrc-00091","TLI",2019,3.90115623202248
"nrc-00092","TLI",2019,3.60164882837468
"nrc-00093","TLI",2019,4.9292285077131
"nrc-00094","TLI",2019,5.22344923482298
"nrc-00095","CHLA",2019,3.55
"nrc-00095","NH4N",2019,0.02
"nrc-00095","pH",2019,7.4
"nrc-00095","Secchi",2019,1.09
"nrc-00095","TLI",2019,4.60875822365148
"nrc-00095","TN",2019,440
"nrc-00095","TP",2019,31
"nrc-00096","TLI",2019,4.92750661801809
"orc-00027","CHLA",2019,1.2
"orc-00027","ECOLI",2019,5
"orc-00027","NH4N",2019,0.005
"orc-00027","pH",2019,7.85
"orc-00027","TLI",2019,2.19988434925978
"orc-00027","TN",2019,70
"orc-00027","TP",2019,7
"orc-00028","CHLA",2019,0.98
"orc-00028","ECOLI",2019,5
"orc-00028","NH4N",2019,0.005
"orc-00028","pH",2019,7.7
"orc-00028","TLI",2019,1.77190609573289
"orc-00028","TN",2019,42
"orc-00028","TP",2019,13
"orc-00031","CHLA",2019,4.9
"orc-00031","ECOLI",2019,5
"orc-00031","NH4N",2019,0.006
"orc-00031","pH",2019,8.25
"orc-00031","TLI",2019,4.45330511079007
"orc-00031","TN",2019,290
"orc-00031","TP",2019,28
"orc-00033","CHLA",2019,12.5
"orc-00033","ECOLI",2019,5
"orc-00033","NH4N",2019,0.015
"orc-00033","pH",2019,8.25
"orc-00033","TLI",2019,5.41159112443873
"orc-00033","TN",2019,935
"orc-00033","TP",2019,47
"orc-00034","CHLA",2019,1.6
"orc-00034","ECOLI",2019,2
"orc-00034","NH4N",2019,0.005
"orc-00034","pH",2019,6.8
"orc-00034","TLI",2019,3.55847479520085
"orc-00034","TN",2019,240
"orc-00034","TP",2019,21
"orc-00035","CHLA",2019,0.0039
"orc-00035","ECOLI",2019,6.6
"orc-00035","NH4N",2019,0.00775
"orc-00035","pH",2019,7.7
"orc-00035","TLI",2019,5.16716487026662
"orc-00035","TN",2019,330
"orc-00035","TP",2019,36.3
"orc-00036","CHLA",2019,5.2
"orc-00036","ECOLI",2019,29
"orc-00036","NH4N",2019,0.007
"orc-00036","pH",2019,7.5
"orc-00036","TLI",2019,4.67504663074691
"orc-00036","TN",2019,460
"orc-00036","TP",2019,42
"orc-00037","CHLA",2019,0.98
"orc-00037","ECOLI",2019,5
"orc-00037","NH4N",2019,0.005
"orc-00037","pH",2019,7.7
"orc-00037","TLI",2019,1.84950261219166
"orc-00037","TN",2019,45.5
"orc-00037","TP",2019,2.5
"orc-00038","CHLA",2019,1.15
"orc-00038","ECOLI",2019,5
"orc-00038","NH4N",2019,0.005
"orc-00038","pH",2019,7.9
"orc-00038","TLI",2019,2.10393578543073
"orc-00038","TN",2019,61
"orc-00038","TP",2019,13.45
"trc-00051","NH4N",2019,0.005
"trc-00051","pH",2019,7.2
"trc-00051","TLI",2019,4.1799698440331
"trc-00051","TN",2019,715
"trc-00051","TP",2019,20
"trc-00053","NH4N",2019,0.022
"trc-00053","pH",2019,7.2
"trc-00053","TLI",2019,4.40866726638897
"trc-00053","TN",2019,735
"trc-00053","TP",2019,27.5
"wcrc-00064","CHLA",2019,0.9
"wcrc-00064","NH4N",2019,0.005
"wcrc-00064","Secchi",2019,6.3
"wcrc-00064","TLI",2019,2.7536679794793
"wcrc-00064","TN",2019,220.5
"wcrc-00064","TP",2019,6
"wcrc-00065","CHLA",2019,1.6
"wcrc-00065","NH4N",2019,0.0185
"wcrc-00065","Secchi",2019,5.36
"wcrc-00065","TLI",2019,3.13334110472721
"wcrc-00065","TN",2019,222.5
"wcrc-00065","TP",2019,8
"wcrc-00067","CHLA",2019,1.5
"wcrc-00067","NH4N",2019,0.022
"wcrc-00067","Secchi",2019,2.11
"wcrc-00067","TLI",2019,3.72408500251072
"wcrc-00067","TN",2019,358
"wcrc-00067","TP",2019,14
