"LawaSiteID","CouncilSiteID","Year","NitrogenMed","NitrogenMed_Band","NitrateAnalysisNote","PhosphorusMed","PhosphorusMed_Band","PhosphorusAnalysisNote","AmmoniacalMed","AmmoniacalMed_Band","AmmoniacalMax","AmmoniacalMax_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","ClarityMedian","ClarityMedian_Band","ClarityAnalysisNote","ChlAMed","ChlAMed_Band","ChlAMax","ChlAMax_Band","ChlASummaryBand","ChlAAnalysisNote","EcoliPeriod","EcoliMedian","EcoliBand","Ecoli95","Ecoli95_Band","EcoliRecHealth540","EcoliRecHealth540_Band","EcoliRecHealth260","EcoliRecHealth260_Band","EcoliSummaryBand","EcoliAnalysisNote","Agency","Region","SiteID"
"","Lake Waipu (Composite)","2013to2017",NA,NA,"Need 30 values for median, have 10",NA,NA,"Need 30 values for median, have10",NA,NA,NA,NA,NA,"Need 30 values for median, have 10",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 10",NA,8,"ABC",8,"ABC",25,"D",25,"BC","D"," Need 60 values for 5yr have 8","hrc","manawatu-whanganui",""
"","Lake Waipu (Composite)","2014to2018",NA,NA,"Need 30 values for median, have 14",NA,NA,"Need 30 values for median, have14",NA,NA,NA,NA,NA,"Need 30 values for median, have 14",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 14",NA,11,"ABC",11,"ABC",27.2727272727273,"D",27.2727272727273,"BC","D"," Need 60 values for 5yr have 11","hrc","manawatu-whanganui",""
"","Lake Waipu (Composite)","2015to2019",NA,NA,"Need 30 values for median, have 18",NA,NA,"Need 30 values for median, have18",NA,NA,NA,NA,NA,"Need 30 values for median, have 18",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 18",NA,15,"ABC",15,"ABC",26.6666666666667,"D",26.6666666666667,"BC","D"," Need 60 values for 5yr have 15","hrc","manawatu-whanganui",""
"ebop-00087","FK427028_INT","1993to1997",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1994to1998",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1995to1999",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1996to2000",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1997to2001",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1998to2002",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","1999to2003",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2000to2004",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2001to2005",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2002to2006",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2003to2007",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2004to2008",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2005to2009",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2006to2010",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2007to2011",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2008to2012",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2009to2013",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2010to2014",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2011to2015",NA,NA,"Need 30 values for median, have 12",NA,NA,"Need 30 values for median, have12",NA,NA,NA,NA,NA,"Need 30 values for median, have 12",NA,NA,"Need 30 values for median, have12",NA,NA,NA,NA,NA,"Need 30 values for max, have 12",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2012to2016",NA,NA,"Need 30 values for median, have 24",NA,NA,"Need 30 values for median, have24",NA,NA,NA,NA,NA,"Need 30 values for median, have 24",NA,NA,"Need 30 values for median, have24",NA,NA,NA,NA,NA,"Need 30 values for max, have 24",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2013to2017",189.75,"B","",10.5,"B","",0.002,"A",0.022,"A","A","",6.75000004775,"B","",2.85,"B",10.29,"B","B","",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2014to2018",187.75,"B","",11,"B","",0.003,"A",0.022,"A","A","",6.55,"B","",3,"B",10.56,"B","B","",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00087","FK427028_INT","2015to2019",183,"B","",10,"A","",0.003,"A",0.022,"A","A","",6.9499999045,"B","",3,"B",10.275,"B","B","",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okareka at site 1 (integrated)"
"ebop-00088","FI680541_INT","1993to1997",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1994to1998",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1995to1999",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1996to2000",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1997to2001",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1998to2002",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","1999to2003",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2000to2004",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2001to2005",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2002to2006",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2003to2007",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2004to2008",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2005to2009",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2006to2010",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
"ebop-00088","FI680541_INT","2007to2011",NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for median, have 0",NA,NA,"Need 30 values for median, have0",NA,NA,NA,NA,NA,"Need 30 values for max, have 0",NA,NA,NA,0,"ABC",NA,"",NA,"",NA,"n = 0 Insufficient data to calculate annual medians Need 60 values for 5yr have 0","boprc","bay of plenty","lake okaro at site 1 (integrated)"
