LAWAID,ORC,Site Name,Date Time,Measurement,ReportedLabValue,RawValue,Depthfrom,Depthto,Samplelevel,Method,DetectionLimit,QualityCode,SampleFrequency,Laketype
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Conductivity (uS/cm @ 25 deg C),0.063,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Dissolved oxygen (% saturation),97.6,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Dissolved oxygen (g/m3 O2),11.24,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Nitrate/nitrite (mg/m3 N),0.032,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,pH,7.5,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Temperature (deg C),9,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Total nitrogen (mg/m3 N),0.05,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Turbidity (NTU),0.5,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Ammoniacal nitrogen (mg/m3 N),0.01,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Chlorophyll a (mg/m3),<3.800,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Conductivity (uS/cm @ 25 deg C),0.06,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Dissolved oxygen (% saturation),107.6,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Dissolved oxygen (g/m3 O2),12.3,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,E. coli (MPN/100 ml),2,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Nitrate/nitrite (mg/m3 N),0.044,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,pH,7.62,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Suspended Solids  (mg/m3),5,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Temperature (deg C),9.1,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Total nitrogen (mg/m3 N),0.1,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Total phosphorus (mg/m3 P),0.016,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/08/2004,Turbidity (NTU),4.4,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Conductivity (uS/cm @ 25 deg C),0.051,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Dissolved oxygen (% saturation),112.2,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Dissolved oxygen (g/m3 O2),12.16,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Nitrate/nitrite (mg/m3 N),0.047,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Temperature (deg C),11.09,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Total nitrogen (mg/m3 N),0.1,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,5/10/2004,Turbidity (NTU),0.35,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Conductivity (uS/cm @ 25 deg C),0.058,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Dissolved oxygen (% saturation),85.4,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Dissolved oxygen (g/m3 O2),8.87,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Nitrate/nitrite (mg/m3 N),0.026,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Temperature (deg C),13.82,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Total nitrogen (mg/m3 N),<0.050,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,9/12/2004,Turbidity (NTU),0.5,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Chlorophyll a (mg/m3),<2.000,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Conductivity (uS/cm @ 25 deg C),0.058,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Dissolved oxygen (% saturation),96.7,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Dissolved oxygen (g/m3 O2),9.17,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,E. coli (MPN/100 ml),4,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Nitrate/nitrite (mg/m3 N),0.019,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Suspended Solids  (mg/m3),1,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Temperature (deg C),18.63,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Total nitrogen (mg/m3 N),0.06,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,15/02/2005,Turbidity (NTU),0.5,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Conductivity (uS/cm @ 25 deg C),0.062,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Dissolved oxygen (% saturation),102.2,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Dissolved oxygen (g/m3 O2),10.97,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,E. coli (MPN/100 ml),11,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Nitrate/nitrite (mg/m3 N),0.028,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Temperature (deg C),12.68,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Total nitrogen (mg/m3 N),0.09,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Total phosphorus (mg/m3 P),0.006,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,27/04/2005,Turbidity (NTU),0.4,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Conductivity (uS/cm @ 25 deg C),0.06,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Dissolved oxygen (% saturation),88.7,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Dissolved oxygen (g/m3 O2),10.24,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Nitrate/nitrite (mg/m3 N),0.033,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,pH,7.51,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Temperature (deg C),8.9,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Total nitrogen (mg/m3 N),0.11,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,16/06/2005,Turbidity (NTU),0.4,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Ammoniacal nitrogen (mg/m3 N),,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Conductivity (uS/cm @ 25 deg C),0.055,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Dissolved oxygen (% saturation),102.7,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Dissolved oxygen (g/m3 O2),12.14,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,E. coli (MPN/100 ml),1,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Nitrate/nitrite (mg/m3 N),0.039,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Suspended Solids  (mg/m3),<3.000,,0.1,0.1,Epilimnion,APHA 2540 D,3,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Temperature (deg C),8.21,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Total nitrogen (mg/m3 N),0.1,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Total phosphorus (mg/m3 P),0.005,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,3/08/2005,Turbidity (NTU),0.33,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Conductivity (uS/cm @ 25 deg C),0.065,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Dissolved oxygen (% saturation),125.5,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Dissolved oxygen (g/m3 O2),13.22,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Dissolved reactive phosphorus (mg/m3 P),0.005,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Nitrate/nitrite (mg/m3 N),0.015,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Suspended Solids  (mg/m3),<3.000,,0.1,0.1,Epilimnion,APHA 2540 D,3,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Temperature (deg C),12.93,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Total nitrogen (mg/m3 N),0.08,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Total phosphorus (mg/m3 P),0.005,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,18/10/2005,Turbidity (NTU),0.35,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,8/12/2005,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,8/12/2005,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
