"LawaSiteID","CouncilSiteID","SiteID","Year","NitrateMed","NitrateMed_Band","Nitrate95","Nitrate95_Band","Nitrate_Toxicity_Band","NitrateAnalysisNote","AmmoniacalMed","AmmoniacalMed_Band","Ammoniacal95","Ammoniacal95_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","E_coli_Period","E_coli_Median","E_coli_Median_Band","E_coli95","E_coli95_Band","E_coliRecHealth540","E_coliRecHealth540_Band","E_coliRecHealth260","E_coliRecHealth260_Band","E_coliSummaryband","E_coliAnalysisNote","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Landcover","Altitude","AltitudeCl"
"ccc-00016","HEATH10","curletts road stream upstream of heathcote river","Overall",1.415,"B",3.6109,"C","C","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,260,"D",2979.99999999997,"DE",28.3333333333333,"D",48.3333333333333,"D","D","",47088,"canterbury","ecan","lowland","Urban",-43.5544930878685,172.590432667221,"23-Jun-2020","Urban",13,"Lowland"
"ccc-00017","HEATH14","curletts road stream at motorway","Overall",0.38,"A",3.4667,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,230,NA,7675,NA,31.4814814814815,NA,44.4444444444444,NA,NA," Need 60 values, have only 54",46905,"canterbury","ecan","lowland","Urban",-43.548646774227,172.58400022271,"23-Jun-2020","Urban",13,"Lowland"
"ccc-00018","HEATH06","heathcote river at rose street","Overall",2.4,"B",3.4241,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,555,"DE",6149.99999999996,"DE",51.6666666666667,"E",63.3333333333333,"DE","E","",47077,"canterbury","ecan","lowland","Urban",-43.5707152325921,172.612271040374,"23-Jun-2020","Urban",64,"Lowland"
"ccc-00019","HEATH16","cashmere stream at sutherlands road","Overall",2.1275,"B",2.91,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,31,"ABC",191,"ABC",1.66666666666667,"A",1.66666666666667,"A","A","",48186,"canterbury","ecan","lowland","Rural",-43.5879724435027,172.579770063283,"23-Jun-2020","Rural",46,"Lowland"
"ccc-00020","HEATH05","cashmere stream at worsleys road","Overall",1.5685,"B",2,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,315,"DE",1730,"DE",18.3333333333333,"C",65,"DE","D","",47855,"canterbury","ecan","lowland","Urban",-43.5775960140065,172.616312750997,"23-Jun-2020","Urban",6,"Lowland"
"ccc-00021","HEATH07","heathcote river at ferniehurst street","Overall",2,"B",2.3095,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,535,"DE",3699.99999999998,"DE",50,"E",83.3333333333333,"DE","E","",47656,"canterbury","ecan","lowland","Urban",-43.5734881315978,172.617910682521,"23-Jun-2020","Urban",64,"Lowland"
"ccc-00022","HEATH04","heathcote river at bowenvale avenue","Overall",1.7815,"B",2.1,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,440,"DE",4269.99999999999,"DE",41.6666666666667,"E",73.3333333333333,"DE","E","",47708,"canterbury","ecan","lowland","Urban",-43.5720568323126,172.643184667368,"23-Jun-2020","Urban",7,"Lowland"
"ccc-00023","HEATH03","heathcote river at opawa road/clarendon terrace","Overall",1.615,"B",2,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,310,"DE",3489.99999999999,"DE",28.3333333333333,"D",60,"DE","D","",47078,"canterbury","ecan","lowland","Urban",-43.5556017193212,172.666472146971,"23-Jun-2020","Urban",8.55736923218,"Lowland"
"ccc-00024","HEATH12","heathcote river at mackenzie avenue","Overall",1.6,"B",2,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,355,"DE",9280,"DE",35,"E",66.6666666666667,"DE","E","",46901,"canterbury","ecan","lowland","Urban",-43.5528995571183,172.672043169022,"23-Jun-2020","Urban",6.68731880188,"Lowland"
"ccc-00026","HEATH02","heathcote river at tunnel road","Overall",1.2,"B",1.8,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,425,"DE",6580,"DE",48.3333333333333,"E",65,"DE","E","",47145,"canterbury","ecan","lowland","Urban",-43.5563186448341,172.691268649199,"23-Jun-2020","Urban",2.67674636841,"Lowland"
"ccc-00027","HEATH01","heathcote river at ferrymead bridge","Overall",0.896,"A",1.62,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,345,"DE",4049.99999999999,"DE",38.3333333333333,"E",60,"DE","E","",47241,"canterbury","ecan","lowland","Urban",-43.559910251614,172.708799883464,"23-Jun-2020","Urban",1,"Lowland"
"ccc-00028","STYX01","smacks creek at gardiners road","Overall",0.4975,"A",0.842,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,63,"ABC",788.999999999999,"BC",10,"BC",16.6666666666667,"A","B","",44162,"canterbury","ecan","lowland","Urban",-43.4622427363149,172.589518939099,"23-Jun-2020","Rural",18,"Lowland"
"ccc-00029","STYX02","styx river at gardiners road","Overall",0.41,"A",0.9915,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,190,NA,685.5,NA,13.5593220338983,NA,35.5932203389831,NA,NA," Need 60 values, have only 59",44247,"canterbury","ecan","lowland","Rural",-43.4688124753422,172.589301725774,"23-Jun-2020","Rural",18,"Lowland"
"ccc-00030","STYX03","styx river at main north road","Overall",0.361,"A",0.554,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,420,"DE",1219.99999999999,"DE",38.3333333333333,"E",85,"DE","E","",44327,"canterbury","ecan","lowland","Urban",-43.4689725120054,172.617439572524,"23-Jun-2020","Urban",12,"Lowland"
"ccc-00031","STYX04","ka putahi/kaputone creek at blakes road","Overall",1.2,"B",1.6055,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,455,"DE",6309.99999999999,"DE",50,"E",70,"DE","E","",43286,"canterbury","ecan","lowland","Rural",-43.4617268213067,172.633980776857,"23-Jun-2020","Urban",9,"Lowland"
"ccc-00032","STYX05","ka putahi/kaputone creek at belfast rd","Overall",1,"A",1.21,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,1500,"DE",4719.99999999999,"DE",96.6666666666667,"E",100,"DE","E","",43691,"canterbury","ecan","lowland","Rural",-43.4596621439944,172.656159701242,"23-Jun-2020","Urban",9,"Lowland"
"ccc-00033","STYX06","styx river at marshland road bridge","Overall",0.53,"A",0.917999999999999,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,565,"DE",2130,"DE",63.3333333333333,"E",95,"DE","E","",44137,"canterbury","ecan","lowland","Urban",-43.4640694167338,172.658161372718,"23-Jun-2020","Urban",8,"Lowland"
"ccc-00034","STYX07","styx river at richards bridge","Overall",0.5245,"A",0.68,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,315,"DE",1499.99999999999,"DE",28.3333333333333,"D",70,"DE","D","",43308,"canterbury","ecan","lowland","Rural",-43.4473682406571,172.678242764415,"23-Jun-2020","Urban",5,"Lowland"
"ccc-00035","STYX08","styx river at harbour road bridge","Overall",0.4485,"A",0.641,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,170,"D",621,"BC",11.6666666666667,"C",33.3333333333333,"C","D","",41830,"canterbury","ecan","lowland","Rural",-43.4014011517447,172.691113348629,"23-Jun-2020","Rural",1,"Lowland"
"ccc-00036","HALS03","nottingham stream at candys road","Overall",0.722,"A",1.9,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,770,NA,8019.99999999997,NA,55.9322033898305,NA,76.271186440678,NA,NA," Need 60 values, have only 59",48172,"canterbury","ecan","lowland","Rural",-43.5960820755419,172.560469911407,"23-Jun-2020","Rural",0,"Lowland"
"ccc-00037","HALS05","knights stream at sabys road","Overall",4.25,"C",5.9663,"C","C","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,560,"DE",1460,"DE",53.3333333333333,"E",78.3333333333333,"DE","E","",48525,"canterbury","ecan","lowland","Rural",-43.5980955591596,172.550424215425,"23-Jun-2020","Rural",3,"Lowland"
"ccc-00038","HALS04","halswell river at akaroa highway (tai tapu road)","Overall",3.4,"C",5.0893,"C","C","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,450,"DE",3650,"DE",38.3333333333333,"E",83.3333333333333,"DE","E","",48844,"canterbury","ecan","lowland","Rural",-43.6083092292221,172.559316723578,"23-Jun-2020","Rural",66,"Lowland"
"ccc-00039","OTUKAI01","otukaikino river at groynes inlet","Overall",0.169,"A",0.561,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,110,"ABC",271,"ABC",5,"B",10,"A","B","",43757,"canterbury","ecan","lowland","Urban",-43.4540719302806,172.602855421428,"23-Jun-2020","Rural",15,"Lowland"
"ccc-00040","OTUKAI02","wilsons stream","Overall",1.6025,"B",1.8,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,200,"D",4539.99999999999,"DE",15,"C",38.3333333333333,"D","D","",42824,"canterbury","ecan","lowland","Rural",-43.4368820331632,172.644517314171,"23-Jun-2020","Urban",6,"Lowland"
"ccc-00041","OUT01","linwood canal/city outfall drain","Overall",0.0915,"A",0.458,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,290,"DE",1240,"DE",25,"D",61.6666666666667,"DE","D","",46651,"canterbury","ecan","lowland","Urban",-43.5520000579572,172.70215530663,"23-Jun-2020","Urban",0,"Lowland"
"ccc-00042","OTUKAI03","otukaikino creek at omaka scout camp","Overall",0.185,"A",0.588,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,97.5,NA,313.999999999998,NA,4.08163265306122,NA,6.12244897959184,NA,NA," Need 60 values, have only 49",43756,"canterbury","ecan","lowland","Rural",-43.4614535476,172.575437939442,"23-Jun-2020","Rural",23,"Lowland"
"ebop-00001","BQ966369","aongatete at sh2","Overall",0.2705,"A",0.6352,"A","A","",0.00199203187250996,"A",0.00366486178398404,"A","A","",6,48,"ABC",558,"BC",5,"B",13.3333333333333,"A","B","",4000490,"bay of plenty","boprc","lowland","Rural",-37.6073828302249,175.941409491124,"23-Jun-2020","Rural",16,"Lowland"
"ebop-00002","RN123610","haparapara at sh35","Overall",0.0325,"A",0.1012,"A","A","",0.00115830115830116,"A",0.00408024748360883,"A","A","",5,7,"ABC",282.5,"ABC",1.8348623853211,"A",5.5045871559633,"A","A","",4003934,"bay of plenty","boprc","lowland","Forest",-37.7998397579293,177.6698989117,"23-Jun-2020","Forest",49,"Lowland"
"ebop-00003","FN834668","kaituna at maungarangi rd","Overall",0.269,"A",0.36,"A","A","",0.00359695239659917,"A",0.0102584607418701,"A","A","",6,26,"ABC",483.499999999999,"ABC",4.22535211267606,"A",7.04225352112676,"A","A","",4003662,"bay of plenty","boprc","lowland","Rural",-37.8384673935175,176.390192548793,"23-Jun-2020","Rural",19,"Lowland"
"ebop-00006","DP784306","kopurererua at sh2","Overall",0.9205,"A",1.0893,"A","A","",0.0265943800555354,"A",0.0777371505712686,"B","B","",5,226.25,"D",2590.0001,"DE",18.75,"C",42.1875,"D","D","",4001195,"bay of plenty","boprc","lowland","Urban",-37.6975746328178,176.151257931251,"23-Jun-2020","Rural",19,"Lowland"
"ebop-00007","FL356693","kaituna at rotoiti outlet","Overall",0.042,"A",0.1835,"A","A","",0.00531752936059156,"A",0.0158341839254552,"A","A","",6,5,"ABC",26.55,"ABC",0,"A",0,"A","A","",4008095,"bay of plenty","boprc","upland","Rural",-38.0177585587837,176.343976823451,"23-Jun-2020","Rural",323,"Upland"
"ebop-00009","CO543022","ngamuwahine at old bridge","Overall",0.1885,"A",0.3001,"A","A","",0.00239234449760766,"A",0.00650290936689646,"A","A","",5,37,"ABC",3348.33354999998,"DE",15.5844155844156,"C",20.7792207792208,"BC","D","",4002930,"bay of plenty","boprc","lowland","Forest",-37.816784458299,176.015399445936,"23-Jun-2020","Forest",177.5,"Upland"
"ebop-00010","EL174017","ngongotaha at sh36","Overall",0.8155,"A",0.9159,"A","A","",0.00560344827586207,"A",0.0100996015936255,"A","A","",5,280,"DE",2750,"DE",26.1538461538462,"D",50.7692307692308,"DE","D","",4010395,"bay of plenty","boprc","upland","Rural",-38.0823576072631,176.212205642004,"23-Jun-2020","Rural",369.25,"Upland"
"ebop-00012","FL230406","ohau channel at sh33","Overall",0.0505,"A",0.252,"A","A","",0.00485446570972887,"A",0.0227272727272727,"A","A","",5,28,"ABC",203.5,"ABC",1.22699386503067,"A",4.29447852760736,"A","A","",4009042,"bay of plenty","boprc","upland","Rural",-38.0439971161231,176.330840055897,"23-Jun-2020","Rural",286,"Upland"
"ebop-00013","DO047598","omanawa at sh29","Overall",1.2,"B",1.34925,"A","B","",0.00287081339712919,"A",0.0054413923254351,"A","A","",5,110,"ABC",3550,"DE",9.23076923076923,"B",23.0769230769231,"BC","D","",4002044,"bay of plenty","boprc","lowland","Forest",-37.7545342603477,176.070120033999,"23-Jun-2020","Forest",29,"Lowland"
"ebop-00014","OK300616","otara at browns bridge","Overall",0.0685,"A",0.162,"A","A","",0.00167597765363128,"A",0.00529718102569908,"A","A","",5,27.5,"ABC",375,"ABC",3.33333333333333,"A",8.33333333333333,"A","A","",4011726,"bay of plenty","boprc","lowland","Forest",-38.0811717506377,177.366198500991,"23-Jun-2020","Forest",43,"Lowland"
"ebop-00016","GN922883","pongakawa at sh2","Overall",1.5615,"B",1.696,"B","B","",0.0055561399817659,"A",0.0272173333703467,"A","A","",5,133.333,"D",1760,"DE",10.6951871657754,"C",28.3422459893048,"BC","D","",4003250,"bay of plenty","boprc","lowland","Rural",-37.8155217087343,176.512698416166,"23-Jun-2020","Rural",17,"Lowland"
"ebop-00017","GN849464","pongakawa at old coach rd","Overall",1.574,"B",1.6918,"B","B","",0.00358565737051793,"A",0.0120310263631747,"A","A","",5,190,"D",1800,"DE",15,"C",35,"D","D","",4004139,"bay of plenty","boprc","lowland","Rural",-37.8534811960477,176.506195407174,"23-Jun-2020","Rural",103,"Lowland"
"ebop-00019","EK598179","puarenga at fri","Overall",0.8095,"A",1.041,"A","A","",0.0278438370071836,"A",0.0515493515493516,"B","B","",6,73,"ABC",1806.6668,"DE",14.4927536231884,"C",17.3913043478261,"A","D","",4013244,"bay of plenty","boprc","upland","Rural",-38.1564389941754,176.263799380814,"23-Jun-2020","Rural",294.5,"Upland"
"ebop-00021","JK491452","rangitaiki at matahina dam","Overall",0.387,"A",0.7688,"A","A","",0.0061666582162957,"A",0.0326331811263317,"A","A","",5,8.5,"ABC",78.7999999999998,"ABC",0.925925925925926,"A",0.925925925925926,"A","A","",4012263,"bay of plenty","boprc","lowland","Forest",-38.1150203795324,176.819978908605,"23-Jun-2020","Forest",39,"Lowland"
"ebop-00022","SO991920","raukokore at sh35","Overall",0.033,"A",0.11335,"A","A","",0.00148106212790825,"A",0.0050812401381722,"A","A","",6,12,"ABC",584,"BC",6.15384615384615,"B",7.69230769230769,"A","B","",4001560,"bay of plenty","boprc","lowland","Forest",-37.6736212535426,177.873695915599,"23-Jun-2020","Forest",22,"Lowland"
"ebop-00023","EP623312","rocky at mangatawa lane","Overall",0.7255,"A",1.1776,"A","A","",0.0237303237303237,"A",0.106343112398889,"B","B","",6,175,"D",2384,"DE",11.6666666666667,"C",33.3333333333333,"C","D","",4001210,"bay of plenty","boprc","lowland","Rural",-37.6944799012024,176.246312200819,"23-Jun-2020","Rural",15,"Lowland"
"ebop-00024","IK555889","tarawera at kawerau bridge","Overall",NA,NA,NA,NA,NA," Need 30 values for overall median, have 23 Need 30 values for overall 95%ile, have 23",NA,NA,NA,NA,NA," Need 30 values for overall median, have 23 Need 30 values for overall 95%ile, have 23",5,90,"ABC",477.5,"ABC",2.53164556962025,"A",7.59493670886076,"A","A","",4010551,"bay of plenty","boprc","lowland","Forest",-38.0802784158219,176.712421137622,"23-Jun-2020","Forest",26.25,"Lowland"
"ebop-00025","IL818464","tarawera at sh30","Overall",0.284,"A",0.3175,"A","A","",0.0394200311006162,"B",0.0677835051546392,"B","B","",5,64,"ABC",220,"ABC",3.33333333333333,"A",3.33333333333333,"A","A","",4008565,"bay of plenty","boprc","lowland","Forest",-38.0265092686686,176.738648828543,"23-Jun-2020","Forest",3.537569582463,"Lowland"
"ebop-00026","BQ711622","te mania at sh2","Overall",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,470,NA,5639.99999999999,NA,27.5,NA,65,NA,NA," Need 60 values, have only 40",4000427,"bay of plenty","boprc","lowland","Rural",-37.5851497196765,175.911808371647,"23-Jun-2020","Rural",14,"Lowland"
"ebop-00027","BQ708712","te rereatukahia at sh2","Overall",0.3325,"A",0.608,"A","A","",0.00231253755926017,"A",0.0056701030927835,"A","A","",5,115.8335,"ABC",1580,"DE",8.51063829787234,"B",15.9574468085106,"A","D","",4000415,"bay of plenty","boprc","lowland","Rural",-37.5770915770481,175.911188609567,"23-Jun-2020","Rural",21,"Lowland"
"ebop-00028","BR809582","tuapiro at hikurangi rd","Overall",0.0665,"A",0.2434,"A","A","",0.00172413793103448,"A",0.00509914664825137,"A","A","",6,118.3335,"ABC",782,"BC",13.3333333333333,"C",20,"BC","C","",4000162,"bay of plenty","boprc","lowland","Rural",-37.4984489368448,175.919507525151,"23-Jun-2020","Rural",16,"Lowland"
"ebop-00030","BS961133","waiau at waiau rd ford","Overall",0.2555,"A",0.6288,"A","A","",0.00316742081447964,"A",0.00959274694742999,"A","A","",6,265,"DE",3940,"DE",18.3333333333333,"C",45,"D","D","",4000069,"bay of plenty","boprc","lowland","Rural",-37.4484483244256,175.934796941143,"23-Jun-2020","Rural",18,"Lowland"
"ebop-00031","LK149881","tauranga at taneatua bridge","Overall",0.1565,"A",0.308,"A","A","",0.00305343511450382,"A",0.0131904825379899,"A","A","",5,29,"ABC",1420,"DE",8.33333333333333,"B",13.3333333333333,"A","D","",4010772,"bay of plenty","boprc","lowland","Forest",-38.0701442364387,177.006514019474,"23-Jun-2020","Forest",30,"Lowland"
"ebop-00032","DO712717","waimapu at pukemapu rd","Overall",0.621,"A",0.95245,"A","A","",0.00347490347490347,"A",0.0144545135454226,"A","A","",NA,190,NA,6179.99999999998,NA,22.0338983050847,NA,38.9830508474576,NA,NA," Need 60 values, have only 59",4001763,"bay of plenty","boprc","lowland","Rural",-37.7507801226566,176.14544731734,"23-Jun-2020","Rural",41,"Lowland"
"ebop-00033","DO686858","waimapu 100m d/s sh29","Overall",0.7905,"A",1.0398,"A","A","",0.00721839435074729,"A",0.0152895752895753,"A","A","",6,350,"DE",6920,"DE",25.7142857142857,"D",67.1428571428571,"DE","D","",4001685,"bay of plenty","boprc","lowland","Rural",-37.7381884351537,176.141918776596,"23-Jun-2020","Rural",20.6666666666667,"Lowland"
