"LawaID","Parameter","Altitude","Landuse","Median","StateScore"
"arc-00010","TP","All","Urban",0.046,3
"arc-00010","ECOLI","All","Urban",600,4
"arc-00010","TURB","Lowland","Urban",3.45,3
"arc-00010","NH4","Lowland","Urban",0.01,1
"arc-00010","PH","Lowland","Urban",7.44,1
"arc-00010","TON","Lowland","Urban",1.2,3
"arc-00010","TN","Lowland","Urban",1.38,3
"arc-00010","DRP","Lowland","Urban",0.026,3
"arc-00010","TP","Lowland","Urban",0.046,3
"arc-00010","ECOLI","Lowland","Urban",600,4
"arc-00013","TURB","All","All",4.15,3
"arc-00013","NH4","All","All",0.009,3
"arc-00013","PH","All","All",7.29,1
"arc-00013","TON","All","All",0.1095,2
"arc-00013","TN","All","All",0.245,1
"arc-00013","DRP","All","All",0.009,2
"arc-00013","TP","All","All",0.0215,2
"arc-00013","ECOLI","All","All",475,4
"arc-00013","TURB","Lowland","All",4.15,3
"arc-00013","NH4","Lowland","All",0.009,3
"arc-00013","PH","Lowland","All",7.29,1
"arc-00013","TON","Lowland","All",0.1095,1
"arc-00013","TN","Lowland","All",0.245,1
"arc-00013","DRP","Lowland","All",0.009,2
"arc-00013","TP","Lowland","All",0.0215,2
"arc-00013","ECOLI","Lowland","All",475,4
"arc-00013","TURB","All","Rural",4.15,3
"arc-00013","NH4","All","Rural",0.009,3
"arc-00013","PH","All","Rural",7.29,2
"arc-00013","TON","All","Rural",0.1095,1
"arc-00013","TN","All","Rural",0.245,1
"arc-00013","DRP","All","Rural",0.009,2
"arc-00013","TP","All","Rural",0.0215,2
"arc-00013","ECOLI","All","Rural",475,4
"arc-00013","TURB","Lowland","Rural",4.15,3
"arc-00013","NH4","Lowland","Rural",0.009,3
"arc-00013","PH","Lowland","Rural",7.29,1
"arc-00013","TON","Lowland","Rural",0.1095,1
"arc-00013","TN","Lowland","Rural",0.245,1
"arc-00013","DRP","Lowland","Rural",0.009,2
"arc-00013","TP","Lowland","Rural",0.0215,2
"arc-00013","ECOLI","Lowland","Rural",475,4
"arc-00014","TURB","All","All",7.8,4
"arc-00014","NH4","All","All",0.11,4
"arc-00014","PH","All","All",7.27,2
"arc-00014","TON","All","All",1.17,4
"arc-00014","TN","All","All",1.88,4
"arc-00014","DRP","All","All",0.0245,4
"arc-00014","TP","All","All",0.088,4
"arc-00014","ECOLI","All","All",4200,4
"arc-00014","TURB","Lowland","All",7.8,4
"arc-00014","NH4","Lowland","All",0.11,4
"arc-00014","PH","Lowland","All",7.27,1
"arc-00014","TON","Lowland","All",1.17,4
"arc-00014","TN","Lowland","All",1.88,4
"arc-00014","DRP","Lowland","All",0.0245,4
"arc-00014","TP","Lowland","All",0.088,4
"arc-00014","ECOLI","Lowland","All",4200,4
"arc-00014","TURB","All","Urban",7.8,4
"arc-00014","NH4","All","Urban",0.11,4
"arc-00014","PH","All","Urban",7.27,1
"arc-00014","TON","All","Urban",1.17,3
"arc-00014","TN","All","Urban",1.88,4
"arc-00014","DRP","All","Urban",0.0245,3
"arc-00014","TP","All","Urban",0.088,4
"arc-00014","ECOLI","All","Urban",4200,4
"arc-00014","TURB","Lowland","Urban",7.8,4
"arc-00014","NH4","Lowland","Urban",0.11,4
"arc-00014","PH","Lowland","Urban",7.27,1
"arc-00014","TON","Lowland","Urban",1.17,3
"arc-00014","TN","Lowland","Urban",1.88,4
"arc-00014","DRP","Lowland","Urban",0.0245,3
"arc-00014","TP","Lowland","Urban",0.088,4
"arc-00014","ECOLI","Lowland","Urban",4200,4
"arc-00015","TURB","All","All",3,3
"arc-00015","NH4","All","All",0.018,4
"arc-00015","PH","All","All",7.61,1
"arc-00015","TON","All","All",0.94,4
"arc-00015","TN","All","All",1.08,4
"arc-00015","DRP","All","All",0.013,3
"arc-00015","TP","All","All",0.03,3
"arc-00015","ECOLI","All","All",940,4
"arc-00015","TURB","Lowland","All",3,3
"arc-00015","NH4","Lowland","All",0.018,3
"arc-00015","PH","Lowland","All",7.61,1
"arc-00015","TON","Lowland","All",0.94,4
"arc-00015","TN","Lowland","All",1.08,3
"arc-00015","DRP","Lowland","All",0.013,3
"arc-00015","TP","Lowland","All",0.03,3
"arc-00015","ECOLI","Lowland","All",940,4
"arc-00015","TURB","All","Urban",3,2
"arc-00015","NH4","All","Urban",0.018,2
"arc-00015","PH","All","Urban",7.61,1
"arc-00015","TON","All","Urban",0.94,3
"arc-00015","TN","All","Urban",1.08,3
"arc-00015","DRP","All","Urban",0.013,2
"arc-00015","TP","All","Urban",0.03,2
"arc-00015","ECOLI","All","Urban",940,4
"arc-00015","TURB","Lowland","Urban",3,2
"arc-00015","NH4","Lowland","Urban",0.018,2
"arc-00015","PH","Lowland","Urban",7.61,1
"arc-00015","TON","Lowland","Urban",0.94,3
"arc-00015","TN","Lowland","Urban",1.08,2
"arc-00015","DRP","Lowland","Urban",0.013,2
"arc-00015","TP","Lowland","Urban",0.03,2
"arc-00015","ECOLI","Lowland","Urban",940,4
"arc-00016","TURB","All","All",7.6,4
"arc-00016","NH4","All","All",0.012,3
"arc-00016","PH","All","All",7.66,1
"arc-00016","TON","All","All",0.169,2
"arc-00016","TN","All","All",0.67,3
"arc-00016","DRP","All","All",0.015,3
"arc-00016","TP","All","All",0.046,4
"arc-00016","ECOLI","All","All",800,4
"arc-00016","TURB","Lowland","All",7.6,4
"arc-00016","NH4","Lowland","All",0.012,3
"arc-00016","PH","Lowland","All",7.66,1
"arc-00016","TON","Lowland","All",0.169,2
"arc-00016","TN","Lowland","All",0.67,3
"arc-00016","DRP","Lowland","All",0.015,3
"arc-00016","TP","Lowland","All",0.046,3
"arc-00016","ECOLI","Lowland","All",800,4
"arc-00016","TURB","All","Urban",7.6,4
"arc-00016","NH4","All","Urban",0.012,2
"arc-00016","PH","All","Urban",7.66,1
"arc-00016","TON","All","Urban",0.169,1
"arc-00016","TN","All","Urban",0.67,2
"arc-00016","DRP","All","Urban",0.015,2
"arc-00016","TP","All","Urban",0.046,3
"arc-00016","ECOLI","All","Urban",800,4
"arc-00016","TURB","Lowland","Urban",7.6,4
"arc-00016","NH4","Lowland","Urban",0.012,2
"arc-00016","PH","Lowland","Urban",7.66,1
"arc-00016","TON","Lowland","Urban",0.169,1
"arc-00016","TN","Lowland","Urban",0.67,2
"arc-00016","DRP","Lowland","Urban",0.015,2
"arc-00016","TP","Lowland","Urban",0.046,3
"arc-00016","ECOLI","Lowland","Urban",800,4
"arc-00018","TURB","All","All",6.8,4
"arc-00018","NH4","All","All",0.037,4
"arc-00018","PH","All","All",7.69,1
"arc-00018","TON","All","All",0.75,3
"arc-00018","TN","All","All",1.1,4
"arc-00018","DRP","All","All",0.01,2
"arc-00018","TP","All","All",0.038,3
"arc-00018","ECOLI","All","All",1100,4
"arc-00018","TURB","Lowland","All",6.8,4
"arc-00018","NH4","Lowland","All",0.037,4
"arc-00018","PH","Lowland","All",7.69,1
"arc-00018","TON","Lowland","All",0.75,3
"arc-00018","TN","Lowland","All",1.1,3
"arc-00018","DRP","Lowland","All",0.01,2
"arc-00018","TP","Lowland","All",0.038,3
"arc-00018","ECOLI","Lowland","All",1100,4
"arc-00018","TURB","All","Urban",6.8,4
"arc-00018","NH4","All","Urban",0.037,3
"arc-00018","PH","All","Urban",7.69,2
"arc-00018","TON","All","Urban",0.75,2
"arc-00018","TN","All","Urban",1.1,3
"arc-00018","DRP","All","Urban",0.01,1
"arc-00018","TP","All","Urban",0.038,3
"arc-00018","ECOLI","All","Urban",1100,4
"arc-00018","TURB","Lowland","Urban",6.8,4
"arc-00018","NH4","Lowland","Urban",0.037,3
"arc-00018","PH","Lowland","Urban",7.69,2
"arc-00018","TON","Lowland","Urban",0.75,2
"arc-00018","TN","Lowland","Urban",1.1,3
"arc-00018","DRP","Lowland","Urban",0.01,1
"arc-00018","TP","Lowland","Urban",0.038,3
"arc-00018","ECOLI","Lowland","Urban",1100,4
"arc-00019","TURB","All","All",6.4,4
"arc-00019","NH4","All","All",0.34,4
"arc-00019","PH","All","All",7.825,2
"arc-00019","TON","All","All",0.48,3
"arc-00019","TN","All","All",1.29,4
"arc-00019","DRP","All","All",0.036,4
"arc-00019","TP","All","All",0.096,4
"arc-00019","ECOLI","All","All",430,4
"arc-00019","TURB","Lowland","All",6.4,4
"arc-00019","NH4","Lowland","All",0.34,4
"arc-00019","PH","Lowland","All",7.825,2
"arc-00019","TON","Lowland","All",0.48,3
"arc-00019","TN","Lowland","All",1.29,4
"arc-00019","DRP","Lowland","All",0.036,4
"arc-00019","TP","Lowland","All",0.096,4
"arc-00019","ECOLI","Lowland","All",430,4
"arc-00019","TURB","All","Urban",6.4,4
"arc-00019","NH4","All","Urban",0.34,4
"arc-00019","PH","All","Urban",7.825,2
"arc-00019","TON","All","Urban",0.48,2
"arc-00019","TN","All","Urban",1.29,3
"arc-00019","DRP","All","Urban",0.036,4
"arc-00019","TP","All","Urban",0.096,4
"arc-00019","ECOLI","All","Urban",430,3
"arc-00019","TURB","Lowland","Urban",6.4,4
"arc-00019","NH4","Lowland","Urban",0.34,4
"arc-00019","PH","Lowland","Urban",7.825,2
"arc-00019","TON","Lowland","Urban",0.48,2
"arc-00019","TN","Lowland","Urban",1.29,3
"arc-00019","DRP","Lowland","Urban",0.036,4
"arc-00019","TP","Lowland","Urban",0.096,4
"arc-00019","ECOLI","Lowland","Urban",430,3
"arc-00021","TURB","All","All",5.9,4
"arc-00021","NH4","All","All",0.026,4
"arc-00021","PH","All","All",6.94,2
"arc-00021","TON","All","All",0.325,3
"arc-00021","TN","All","All",0.8,3
"arc-00021","DRP","All","All",0.025,4
"arc-00021","TP","All","All",0.067,4
"arc-00021","ECOLI","All","All",1100,4
"arc-00021","TURB","Lowland","All",5.9,4
"arc-00021","NH4","Lowland","All",0.026,4
"arc-00021","PH","Lowland","All",6.94,2
"arc-00021","TON","Lowland","All",0.325,2
"arc-00021","TN","Lowland","All",0.8,3
"arc-00021","DRP","Lowland","All",0.025,4
"arc-00021","TP","Lowland","All",0.067,4
"arc-00021","ECOLI","Lowland","All",1100,4
"arc-00021","TURB","All","Urban",5.9,4
"arc-00021","NH4","All","Urban",0.026,3
"arc-00021","PH","All","Urban",6.94,2
"arc-00021","TON","All","Urban",0.325,1
"arc-00021","TN","All","Urban",0.8,2
"arc-00021","DRP","All","Urban",0.025,3
"arc-00021","TP","All","Urban",0.067,4
"arc-00021","ECOLI","All","Urban",1100,4
"arc-00021","TURB","Lowland","Urban",5.9,4
"arc-00021","NH4","Lowland","Urban",0.026,3
"arc-00021","PH","Lowland","Urban",6.94,2
"arc-00021","TON","Lowland","Urban",0.325,1
"arc-00021","TN","Lowland","Urban",0.8,2
"arc-00021","DRP","Lowland","Urban",0.025,3
"arc-00021","TP","Lowland","Urban",0.067,4
"arc-00021","ECOLI","Lowland","Urban",1100,4
"arc-00022","TURB","All","All",4.1,3
"arc-00022","NH4","All","All",0.019,4
"arc-00022","PH","All","All",7.42,1
"arc-00022","TON","All","All",0.43,3
"arc-00022","TN","All","All",0.77,3
"arc-00022","DRP","All","All",0.014,3
"arc-00022","TP","All","All",0.041,3
"arc-00022","ECOLI","All","All",300,4
"arc-00022","TURB","Lowland","All",4.1,3
"arc-00022","NH4","Lowland","All",0.019,3
"arc-00022","PH","Lowland","All",7.42,1
"arc-00022","TON","Lowland","All",0.43,3
"arc-00022","TN","Lowland","All",0.77,3
"arc-00022","DRP","Lowland","All",0.014,3
"arc-00022","TP","Lowland","All",0.041,3
"arc-00022","ECOLI","Lowland","All",300,3
"arc-00022","TURB","All","Urban",4.1,3
"arc-00022","NH4","All","Urban",0.019,2
"arc-00022","PH","All","Urban",7.42,1
"arc-00022","TON","All","Urban",0.43,2
"arc-00022","TN","All","Urban",0.77,2
"arc-00022","DRP","All","Urban",0.014,2
"arc-00022","TP","All","Urban",0.041,3
"arc-00022","ECOLI","All","Urban",300,2
"arc-00022","TURB","Lowland","Urban",4.1,3
"arc-00022","NH4","Lowland","Urban",0.019,2
"arc-00022","PH","Lowland","Urban",7.42,1
"arc-00022","TON","Lowland","Urban",0.43,2
"arc-00022","TN","Lowland","Urban",0.77,2
"arc-00022","DRP","Lowland","Urban",0.014,2
"arc-00022","TP","Lowland","Urban",0.041,3
"arc-00022","ECOLI","Lowland","Urban",300,2
"arc-00024","TURB","All","All",8.9,4
"arc-00024","NH4","All","All",0.01,3
"arc-00024","PH","All","All",7.16,2
"arc-00024","TON","All","All",0.078,1
"arc-00024","TN","All","All",0.43,2
"arc-00024","DRP","All","All",0.01,2
"arc-00024","TP","All","All",0.035,3
"arc-00024","ECOLI","All","All",390,4
"arc-00024","TURB","Lowland","All",8.9,4
"arc-00024","NH4","Lowland","All",0.01,3
"arc-00024","PH","Lowland","All",7.16,2
"arc-00024","TON","Lowland","All",0.078,1
"arc-00024","TN","Lowland","All",0.43,2
"arc-00024","DRP","Lowland","All",0.01,2
"arc-00024","TP","Lowland","All",0.035,3
"arc-00024","ECOLI","Lowland","All",390,4
"arc-00024","TURB","All","Rural",8.9,4
"arc-00024","NH4","All","Rural",0.01,3
"arc-00024","PH","All","Rural",7.16,2
"arc-00024","TON","All","Rural",0.078,1
"arc-00024","TN","All","Rural",0.43,2
"arc-00024","DRP","All","Rural",0.01,2
"arc-00024","TP","All","Rural",0.035,3
"arc-00024","ECOLI","All","Rural",390,4
"arc-00024","TURB","Lowland","Rural",8.9,4
"arc-00024","NH4","Lowland","Rural",0.01,3
"arc-00024","PH","Lowland","Rural",7.16,2
"arc-00024","TON","Lowland","Rural",0.078,1
"arc-00024","TN","Lowland","Rural",0.43,2
"arc-00024","DRP","Lowland","Rural",0.01,2
"arc-00024","TP","Lowland","Rural",0.035,3
"arc-00024","ECOLI","Lowland","Rural",390,4
"arc-00026","TURB","All","All",5.5,4
"arc-00026","NH4","All","All",0.011,3
"arc-00026","PH","All","All",7.34,1
"arc-00026","TON","All","All",0.093,2
"arc-00026","TN","All","All",0.32,2
"arc-00026","DRP","All","All",0.0105,2
"arc-00026","TP","All","All",0.029,3
"arc-00026","ECOLI","All","All",230,3
"arc-00026","TURB","Lowland","All",5.5,4
"arc-00026","NH4","Lowland","All",0.011,3
"arc-00026","PH","Lowland","All",7.34,1
"arc-00026","TON","Lowland","All",0.093,1
"arc-00026","TN","Lowland","All",0.32,2
"arc-00026","DRP","Lowland","All",0.0105,2
"arc-00026","TP","Lowland","All",0.029,3
"arc-00026","ECOLI","Lowland","All",230,3
"arc-00026","TURB","All","Rural",5.5,4
"arc-00026","NH4","All","Rural",0.011,3
"arc-00026","PH","All","Rural",7.34,1
"arc-00026","TON","All","Rural",0.093,1
"arc-00026","TN","All","Rural",0.32,2
"arc-00026","DRP","All","Rural",0.0105,2
"arc-00026","TP","All","Rural",0.029,3
"arc-00026","ECOLI","All","Rural",230,3
"arc-00026","TURB","Lowland","Rural",5.5,3
"arc-00026","NH4","Lowland","Rural",0.011,3
"arc-00026","PH","Lowland","Rural",7.34,1
"arc-00026","TON","Lowland","Rural",0.093,1
"arc-00026","TN","Lowland","Rural",0.32,1
"arc-00026","DRP","Lowland","Rural",0.0105,2
"arc-00026","TP","Lowland","Rural",0.029,3
"arc-00026","ECOLI","Lowland","Rural",230,3
"arc-00027","TURB","All","All",6.4,4
"arc-00027","NH4","All","All",0.0025,1
"arc-00027","PH","All","All",7.025,2
"arc-00027","TON","All","All",0.0046,1
"arc-00027","TN","All","All",0.061,1
"arc-00027","DRP","All","All",0.007,2
"arc-00027","TP","All","All",0.012,1
"arc-00027","ECOLI","All","All",40,1
"arc-00027","TURB","Upland","All",6.4,4
"arc-00027","NH4","Upland","All",0.0025,1
"arc-00027","PH","Upland","All",7.025,2
"arc-00027","TON","Upland","All",0.0046,1
"arc-00027","TN","Upland","All",0.061,1
"arc-00027","DRP","Upland","All",0.007,2
"arc-00027","TP","Upland","All",0.012,2
"arc-00027","ECOLI","Upland","All",40,2
"arc-00027","TURB","All","Forest",6.4,4
"arc-00027","NH4","All","Forest",0.0025,1
"arc-00027","PH","All","Forest",7.025,2
"arc-00027","TON","All","Forest",0.0046,1
"arc-00027","TN","All","Forest",0.061,1
"arc-00027","DRP","All","Forest",0.007,2
"arc-00027","TP","All","Forest",0.012,2
"arc-00027","ECOLI","All","Forest",40,3
"arc-00027","TURB","Upland","Forest",6.4,4
"arc-00027","NH4","Upland","Forest",0.0025,1
"arc-00027","PH","Upland","Forest",7.025,2
"arc-00027","TON","Upland","Forest",0.0046,1
"arc-00027","TN","Upland","Forest",0.061,1
