"LAWAID","Parameter","NOFDate","NOFValue"
"trc-00051","TP","2006-10-01",36
"trc-00053","TP","2006-10-01",11
"trc-00053","TP","2006-10-01",22
"arc-00098","TP","2007-10-01",29
"arc-00099","TP","2007-10-01",25
"arc-00100","TP","2007-10-01",23
"arc-10002","TP","2007-10-01",27
"ebop-00087","TP","2007-10-01",9
"ebop-00088","TP","2007-10-01",71
"ebop-00089","TP","2007-10-01",4
"ebop-00090","TP","2007-10-01",9
"ebop-00091","TP","2007-10-01",20
"ebop-00092","TP","2007-10-01",5
"ebop-00094","TP","2007-10-01",9
"ebop-00095","TP","2007-10-01",1
"ebop-00096","TP","2007-10-01",26
"ebop-00097","TP","2007-10-01",18
"ebop-00098","TP","2007-10-01",34
"ebop-00100","TP","2007-10-01",5
"ecan-00325","TP","2007-10-01",350
"ecan-00331","TP","2007-10-01",4
"ecan-00334","TP","2007-10-01",150
"ecan-00347","TP","2007-10-01",88.5
"ecan-00348","TP","2007-10-01",19
"ecan-00363","TP","2007-10-01",320
"ecan-00369","TP","2007-10-01",160
"ecan-00370","TP","2007-10-01",160
"ecan-00371","TP","2007-10-01",150
"es-000142","TP","2007-10-01",71
"es-000157","TP","2007-10-01",65
"es-000158","TP","2007-10-01",67
"es-000159","TP","2007-10-01",49
"ew-00142","TP","2007-10-01",91
"ew-00143","TP","2007-10-01",29
"ew-00145","TP","2007-10-01",23
"ew-00146","TP","2007-10-01",53
"ew-00147","TP","2007-10-01",94
"ew-00149","TP","2007-10-01",20
"ew-00151","TP","2007-10-01",140
"nrc-00095","TP","2007-10-01",120
"orc-00027","TP","2007-10-01",6
"orc-00028","TP","2007-10-01",25
"orc-00036","TP","2007-10-01",59
"orc-00037","TP","2007-10-01",2.5
"orc-00038","TP","2007-10-01",10
"trc-00051","TP","2007-10-01",35
"trc-00051","TP","2007-10-01",102
"trc-00053","TP","2007-10-01",42
"trc-00053","TP","2007-10-01",27
"ebop-00087","TP","2008-10-01",4
"ebop-00089","TP","2008-10-01",5
"ebop-00091","TP","2008-10-01",10
"ebop-00092","TP","2008-10-01",5
"ebop-00094","TP","2008-10-01",12
"ebop-00095","TP","2008-10-01",4
"ebop-00097","TP","2008-10-01",26
"ebop-00098","TP","2008-10-01",9
"ebop-00100","TP","2008-10-01",5
"ecan-00325","TP","2008-10-01",430
"ecan-00331","TP","2008-10-01",4
"ecan-00334","TP","2008-10-01",220
"ecan-00347","TP","2008-10-01",66
"ecan-00348","TP","2008-10-01",8
"ecan-00363","TP","2008-10-01",250
"ecan-00369","TP","2008-10-01",260
"ecan-00370","TP","2008-10-01",130
"ecan-00371","TP","2008-10-01",120
"ew-00142","TP","2008-10-01",130
"ew-00143","TP","2008-10-01",20
"ew-00145","TP","2008-10-01",18
"ew-00146","TP","2008-10-01",62
"ew-00147","TP","2008-10-01",110
"ew-00149","TP","2008-10-01",25
"ew-00151","TP","2008-10-01",290
"gw-00258","TP","2008-10-01",140
"hbrc-00170","TP","2008-10-01",29
"hbrc-00171","TP","2008-10-01",17
"hbrc-00176","TP","2008-10-01",69
"nrc-00075","TP","2008-10-01",6
"nrc-00077","TP","2008-10-01",12
"nrc-00078","TP","2008-10-01",17
"nrc-00087","TP","2008-10-01",2
"nrc-00090","TP","2008-10-01",3
"orc-00027","TP","2008-10-01",25
"orc-00028","TP","2008-10-01",11
"orc-00034","TP","2008-10-01",35
"orc-00036","TP","2008-10-01",81
"orc-00037","TP","2008-10-01",2.5
"orc-00038","TP","2008-10-01",20
"trc-00051","TP","2008-10-01",18
"trc-00051","TP","2008-10-01",14
"trc-00053","TP","2008-10-01",39
"trc-00053","TP","2008-10-01",18
"wcrc-00064","TP","2008-10-01",6
"wcrc-00065","TP","2008-10-01",10
"ebop-00087","TP","2009-10-01",7
"ebop-00088","TP","2009-10-01",59
"ebop-00089","TP","2009-10-01",8
"ebop-00090","TP","2009-10-01",11
"ebop-00091","TP","2009-10-01",21
"ebop-00092","TP","2009-10-01",13
"ebop-00094","TP","2009-10-01",22
"ebop-00095","TP","2009-10-01",2
"ebop-00096","TP","2009-10-01",40
"ebop-00097","TP","2009-10-01",24
"ebop-00098","TP","2009-10-01",19.5
"ebop-00100","TP","2009-10-01",21
"ecan-00325","TP","2009-10-01",87
"ecan-00331","TP","2009-10-01",4
"ecan-00334","TP","2009-10-01",250
"ecan-00347","TP","2009-10-01",85
"ecan-00348","TP","2009-10-01",4
"ecan-00363","TP","2009-10-01",320
"ecan-00369","TP","2009-10-01",180
"ecan-00370","TP","2009-10-01",210
"ecan-00371","TP","2009-10-01",200
"ecan-00372","TP","2009-10-01",110
"es-000142","TP","2009-10-01",21
"es-000158","TP","2009-10-01",22
"es-000159","TP","2009-10-01",31
"ew-00142","TP","2009-10-01",86
"ew-00146","TP","2009-10-01",44
"ew-00147","TP","2009-10-01",86
"ew-00151","TP","2009-10-01",230
"gw-00257","TP","2009-10-01",91
"hbrc-00170","TP","2009-10-01",20
"hbrc-00171","TP","2009-10-01",48
"hbrc-00176","TP","2009-10-01",34
"lawa-100211","TP","2009-10-01",5
"lawa-100213","TP","2009-10-01",5
"lawa-100263","TP","2009-10-01",5
"lawa-100264","TP","2009-10-01",5
"lawa-100266","TP","2009-10-01",5
"orc-00027","TP","2009-10-01",6
"orc-00028","TP","2009-10-01",5
"orc-00031","TP","2009-10-01",49
"orc-00036","TP","2009-10-01",45
"orc-00037","TP","2009-10-01",2.5
"orc-00038","TP","2009-10-01",25
"trc-00051","TP","2009-10-01",33
"trc-00051","TP","2009-10-01",18
"trc-00053","TP","2009-10-01",27
"trc-00053","TP","2009-10-01",28
"wcrc-00064","TP","2009-10-01",7
"wcrc-00065","TP","2009-10-01",9
"ebop-00087","TP","2010-10-01",9
"ebop-00088","TP","2010-10-01",72
"ebop-00089","TP","2010-10-01",11
"ebop-00090","TP","2010-10-01",13
"ebop-00091","TP","2010-10-01",28
"ebop-00092","TP","2010-10-01",28
"ebop-00094","TP","2010-10-01",30
"ebop-00095","TP","2010-10-01",5
"ebop-00096","TP","2010-10-01",39
"ebop-00097","TP","2010-10-01",23
"ebop-00098","TP","2010-10-01",24
"ebop-00100","TP","2010-10-01",4
"ecan-00325","TP","2010-10-01",230
"ecan-00331","TP","2010-10-01",4
"ecan-00334","TP","2010-10-01",190
"ecan-00347","TP","2010-10-01",720
"ecan-00348","TP","2010-10-01",4
"ecan-00363","TP","2010-10-01",340
"ecan-00369","TP","2010-10-01",250
"ecan-00370","TP","2010-10-01",110
"ecan-00371","TP","2010-10-01",220
"ecan-00372","TP","2010-10-01",83
"es-000142","TP","2010-10-01",10
"es-000158","TP","2010-10-01",29
"es-000159","TP","2010-10-01",44
"ew-00142","TP","2010-10-01",72
"ew-00146","TP","2010-10-01",68
"ew-00147","TP","2010-10-01",106
"ew-00149","TP","2010-10-01",36
"ew-00151","TP","2010-10-01",83
"nrc-00095","TP","2010-10-01",27
"orc-00028","TP","2010-10-01",25
"orc-00031","TP","2010-10-01",45
"orc-00033","TP","2010-10-01",49
"orc-00036","TP","2010-10-01",132
"orc-00037","TP","2010-10-01",2.5
"orc-00038","TP","2010-10-01",25
"trc-00051","TP","2010-10-01",26
"trc-00051","TP","2010-10-01",25
"trc-00053","TP","2010-10-01",23
"trc-00053","TP","2010-10-01",25
"wcrc-00064","TP","2010-10-01",9
"wcrc-00065","TP","2010-10-01",8
"ebop-00087","TP","2011-10-01",9
"ebop-00088","TP","2011-10-01",38
"ebop-00089","TP","2011-10-01",11
"ebop-00090","TP","2011-10-01",11
"ebop-00091","TP","2011-10-01",32
"ebop-00092","TP","2011-10-01",23
"ebop-00094","TP","2011-10-01",24
"ebop-00095","TP","2011-10-01",20
"ebop-00096","TP","2011-10-01",46
"ebop-00097","TP","2011-10-01",12
"ebop-00098","TP","2011-10-01",13
"ebop-00100","TP","2011-10-01",4
"ecan-00325","TP","2011-10-01",150
"ecan-00331","TP","2011-10-01",4
"ecan-00334","TP","2011-10-01",140
"ecan-00347","TP","2011-10-01",600
"ecan-00348","TP","2011-10-01",4
"ecan-00363","TP","2011-10-01",360
"ecan-00369","TP","2011-10-01",270
"ecan-00370","TP","2011-10-01",190
"ecan-00371","TP","2011-10-01",150
"ecan-00372","TP","2011-10-01",140
"es-000142","TP","2011-10-01",32
"es-000157","TP","2011-10-01",22
"es-000158","TP","2011-10-01",26.5
"es-000159","TP","2011-10-01",28
"ew-00142","TP","2011-10-01",133
"ew-00146","TP","2011-10-01",48
"ew-00147","TP","2011-10-01",64
"ew-00151","TP","2011-10-01",132
"gw-00257","TP","2011-10-01",102
"hbrc-00174","TP","2011-10-01",220
"hbrc-00175","TP","2011-10-01",158
"lawa-100211","TP","2011-10-01",5
"lawa-100213","TP","2011-10-01",5
"lawa-100263","TP","2011-10-01",5
"lawa-100264","TP","2011-10-01",5
"lawa-100266","TP","2011-10-01",5
"orc-00027","TP","2011-10-01",10
"orc-00028","TP","2011-10-01",5
"orc-00031","TP","2011-10-01",22
"orc-00033","TP","2011-10-01",66
"orc-00036","TP","2011-10-01",86
"orc-00037","TP","2011-10-01",2.5
"orc-00038","TP","2011-10-01",25
"trc-00051","TP","2011-10-01",44
"trc-00051","TP","2011-10-01",24
"trc-00053","TP","2011-10-01",51
"trc-00053","TP","2011-10-01",32
"wcrc-00064","TP","2011-10-01",5
"wcrc-00065","TP","2011-10-01",9
"ebop-00087","TP","2012-10-01",8
"ebop-00088","TP","2012-10-01",77
"ebop-00089","TP","2012-10-01",9
"ebop-00090","TP","2012-10-01",9
"ebop-00091","TP","2012-10-01",24
"ebop-00092","TP","2012-10-01",10
"ebop-00094","TP","2012-10-01",12
"ebop-00095","TP","2012-10-01",5
"ebop-00096","TP","2012-10-01",40
"ebop-00097","TP","2012-10-01",11
"ebop-00098","TP","2012-10-01",9
"ebop-00100","TP","2012-10-01",4
"ecan-00325","TP","2012-10-01",810
"ecan-00331","TP","2012-10-01",24
"ecan-00334","TP","2012-10-01",140
"ecan-00347","TP","2012-10-01",67
"ecan-00348","TP","2012-10-01",9
"ecan-00363","TP","2012-10-01",200
"ecan-00369","TP","2012-10-01",90
"ecan-00370","TP","2012-10-01",130
"ecan-00371","TP","2012-10-01",37
"ecan-00372","TP","2012-10-01",68
"es-000142","TP","2012-10-01",44
"es-000157","TP","2012-10-01",39
"es-000158","TP","2012-10-01",69
"es-000159","TP","2012-10-01",41
"ew-00142","TP","2012-10-01",114
"ew-00146","TP","2012-10-01",66
"ew-00147","TP","2012-10-01",126
"ew-00151","TP","2012-10-01",154
"gw-00257","TP","2012-10-01",52.5
"gw-00258","TP","2012-10-01",98
"gw-00262","TP","2012-10-01",64
"hbrc-00174","TP","2012-10-01",89
"hbrc-00175","TP","2012-10-01",157
"hbrc-00176","TP","2012-10-01",10
"orc-00027","TP","2012-10-01",25
"orc-00028","TP","2012-10-01",25
"orc-00031","TP","2012-10-01",48
"orc-00033","TP","2012-10-01",90
"orc-00035","TP","2012-10-01",81
"orc-00036","TP","2012-10-01",173
"orc-00037","TP","2012-10-01",2.5
"orc-00038","TP","2012-10-01",25
"trc-00051","TP","2012-10-01",22
"trc-00051","TP","2012-10-01",25
"trc-00053","TP","2012-10-01",45
"trc-00053","TP","2012-10-01",32
"wcrc-00064","TP","2012-10-01",8
"wcrc-00065","TP","2012-10-01",8
"ebop-00087","TP","2013-10-01",5
"ebop-00088","TP","2013-10-01",26
"ebop-00089","TP","2013-10-01",7
"ebop-00090","TP","2013-10-01",8
"ebop-00091","TP","2013-10-01",21
"ebop-00092","TP","2013-10-01",11
"ebop-00094","TP","2013-10-01",15
"ebop-00095","TP","2013-10-01",8
"ebop-00096","TP","2013-10-01",49
"ebop-00097","TP","2013-10-01",16
"ebop-00098","TP","2013-10-01",17
"ebop-00100","TP","2013-10-01",3
"ecan-00325","TP","2013-10-01",61
"ecan-00331","TP","2013-10-01",13
"ecan-00334","TP","2013-10-01",96
"ecan-00347","TP","2013-10-01",34
"ecan-00348","TP","2013-10-01",5
"ecan-00363","TP","2013-10-01",184
"ecan-00369","TP","2013-10-01",88
"ecan-00370","TP","2013-10-01",26
"ecan-00371","TP","2013-10-01",78
"ecan-00372","TP","2013-10-01",68.2
"es-000142","TP","2013-10-01",10
"es-000157","TP","2013-10-01",14
"es-000158","TP","2013-10-01",10
"es-000159","TP","2013-10-01",14
"ew-00142","TP","2013-10-01",119
"ew-00146","TP","2013-10-01",59
"ew-00147","TP","2013-10-01",114
"ew-00151","TP","2013-10-01",129
"gw-00257","TP","2013-10-01",146
"gw-00258","TP","2013-10-01",340
"gw-00262","TP","2013-10-01",100
"hbrc-00172","TP","2013-10-01",2
"hbrc-00173","TP","2013-10-01",2
"hbrc-00176","TP","2013-10-01",6
"hrc-00333","TP","2013-10-01",41
"nrc-00075","TP","2013-10-01",6
"nrc-00087","TP","2013-10-01",2
"nrc-00090","TP","2013-10-01",4
"nrc-00095","TP","2013-10-01",38
"orc-00027","TP","2013-10-01",13
"orc-00028","TP","2013-10-01",25
"orc-00031","TP","2013-10-01",11
"orc-00033","TP","2013-10-01",82
"orc-00034","TP","2013-10-01",13
"orc-00035","TP","2013-10-01",96
"orc-00036","TP","2013-10-01",64
"orc-00037","TP","2013-10-01",86
"orc-00038","TP","2013-10-01",25
"trc-00051","TP","2013-10-01",46
"trc-00051","TP","2013-10-01",32
"trc-00053","TP","2013-10-01",43
"trc-00053","TP","2013-10-01",29
"wcrc-00064","TP","2013-10-01",6
"wcrc-00065","TP","2013-10-01",7
"ebop-00087","TP","2014-10-01",11
"ebop-00088","TP","2014-10-01",26
"ebop-00089","TP","2014-10-01",13
"ebop-00090","TP","2014-10-01",8
"ebop-00091","TP","2014-10-01",21
"ebop-00092","TP","2014-10-01",24
"ebop-00094","TP","2014-10-01",20
"ebop-00095","TP","2014-10-01",8
"ebop-00096","TP","2014-10-01",58
"ebop-00097","TP","2014-10-01",27
"ebop-00098","TP","2014-10-01",18
"ebop-00100","TP","2014-10-01",5
"ecan-00325","TP","2014-10-01",550
"ecan-00331","TP","2014-10-01",4
"ecan-00334","TP","2014-10-01",250
"ecan-00347","TP","2014-10-01",111
"ecan-00348","TP","2014-10-01",4
"ecan-00363","TP","2014-10-01",197
"ecan-00369","TP","2014-10-01",164
"ecan-00370","TP","2014-10-01",220
"ecan-00371","TP","2014-10-01",158
"ecan-00372","TP","2014-10-01",230
"es-000142","TP","2014-10-01",32
"es-000157","TP","2014-10-01",32
"es-000158","TP","2014-10-01",40
"es-000159","TP","2014-10-01",34
"ew-00144","TP","2014-10-01",6
"ew-00145","TP","2014-10-01",18
"ew-00150","TP","2014-10-01",27
"gw-00257","TP","2014-10-01",40
"gw-00258","TP","2014-10-01",68
"gw-00263","TP","2014-10-01",72
"hbrc-00176","TP","2014-10-01",16
"hrc-00333","TP","2014-10-01",62
"orc-00027","TP","2014-10-01",5
"orc-00028","TP","2014-10-01",15
"orc-00031","TP","2014-10-01",38
"orc-00033","TP","2014-10-01",62
"orc-00034","TP","2014-10-01",25
"orc-00035","TP","2014-10-01",120
"orc-00037","TP","2014-10-01",6
"orc-00038","TP","2014-10-01",13
"trc-00051","TP","2014-10-01",33
"trc-00051","TP","2014-10-01",20
"trc-00053","TP","2014-10-01",19
"trc-00053","TP","2014-10-01",28
"wcrc-00064","TP","2014-10-01",5
"ebop-00087","TP","2015-10-01",8
"ebop-00088","TP","2015-10-01",45.5
"ebop-00089","TP","2015-10-01",13
"ebop-00090","TP","2015-10-01",7
"ebop-00091","TP","2015-10-01",24
"ebop-00092","TP","2015-10-01",26
"ebop-00094","TP","2015-10-01",31
"ebop-00095","TP","2015-10-01",7
"ebop-00096","TP","2015-10-01",68
"ebop-00097","TP","2015-10-01",17
"ebop-00098","TP","2015-10-01",16
"ebop-00100","TP","2015-10-01",5
"ecan-00325","TP","2015-10-01",680
"ecan-00331","TP","2015-10-01",5
"ecan-00334","TP","2015-10-01",260
"ecan-00347","TP","2015-10-01",300
"ecan-00348","TP","2015-10-01",7
"ecan-00363","TP","2015-10-01",350
"ecan-00369","TP","2015-10-01",192
"ecan-00370","TP","2015-10-01",200
"ecan-00371","TP","2015-10-01",260
"ecan-00372","TP","2015-10-01",250
"es-000142","TP","2015-10-01",45
"es-000157","TP","2015-10-01",39
"es-000158","TP","2015-10-01",42
"es-000159","TP","2015-10-01",46
"es-00144","TP","2015-10-01",118
"ew-00142","TP","2015-10-01",166
"ew-00144","TP","2015-10-01",31
"ew-00146","TP","2015-10-01",35
"ew-00147","TP","2015-10-01",159
"ew-00151","TP","2015-10-01",104
"gw-00257","TP","2015-10-01",92
"gw-00258","TP","2015-10-01",72
"gw-00262","TP","2015-10-01",14
"gw-00263","TP","2015-10-01",28
"hbrc-00173","TP","2015-10-01",2
"hbrc-00176","TP","2015-10-01",21
"hrc-00331","TP","2015-10-01",54
"hrc-00333","TP","2015-10-01",110
"hrc-00335","TP","2015-10-01",76
"hrc-00337","TP","2015-10-01",61
"lawa-100207","TP","2015-10-01",34
"lawa-100208","TP","2015-10-01",29
"lawa-100209","TP","2015-10-01",19
"lawa-100210","TP","2015-10-01",21
"lawa-100215","TP","2015-10-01",64
"lawa-102689","TP","2015-10-01",62
"orc-00027","TP","2015-10-01",25
"orc-00028","TP","2015-10-01",25
"orc-00031","TP","2015-10-01",36
"orc-00033","TP","2015-10-01",64
"orc-00034","TP","2015-10-01",14
"orc-00035","TP","2015-10-01",180
"orc-00036","TP","2015-10-01",59
"orc-00037","TP","2015-10-01",2.5
"orc-00038","TP","2015-10-01",25
"trc-00051","TP","2015-10-01",17
"trc-00051","TP","2015-10-01",75
"trc-00053","TP","2015-10-01",28
"trc-00053","TP","2015-10-01",69
"wcrc-00064","TP","2015-10-01",7
"ebop-00087","TP","2016-10-01",9
"ebop-00088","TP","2016-10-01",34
"ebop-00089","TP","2016-10-01",10
"ebop-00090","TP","2016-10-01",8
"ebop-00091","TP","2016-10-01",20
"ebop-00092","TP","2016-10-01",26
"ebop-00094","TP","2016-10-01",28
"ebop-00095","TP","2016-10-01",5
"ebop-00096","TP","2016-10-01",50
"ebop-00097","TP","2016-10-01",20
"ebop-00098","TP","2016-10-01",16
"ebop-00100","TP","2016-10-01",3
"ecan-00325","TP","2016-10-01",230
"ecan-00331","TP","2016-10-01",4
"ecan-00347","TP","2016-10-01",105
"ecan-00348","TP","2016-10-01",18
"ecan-00363","TP","2016-10-01",430
"es-000142","TP","2016-10-01",17
"es-000157","TP","2016-10-01",19
"es-000158","TP","2016-10-01",23
"es-000159","TP","2016-10-01",14
"ew-00142","TP","2016-10-01",138
"ew-00144","TP","2016-10-01",18
"ew-00146","TP","2016-10-01",42
"ew-00147","TP","2016-10-01",149
"ew-00151","TP","2016-10-01",145
"gw-00257","TP","2016-10-01",41
"gw-00258","TP","2016-10-01",124
"gw-00262","TP","2016-10-01",84
"gw-00263","TP","2016-10-01",74
"hbrc-00176","TP","2016-10-01",47
"hrc-00333","TP","2016-10-01",48
"lawa-100207","TP","2016-10-01",26
"lawa-100208","TP","2016-10-01",28
"lawa-100209","TP","2016-10-01",20
"lawa-100210","TP","2016-10-01",18
"lawa-102686","TP","2016-10-01",18
"lawa-102687","TP","2016-10-01",2
"lawa-102688","TP","2016-10-01",2
"nrc-00075","TP","2016-10-01",4
"nrc-00087","TP","2016-10-01",1
"nrc-00090","TP","2016-10-01",2
"nrc-00095","TP","2016-10-01",30
"orc-00027","TP","2016-10-01",7
"orc-00028","TP","2016-10-01",15
"orc-00031","TP","2016-10-01",15
"orc-00033","TP","2016-10-01",100
"orc-00035","TP","2016-10-01",36.3
"orc-00036","TP","2016-10-01",47
"orc-00037","TP","2016-10-01",2.5
"orc-00038","TP","2016-10-01",6
"trc-00051","TP","2016-10-01",40
"trc-00051","TP","2016-10-01",20
"trc-00053","TP","2016-10-01",62
"trc-00053","TP","2016-10-01",38
"wcrc-00064","TP","2016-10-01",5
"ebop-00087","TP","2017-10-01",14
"ebop-00088","TP","2017-10-01",45
"ebop-00090","TP","2017-10-01",13
"ebop-00091","TP","2017-10-01",36
"ebop-00092","TP","2017-10-01",36
"ebop-00094","TP","2017-10-01",31
"ebop-00095","TP","2017-10-01",8
"ebop-00096","TP","2017-10-01",61
"ebop-00097","TP","2017-10-01",19
"ebop-00098","TP","2017-10-01",20
"ebop-00100","TP","2017-10-01",6
"ecan-00325","TP","2017-10-01",408.5
"ecan-00331","TP","2017-10-01",4
"ecan-00334","TP","2017-10-01",98
"ecan-00347","TP","2017-10-01",42
"ecan-00348","TP","2017-10-01",5
"ecan-00363","TP","2017-10-01",230
"ecan-00369","TP","2017-10-01",48
"ecan-00370","TP","2017-10-01",77
"ecan-00371","TP","2017-10-01",50
"ecan-00372","TP","2017-10-01",260
"es-000142","TP","2017-10-01",40
"es-000157","TP","2017-10-01",41
"es-000158","TP","2017-10-01",32
"es-000159","TP","2017-10-01",38
"ew-00142","TP","2017-10-01",107
"ew-00144","TP","2017-10-01",16
"ew-00145","TP","2017-10-01",34
"ew-00146","TP","2017-10-01",49
"ew-00147","TP","2017-10-01",185
"ew-00149","TP","2017-10-01",43
"ew-00151","TP","2017-10-01",240
"gw-00257","TP","2017-10-01",27
"gw-00258","TP","2017-10-01",89
"gw-00263","TP","2017-10-01",120
"hbrc-00171","TP","2017-10-01",40
"hbrc-00176","TP","2017-10-01",29
"hrc-00333","TP","2017-10-01",53
"lawa-100207","TP","2017-10-01",23
"lawa-100208","TP","2017-10-01",85
"lawa-102219","TP","2017-10-01",27
"lawa-102220","TP","2017-10-01",21
"lawa-102221","TP","2017-10-01",23
"lawa-102686","TP","2017-10-01",61
"nrc-00095","TP","2017-10-01",32
"orc-00027","TP","2017-10-01",4
"orc-00028","TP","2017-10-01",4
"orc-00031","TP","2017-10-01",11
"orc-00033","TP","2017-10-01",39
"orc-00034","TP","2017-10-01",28
"orc-00035","TP","2017-10-01",36.3
"orc-00036","TP","2017-10-01",149
"orc-00037","TP","2017-10-01",2.5
"orc-00038","TP","2017-10-01",25
"trc-00051","TP","2017-10-01",27
"trc-00051","TP","2017-10-01",25
"trc-00053","TP","2017-10-01",44
"trc-00053","TP","2017-10-01",53
"wcrc-00064","TP","2017-10-01",4
"arc-00099","TP","2018-10-01",6
"ebop-00087","TP","2018-10-01",9
"ebop-00088","TP","2018-10-01",75
"ebop-00089","TP","2018-10-01",11
"ebop-00090","TP","2018-10-01",14
"ebop-00091","TP","2018-10-01",46
"ebop-00092","TP","2018-10-01",12
"ebop-00094","TP","2018-10-01",11
"ebop-00095","TP","2018-10-01",5
"ebop-00096","TP","2018-10-01",52
"ebop-00097","TP","2018-10-01",15
"ebop-00098","TP","2018-10-01",17
"ebop-00100","TP","2018-10-01",2
"ecan-00325","TP","2018-10-01",111
"ecan-00331","TP","2018-10-01",4
"ecan-00334","TP","2018-10-01",210
"ecan-00347","TP","2018-10-01",62
"ecan-00348","TP","2018-10-01",6
