"SiteID","CouncilSiteID","LawaSiteID","Macro","Region","Agency","SWQLanduse","SWQAltitude","Lat","Long"
"mangakakahi at linton park","EK206408","ebop-00118",FALSE,"bay of plenty","boprc","forest","upland",-38.1370046964046,176.218252360144
"mangakino at rerewhakaaitu rd","GI416335","ebop-00124",FALSE,"bay of plenty","boprc","forest","upland",-38.3163251437059,176.478876302146
"mangamate at te urewera boundary","IG937633","ebop-00147",FALSE,"bay of plenty","boprc","forest","upland",-38.4604898751668,176.774643534261
"mangaone at mangaone rd","IL607501","ebop-00149",FALSE,"bay of plenty","boprc","rural","lowland",-38.0239546026795,176.714549950172
"mangapapa at galatea rd","JI362407","ebop-00125",FALSE,"bay of plenty","boprc","rural","upland",-38.2994159156479,176.814851130063
"mangato at tarawera forest","IK094269","ebop-00126",FALSE,"bay of plenty","boprc","forest","lowland",-38.1365792386558,176.661704376604
"mangatoetoe at old coach rd","GN342605","ebop-00113",FALSE,"bay of plenty","boprc","rural","lowland",-37.8425133172807,176.448123705699
"mangawhai at sh2","CP652620","ebop-00193",FALSE,"bay of plenty","boprc","rural","lowland",-37.6726252747747,176.021963565124
"maraetotara at robert lane","LL586886","ebop-00179",FALSE,"bay of plenty","boprc","rural","lowland",-37.9781336396612,177.051192381003
"maraetotara at burma rd","LL389822","ebop-00201",FALSE,"bay of plenty","boprc","forest","lowland",-37.9846378633786,177.029176337338
"mimiha at mimiha rd","IN486083","ebop-00111",FALSE,"bay of plenty","boprc","rural","lowland",-37.8820930457752,176.693627929963
"moetahanga at above omataroa rd","JK693267","lawa-100489",FALSE,"bay of plenty","boprc","forest","upland",-38.1309507361275,176.843835104465
"motu at sh35","QM722911","ebop-00211",FALSE,"bay of plenty","boprc","forest","lowland",-37.8644961372797,177.628459993343
"nahunahu at sh35","RO893938","lawa-100495",FALSE,"bay of plenty","boprc","rural","lowland",-37.6770612346519,177.749493641228
"ngakauroa at macdonald rd","JL684448","ebop-00155",FALSE,"bay of plenty","boprc","rural","lowland",-38.024793435309,176.837203710986
"ngamuwahine at 217 ngamuwahine rd","CO436131","ebop-00224",FALSE,"bay of plenty","boprc","forest","upland",-37.8073467609668,176.002875411371
"ngongotaha at ngongotaha domain","EL187015","ebop-00142",FALSE,"bay of plenty","boprc","rural","upland",-38.0824793891929,176.213681360004
"ngongotaha at paradise valley rd mci","DK804886","ebop-00141",FALSE,"bay of plenty","boprc","rural","upland",-38.0948052704845,176.170569818462
"ngongotaha at upper paradise valley rd","DK798891","ebop-00220",FALSE,"bay of plenty","boprc","rural","upland",-38.0948584871426,176.169933698962
"ngututuru at 240 rea rd","BQ450716","ebop-00169",FALSE,"bay of plenty","boprc","rural","lowland",-37.5774034107214,175.881980099269
"nukuhou at old quarry","MK283728","ebop-00011",FALSE,"bay of plenty","boprc","rural","lowland",-38.079460107068,177.136212187178
"oeuteheuheu at allport rd","GM013930","ebop-00159",FALSE,"bay of plenty","boprc","forest","lowland",-37.9043607921215,176.413535340844
"ohaupara at pyes pa rd","DM860383","ebop-00148",FALSE,"bay of plenty","boprc","forest","upland",-37.9604047698673,176.171115319963
"ohineangaanga at whitehead ave","FO166207","ebop-00106",FALSE,"bay of plenty","boprc","urban","lowland",-37.792181842676,176.312224551011
"ohope trib at above ohope beach school","LL529952","ebop-00203",FALSE,"bay of plenty","boprc","forest","lowland",-37.9724203812413,177.044471661417
"ohourere at crawford rd","CO982925","ebop-00195",FALSE,"bay of plenty","boprc","rural","lowland",-37.7342505634673,176.061895943929
"okaro wetland at above inlet a","FI646606","ebop-00122",FALSE,"bay of plenty","boprc","rural","upland",-38.2945475978815,176.389873772331
"onaia trib at blakely pacific","FM217609","lawa-100487",FALSE,"bay of plenty","boprc","forest","upland",-37.9357875732324,176.324478153158
"opurana at tuhoe forest","KJ836663","lawa-100502",FALSE,"bay of plenty","boprc","rural","lowland",-38.1809031125789,176.976863005085
"oruamanganui at waiotahe valley rd","MK668495","lawa-100498",FALSE,"bay of plenty","boprc","forest","lowland",-38.0988733395737,177.181199496166
"otangimoana at kaingaroa","FD662607","lawa-100490",FALSE,"bay of plenty","boprc","forest","upland",-38.7441966084785,176.412859605252
"otara at old east rd","OK303607","ebop-00213",FALSE,"bay of plenty","boprc","forest","lowland",-38.0820238786735,177.366534136898
"oteakona at mihaere rd","OL858216","lawa-100492",FALSE,"bay of plenty","boprc","forest","lowland",-38.0248806868714,177.426312700939
"oteakona trib at forestry rd","OL810173","lawa-100493",FALSE,"bay of plenty","boprc","rural","lowland",-38.0289763041518,177.421117044503
"otumanga at waipunga park","EO010924","ebop-00184",FALSE,"bay of plenty","boprc","forest","lowland",-37.7312538490663,176.178403388747
"oturu at borell rd","DP036592","ebop-00186",FALSE,"bay of plenty","boprc","rural","lowland",-37.6741044363331,176.065507694409
"owairoa at otawa","EO611496","ebop-00199",FALSE,"bay of plenty","boprc","forest","lowland",-37.767912536761,176.248128178862
"owhakatoro at te manawa o tuhoe trust","KK455031","lawa-100503",FALSE,"bay of plenty","boprc","rural","lowland",-38.1492430171045,176.93168166671
"paekoau at tuhoe forest","KJ764798","lawa-100504",FALSE,"bay of plenty","boprc","forest","lowland",-38.1690537476177,176.967957514513
"pahekeheke at pokairoa rd","JI046597","ebop-00123",FALSE,"bay of plenty","boprc","forest","upland",-38.2834549028045,176.77785576013
"raparapahoe at no 3 rd mci","EN560731","ebop-00110",FALSE,"bay of plenty","boprc","forest","lowland",-37.8369034672928,176.2453491368
"pekepeke at above kiorenui rd","IG109370","ebop-00207",FALSE,"bay of plenty","boprc","forest","upland",-38.4871500669264,176.681176290706
"piako at old kaimai rd","BN951669","ebop-00197",FALSE,"bay of plenty","boprc","forest","upland",-37.8502611071653,175.949472127574
"pikowai at pikowai rd","IN023010","ebop-00135",FALSE,"bay of plenty","boprc","rural","lowland",-37.8902533554933,176.641406111206
"pikowai trib at pikowai rd","HM958955","ebop-00136",FALSE,"bay of plenty","boprc","rural","lowland",-37.8954364237882,176.634317993186
"pokopoko at allport rd","FN962342","ebop-00158",FALSE,"bay of plenty","boprc","rural","lowland",-37.8673874306044,176.406076551462
"pongakawa at sh2","GN922883","ebop-00016",FALSE,"bay of plenty","boprc","rural","lowland",-37.8155217087343,176.512698416166
"pongakawa trib at rotoehu rd","GN947182","ebop-00138",FALSE,"bay of plenty","boprc","rural","lowland",-37.8785011548187,176.518487005035
"ponuiahine at waiotahe valley rd","MK704278","lawa-100499",FALSE,"bay of plenty","boprc","forest","lowland",-38.118242835778,177.186375815501
"puanene at sh2","GN561803","ebop-00140",FALSE,"bay of plenty","boprc","rural","lowland",-37.8239428509772,176.472108857223
"puarenga at hemo gorge entrance","EJ459985","ebop-00117",FALSE,"bay of plenty","boprc","forest","upland",-38.1743441623186,176.248792249875
"rangitaiki u/s murupara","IG296601","ebop-00222",FALSE,"bay of plenty","boprc","forest","upland",-38.4657383202214,176.701442553696
"rataroa trib at soldiers rd mci","CO548000","ebop-00196",FALSE,"bay of plenty","boprc","rural","lowland",-37.8187660330483,176.016127536238
"raukokore d/s sh35","SO988959","ebop-00210",FALSE,"bay of plenty","boprc","forest","lowland",-37.6701786465712,177.873107700075
"ruakaka at waiotahe valley rd","MK709674","lawa-100500",FALSE,"bay of plenty","boprc","forest","lowland",-38.0825993236717,177.184943012154
"ruruanga at prideaux park","IK438821","ebop-00150",FALSE,"bay of plenty","boprc","forest","lowland",-38.0856924845805,176.698437125447
"ruruanga at valley rd","IK358855","ebop-00151",FALSE,"bay of plenty","boprc","forest","lowland",-38.0829595284438,176.689101868119
"tahawai at 164 lindemann rd","BR574116","ebop-00161",FALSE,"bay of plenty","boprc","rural","lowland",-37.5410882817339,175.894589690661
"taipouri trib at above confluence","OK643836","lawa-100497",FALSE,"bay of plenty","boprc","forest","upland",-38.0599797976791,177.404019450065
"tarawera at lake outlet campsite","GJ671810","ebop-00223",FALSE,"bay of plenty","boprc","forest","upland",-38.1827885289788,176.501646950726
"tauranga at matahi valley rd","MI041147","lawa-100505",FALSE,"bay of plenty","boprc","forest","lowland",-38.3124365284492,177.121745020191
"tauranga at wardlaw glade","LK445461","ebop-10031",FALSE,"bay of plenty","boprc","forest","lowland",-38.1067352286889,177.042222589164
"te hiku o te tuna at ohope rd","LM438047","ebop-00180",FALSE,"bay of plenty","boprc","forest","lowland",-37.964198861801,177.033666467586
"te hiku o te tuna at opposite brown rd","LM411039","ebop-00202",FALSE,"bay of plenty","boprc","forest","lowland",-37.9650534643786,177.030550331285
"te mania at chard rd","BQ536514","ebop-00170",FALSE,"bay of plenty","boprc","rural","lowland",-37.5954031546565,175.892424880171
"te puna trib at 257 whakamaramara rd","CP556282","ebop-00194",FALSE,"bay of plenty","boprc","forest","lowland",-37.7033274624811,176.012290019307
"te rahu canal at sh30","KL246784","ebop-00132",FALSE,"bay of plenty","boprc","forest","lowland",-37.9923944910398,176.899470347107
"te rereatukahia at sapphire springs holiday park","BQ417600","ebop-00189",FALSE,"bay of plenty","boprc","forest","lowland",-37.5879460362261,175.878650259558
"te rereatukahia trib at tuahi track","BQ253452","ebop-00200",FALSE,"bay of plenty","boprc","forest","upland",-37.6017663213706,175.860587124246
"te toroa trib at sh30","FL834322","ebop-00152",FALSE,"bay of plenty","boprc","forest","upland",-38.0495416329831,176.399858372007
"tuapiro at woodland rd mci","BR592417","ebop-00225",FALSE,"bay of plenty","boprc","rural","lowland",-37.5139237931358,175.895586779695
"tuapiro at mcmillan rd","BR748451","ebop-10029",FALSE,"bay of plenty","boprc","forest","lowland",-37.5106652599268,175.913027253029
"tuapiro at woodland rd ford","BR418554","ebop-00188",FALSE,"bay of plenty","boprc","rural","lowland",-37.5021066918053,175.875484394462
"tunanui trib at burma rd","LL534603","ebop-00178",FALSE,"bay of plenty","boprc","forest","lowland",-38.0037866960216,177.04675462969
"tupapakurua at sh5","DL906092","ebop-00177",FALSE,"bay of plenty","boprc","rural","upland",-38.0764582505394,176.18136799862
"uretara at wharawhara rd","BQ696825","ebop-00163",FALSE,"bay of plenty","boprc","forest","lowland",-37.5669079064657,175.909433519699
"uretara at 300 rea rd","BQ420756","ebop-00164",FALSE,"bay of plenty","boprc","rural","lowland",-37.5741086419033,175.878162372953
"waewaetukuku at ohotu rd","RN028324","lawa-100482",FALSE,"bay of plenty","boprc","forest","upland",-37.8259954733393,177.660837004757
"waiari at roydon downs rd mci","GN068189","ebop-00114",FALSE,"bay of plenty","boprc","rural","lowland",-37.8807964772349,176.418686364045
"waiau at athenree lavender holiday park","BS847026","ebop-00167",FALSE,"bay of plenty","boprc","forest","lowland",-37.4583920456932,175.922243503992
"waiaua at waiaua rd","OL578360","ebop-00212",FALSE,"bay of plenty","boprc","rural","lowland",-38.013161134471,177.393777585903
"waihi at ocean view rd","BS963693","ebop-00166",FALSE,"bay of plenty","boprc","urban","lowland",-37.3979784159214,175.933029368019
"waiiti at sh30 mci","GL498258","ebop-00154",FALSE,"bay of plenty","boprc","urban","upland",-38.0531211698546,176.475754275288
"waiiti at sh35","SO393936","ebop-00173",FALSE,"bay of plenty","boprc","rural","lowland",-37.6749735719721,177.806010179926
"waikakariki u/s sh35","RN204576","lawa-100483",FALSE,"bay of plenty","boprc","forest","lowland",-37.8025502754558,177.679279367434
"waikakariki at sh35","RN083586","lawa-100484",FALSE,"bay of plenty","boprc","forest","lowland",-37.802211309773,177.665603895887
"waikamihi at braemar rd","IM914232","ebop-00112",FALSE,"bay of plenty","boprc","rural","lowland",-37.9570844367008,176.746091932989
"waikanapiti at rotoma forest","HK702919","ebop-00115",FALSE,"bay of plenty","boprc","forest","upland",-38.0795259905299,176.614155946389
"waikokoi at no. 4 rd mci","FO000114","ebop-00108",FALSE,"bay of plenty","boprc","forest","lowland",-37.8010797579298,176.293728369445
"waingaehe u/s sh30","FK019522","ebop-00079",FALSE,"bay of plenty","boprc","forest","upland",-38.124170673116,176.310408482322
"wainui-te-whara at king st","KM983036","ebop-00131",FALSE,"bay of plenty","boprc","urban","lowland",-37.9670081759162,176.981959686315
"wainui-te-whara at toi track bridge","LM085075","ebop-00129",FALSE,"bay of plenty","boprc","urban","lowland",-37.9630341169815,176.993417951129
"wainui-te-whara at toi track bridge upper","LL146987","ebop-00130",FALSE,"bay of plenty","boprc","forest","lowland",-37.9707647330585,177.000766920768
"wainui at te kooti rd","LL693306","ebop-00176",FALSE,"bay of plenty","boprc","rural","lowland",-38.0298195649959,177.066260758123
"wainui at tim rd","BP982240","ebop-00182",FALSE,"bay of plenty","boprc","forest","upland",-37.7087967533183,175.947458131653
"waioeka at historic tauranga bridge","NJ664263","ebop-00214",FALSE,"bay of plenty","boprc","forest","lowland",-38.2054393870475,177.301020340523
"waiohewa at rangiteaorere rd","FL165008","ebop-00153",FALSE,"bay of plenty","boprc","rural","upland",-38.0799981343029,176.325100023538
"waioho at titoki rd","KL808737","ebop-00157",FALSE,"bay of plenty","boprc","rural","lowland",-37.9944815581702,176.963584695068
"waioraka at welcome bay rd","EO176958","ebop-00183",FALSE,"bay of plenty","boprc","urban","lowland",-37.7276759389758,176.197080668214
"wairoa at tarawera rd","FJ355541","ebop-00144",FALSE,"bay of plenty","boprc","rural","upland",-38.2114016683914,176.35271394557
"waitahanui at d/s campbell rd","HM600703","ebop-00137",FALSE,"bay of plenty","boprc","forest","lowland",-37.9194018980126,176.594684997449
"waitawake u/s sh35","UP046782","ebop-00204",FALSE,"bay of plenty","boprc","forest","lowland",-37.5912512946111,177.987661824771
"waitawake at sh35","UP025805","ebop-00172",FALSE,"bay of plenty","boprc","rural","lowland",-37.5892320588131,177.985161697984
"waitekohe at thompson's track upper","BQ292188","ebop-00198",FALSE,"bay of plenty","boprc","forest","upland",-37.6253881511138,175.865945104396
"waiwhakatoitoi at  thompson rd","NL123604","ebop-00174",FALSE,"bay of plenty","boprc","rural","lowland",-37.9973353918319,177.227274492033
"whanarua at sh35","SO234840","ebop-00205",FALSE,"bay of plenty","boprc","forest","lowland",-37.684301239125,177.788607889751
"whangaparaoa at sh35","UP340931","ebop-00209",FALSE,"bay of plenty","boprc","forest","lowland",-37.5764806360243,178.01993693279
"whirinaki d/s whirinaki rd","IG675465","ebop-00221",FALSE,"bay of plenty","boprc","forest","upland",-38.4765436664172,176.745436639765
"youngson at plummers rd","CP489557","ebop-00192",FALSE,"bay of plenty","boprc","rural","lowland",-37.6787869671077,176.003689731685
"youngson at waipapa block rd","CP435708","ebop-00191",FALSE,"bay of plenty","boprc","rural","lowland",-37.6653682685888,175.997061746798
"lower farm stream mt white rd","SQ00011","lawa-100399",FALSE,"canterbury","ecan","forest","upland",-43.0015267458466,171.809082621004
"andrews stream mt white rd","SQ00013","lawa-100400",FALSE,"canterbury","ecan","rural","upland",-42.99175354447,171.794065138906
"slovens stream craigieburn rd","SQ00015","lawa-100401",FALSE,"canterbury","ecan","rural","upland",-43.0948196779326,171.849931357423
"kaiapoi river heywards rd","SQ00018","lawa-100402",FALSE,"canterbury","ecan","rural","lowland",-43.4136293444791,172.590335700081
"ohoka stream bradley's rd","SQ00027","lawa-100479",FALSE,"canterbury","ecan","urban","lowland",-43.3603439638717,172.57119023644
"saltwater creek toppings road","SQ00028","lawa-100403",FALSE,"canterbury","ecan","rural","lowland",-43.2561378980469,172.66911871467
"silverstream lincoln-leeston road","SQ00034","lawa-100404",FALSE,"canterbury","ecan","rural","lowland",-43.6759021003254,172.389673808279
"styx river styx mill reserve","SQ00035","lawa-100405",FALSE,"canterbury","ecan","rural","lowland",-43.4625967026844,172.603574429843
"limestone stream claverly road","SQ00046","lawa-100406",FALSE,"canterbury","ecan","forest","lowland",-42.6096683481996,173.45777935669
"oaro river upstream sh1","SQ00049","lawa-100407",FALSE,"canterbury","ecan","rural","lowland",-42.5158119688008,173.501090968649
"hanmer river hanmer road","SQ00059","lawa-100408",FALSE,"canterbury","ecan","rural","upland",-42.5776472899607,172.789907445203
"waitohi river lake sumner rd","SQ00060","lawa-100409",FALSE,"canterbury","ecan","rural","upland",-42.856008716089,172.528786818605
"dudley creek corner banks ave and north parade rd","SQ00063","lawa-100410",FALSE,"canterbury","ecan","urban","lowland",-43.5104116382142,172.663551309176
"boyle river sh7","SQ00069","lawa-100411",FALSE,"canterbury","ecan","forest","upland",-42.5146840309983,172.385529674736
"hope river sh7","SQ00070","lawa-100412",FALSE,"canterbury","ecan","rural","upland",-42.5882771368727,172.450633988176
"kaituna stream kaituna valley rd","SQ00102","lawa-100413",FALSE,"canterbury","ecan","rural","lowland",-43.726032422846,172.709013577169
"peraki creek peraki rd","SQ00105","lawa-100414",FALSE,"canterbury","ecan","rural","lowland",-43.8543378048182,172.824900734076
"okuti river okuti valley rd","SQ00106","lawa-100415",FALSE,"canterbury","ecan","rural","lowland",-43.7863998667459,172.807600511111
"little akaloa stream akaloa rd","SQ00111","lawa-100416",FALSE,"canterbury","ecan","rural","lowland",-43.6898938468625,172.971543083983
"pigeon bay stream pigeon bay rd","SQ00113","lawa-100417",FALSE,"canterbury","ecan","rural","lowland",-43.6993749742079,172.896875669259
"ashburton river north branch sh72","SQ00120","ecan-00020",FALSE,"canterbury","ecan","rural","upland",-43.6107783770533,171.538793688942
"smite river lake heron station","SQ00122","lawa-100418",FALSE,"canterbury","ecan","rural","upland",-43.4236846520662,171.193561956797
"trib of stour upstream confluence stour river","SQ00126","lawa-100419",FALSE,"canterbury","ecan","rural","upland",-43.6315500812202,171.271650737043
"avon river victoria square","SQ00128","lawa-100420",FALSE,"canterbury","ecan","urban","lowland",-43.5280737868902,172.634878382016
"avon river at ucsa","SQ00129","lawa-100421",FALSE,"canterbury","ecan","urban","lowland",-43.5244804853371,172.581413385167
