"LAWAID","Parameter","Year","Median"
"ebop-00099","Secchi",2019,8.4
"ebop-00099","TLI",2019,3.0190206917554
"ebop-00099","TN",2019,91
"ebop-00099","TP",2019,22
"ebop-00100","CHLA",2019,1.9
"ebop-00100","NH4N",2019,0.002
"ebop-00100","pH",2019,7.1
"ebop-00100","Secchi",2019,7.55
"ebop-00100","TLI",2019,2.74876914669702
"ebop-00100","TN",2019,170.5
"ebop-00100","TP",2019,4
"ecan-00325","CHLA",2019,25.5
"ecan-00325","ECOLI",2019,24.5
"ecan-00325","NH4N",2019,0.005
"ecan-00325","pH",2019,7.725
"ecan-00325","TLI",2019,6.57651876846468
"ecan-00325","TN",2019,1830
"ecan-00325","TP",2019,250
"ecan-00326","TLI",2019,2.02631709966853
"ecan-00327","TLI",2019,2.60322977063365
"ecan-00328","TLI",2019,2.70039379660923
"ecan-00329","TLI",2019,3.46040033431151
"ecan-00330","TLI",2019,3.94542919716685
"ecan-00331","TLI",2019,3.62711964870809
"ecan-00332","TLI",2019,3.01434882020297
"ecan-00333","TLI",2019,3.45850017236756
"ecan-00334","CHLA",2019,77
"ecan-00334","ECOLI",2019,5
"ecan-00334","NH4N",2019,0.015
"ecan-00334","pH",2019,8.36
"ecan-00334","Secchi",2019,0.1
"ecan-00334","TLI",2019,6.94884717856669
"ecan-00334","TN",2019,2300
"ecan-00334","TP",2019,220
"ecan-00335","TLI",2019,3.08377021240779
"ecan-00336","TLI",2019,1.47397263759327
"ecan-00337","TLI",2019,4.08618053228212
"ecan-00338","TLI",2019,3.06172087177102
"ecan-00339","TLI",2019,2.95259464100229
"ecan-00340","TLI",2019,3.10750794316789
"ecan-00341","TLI",2019,3.00796682001755
"ecan-00342","TLI",2019,4.61131736585929
"ecan-00343","TLI",2019,3.33510024893836
"ecan-00344","TLI",2019,3.85386609695079
"ecan-00345","TLI",2019,1.38430617516983
"ecan-00346","TLI",2019,1.60170559688303
"ecan-00347","CHLA",2019,30
"ecan-00347","ECOLI",2019,9
"ecan-00347","NH4N",2019,0.15
"ecan-00347","pH",2019,7.8
"ecan-00347","TLI",2019,5.84347927657315
"ecan-00347","TN",2019,830
"ecan-00347","TP",2019,80
"ecan-00348","CHLA",2019,1.75
"ecan-00348","ECOLI",2019,192
"ecan-00348","NH4N",2019,0.028
"ecan-00348","pH",2019,7.5
"ecan-00348","TLI",2019,4.25088214086446
"ecan-00348","TN",2019,1640
"ecan-00348","TP",2019,8
"ecan-00349","TLI",2019,1.82289608380285
"ecan-00351","TLI",2019,5.52635182257321
"ecan-00354","TLI",2019,1.83180355285883
"ecan-00355","TLI",2019,1.49925873035477
"ecan-00357","TLI",2019,3.94123722273892
"ecan-00358","TLI",2019,4.08297481405656
"ecan-00359","TLI",2019,3.93879133335484
"ecan-00363","TLI",2019,7.63585177431932
"ecan-00367","TLI",2019,2.52612681454998
"ecan-00368","TLI",2019,1.74450392717245
"ecan-00369","CHLA",2019,73
"ecan-00369","ECOLI",2019,5
"ecan-00369","NH4N",2019,0.019
"ecan-00369","pH",2019,8.49
"ecan-00369","Secchi",2019,0.1
"ecan-00369","TLI",2019,6.83591116035552
"ecan-00369","TN",2019,2200
"ecan-00369","TP",2019,176
"ecan-00370","CHLA",2019,70
"ecan-00370","ECOLI",2019,20
"ecan-00370","NH4N",2019,0.015
"ecan-00370","pH",2019,8.455
"ecan-00370","Secchi",2019,0.1
"ecan-00370","TLI",2019,6.84961489702832
"ecan-00370","TN",2019,2300
"ecan-00370","TP",2019,186
"ecan-00371","CHLA",2019,67
"ecan-00371","ECOLI",2019,5
"ecan-00371","NH4N",2019,0.018
"ecan-00371","pH",2019,8.45
"ecan-00371","Secchi",2019,0.1
"ecan-00371","TLI",2019,6.76257075173135
"ecan-00371","TN",2019,2200
"ecan-00371","TP",2019,189
"ecan-00372","CHLA",2019,25
"ecan-00372","ECOLI",2019,206
"ecan-00372","NH4N",2019,0.05
"ecan-00372","pH",2019,7.915
"ecan-00372","Secchi",2019,0.19
"ecan-00372","TLI",2019,6.36193588302122
"ecan-00372","TN",2019,1440
"ecan-00372","TP",2019,143
"es-000142","CHLA",2019,1.75
"es-000142","ECOLI",2019,12
"es-000142","Secchi",2019,1.2
"es-000142","TLI",2019,4.36727952796244
"es-000142","TN",2019,800
"es-000142","TP",2019,29
"es-000157","CHLA",2019,1.4
"es-000157","ECOLI",2019,19
"es-000157","Secchi",2019,1.45
"es-000157","TLI",2019,4.18993795869877
"es-000157","TN",2019,740
"es-000157","TP",2019,26
"es-000158","CHLA",2019,1.5
"es-000158","ECOLI",2019,11
"es-000158","Secchi",2019,1.2
"es-000158","TLI",2019,4.401406631901
"es-000158","TN",2019,770
"es-000158","TP",2019,28
"es-000159","CHLA",2019,1.95
"es-000159","ECOLI",2019,20
"es-000159","Secchi",2019,1.05
"es-000159","TLI",2019,4.7448749975291
"es-000159","TN",2019,820
"es-000159","TP",2019,36.5
"es-00144","CHLA",2019,3.2
"es-00144","ECOLI",2019,42.5
"es-00144","NH4N",2019,0.005
"es-00144","pH",2019,7.4
"es-00144","TLI",2019,4.82753656679847
"es-00144","TN",2019,520
"es-00144","TP",2019,22.5
"ew-00142","CHLA",2019,92
"ew-00142","NH4N",2019,0.01
"ew-00142","pH",2019,7.6
"ew-00142","Secchi",2019,0.33
"ew-00142","TLI",2019,6.59222992938489
"ew-00142","TN",2019,2202
"ew-00142","TP",2019,132
"ew-00143","CHLA",2019,4
"ew-00143","NH4N",2019,0.34
"ew-00143","pH",2019,4.8
"ew-00143","Secchi",2019,0.41
"ew-00143","TLI",2019,5.43761496778964
"ew-00143","TN",2019,2154
"ew-00143","TP",2019,30
"ew-00144","CHLA",2019,3
"ew-00144","NH4N",2019,0.01
"ew-00144","pH",2019,7.5
"ew-00144","Secchi",2019,3.18
"ew-00144","TLI",2019,3.9361517449872
"ew-00144","TN",2019,338
"ew-00144","TP",2019,12
"ew-00145","CHLA",2019,11
"ew-00145","NH4N",2019,0.093
"ew-00145","pH",2019,7.3
"ew-00145","Secchi",2019,1.42
"ew-00145","TLI",2019,4.91785593324989
"ew-00145","TN",2019,1146
"ew-00145","TP",2019,20
"ew-00146","CHLA",2019,27
"ew-00146","NH4N",2019,0.0105
"ew-00146","pH",2019,8.1
"ew-00146","Secchi",2019,0.39
"ew-00146","TLI",2019,5.78017008852374
"ew-00146","TN",2019,1135
"ew-00146","TP",2019,50.5
"ew-00147","CHLA",2019,63
"ew-00147","NH4N",2019,0.01
"ew-00147","pH",2019,7.9
"ew-00147","Secchi",2019,0.19
"ew-00147","TLI",2019,6.58084645473717
"ew-00147","TN",2019,1894
"ew-00147","TP",2019,111.5
"ew-00149","CHLA",2019,12
"ew-00149","NH4N",2019,0.025
"ew-00149","pH",2019,7.2
"ew-00149","Secchi",2019,1.385
"ew-00149","TLI",2019,5.09074554215143
"ew-00149","TN",2019,1310
"ew-00149","TP",2019,24
"ew-00150","CHLA",2019,12
"ew-00150","NH4N",2019,0.02
"ew-00150","pH",2019,7.1
"ew-00150","Secchi",2019,0.955
"ew-00150","TLI",2019,5.07064081216336
"ew-00150","TN",2019,1004
"ew-00150","TP",2019,31
"ew-00151","CHLA",2019,118.5
"ew-00151","NH4N",2019,0.01
"ew-00151","pH",2019,9.1
"ew-00151","Secchi",2019,0.16
"ew-00151","TLI",2019,6.74586021884744
"ew-00151","TN",2019,2906.5
"ew-00151","TP",2019,136.5
"gw-00257","CHLA",2019,15
"gw-00257","NH4N",2019,0.01
"gw-00257","Secchi",2019,0.52
"gw-00257","TLI",2019,4.77298645078443
"gw-00257","TN",2019,510
"gw-00257","TP",2019,31
"gw-00258","CHLA",2019,9.5
"gw-00258","NH4N",2019,0.005
"gw-00258","Secchi",2019,0.25
"gw-00258","TLI",2019,5.26720589089686
"gw-00258","TN",2019,485
"gw-00258","TP",2019,56
"gw-00262","CHLA",2019,8.5
"gw-00262","NH4N",2019,0.005
"gw-00262","Secchi",2019,0.3
"gw-00262","TLI",2019,5.22681794740318
"gw-00262","TN",2019,490
"gw-00262","TP",2019,38
"gw-00263","CHLA",2019,9
"gw-00263","NH4N",2019,0.005
"gw-00263","Secchi",2019,0.23
"gw-00263","TLI",2019,5.17704518779607
"gw-00263","TN",2019,480
"gw-00263","TP",2019,56
"hbrc-00170","TLI",2019,3.81222129988199
"hbrc-00171","ECOLI",2019,3
"hbrc-00171","pH",2019,7.9
"hbrc-00171","Secchi",2019,2.2
"hbrc-00171","TLI",2019,5.28258988608015
"hbrc-00171","TN",2019,850
"hbrc-00171","TP",2019,52
"hbrc-00172","TLI",2019,2.60943427389999
"hbrc-00173","TLI",2019,3.14912504843696
"hbrc-00176","ECOLI",2019,1
"hbrc-00176","pH",2019,8.1
"hbrc-00176","Secchi",2019,3
"hbrc-00176","TLI",2019,4.50319875588954
"hbrc-00176","TN",2019,480
"hbrc-00176","TP",2019,24
"hrc-00329","TLI",2019,5.67520949586309
"hrc-00331","TLI",2019,5.6241587190818
"hrc-00332","TLI",2019,6.79022152695314
"hrc-00333","CHLA",2019,25
"hrc-00333","ECOLI",2019,8
"hrc-00333","NH4N",2019,0.025
"hrc-00333","TLI",2019,6.75248442920727
"hrc-00333","TN",2019,2815
"hrc-00333","TP",2019,112.5
"hrc-00335","TLI",2019,5.37205737911817
"hrc-00337","TLI",2019,5.11531809547881
"hrc-00339","TLI",2019,5.37773006256427
"hrc-00342","TLI",2019,6.71132175243321
"lawa-100207","CHLA",2019,9.45
"lawa-100207","ECOLI",2019,10
"lawa-100207","NH4N",2019,0.005
"lawa-100207","pH",2019,7.5
"lawa-100207","Secchi",2019,1.35
"lawa-100207","TLI",2019,4.6815482177284
"lawa-100207","TN",2019,570
"lawa-100207","TP",2019,29
"lawa-100208","CHLA",2019,9
"lawa-100208","ECOLI",2019,10
"lawa-100208","NH4N",2019,0.005
"lawa-100208","pH",2019,7.5
"lawa-100208","Secchi",2019,1.39
"lawa-100208","TLI",2019,4.63198391956885
"lawa-100208","TN",2019,595
"lawa-100208","TP",2019,29
"lawa-100209","TLI",2019,4.39543865961041
"lawa-100210","TLI",2019,4.46069250626225
"lawa-100211","TLI",2019,1.63553282277186
"lawa-100213","TLI",2019,1.7336376615467
"lawa-100215","CHLA",2019,4.75
"lawa-100215","ECOLI",2019,145
"lawa-100215","NH4N",2019,0.005
"lawa-100215","pH",2019,7.4
"lawa-100215","TLI",2019,5.00444196069964
"lawa-100215","TN",2019,550
"lawa-100215","TP",2019,27.5
"lawa-100250","TLI",2019,5.88999769894683
"lawa-100263","TLI",2019,1.75076196900162
"lawa-100264","TLI",2019,1.81507138011545
"lawa-100266","TLI",2019,1.81949237920665
"lawa-101983","TLI",2019,3.87853904658822
"lawa-101984","CHLA",2019,27.5
"lawa-101984","ECOLI",2019,68.5
"lawa-101984","pH",2019,8.03
"lawa-101985","CHLA",2019,26.5
"lawa-101985","ECOLI",2019,17.5
"lawa-101985","pH",2019,8.29
"lawa-102219","TLI",2019,3.99942321729226
"lawa-102220","CHLA",2019,3.2
"lawa-102220","ECOLI",2019,10
"lawa-102220","NH4N",2019,0.005
"lawa-102220","pH",2019,7.6
"lawa-102220","TLI",2019,4.51535453804473
"lawa-102220","TN",2019,495
"lawa-102220","TP",2019,21
"lawa-102221","TLI",2019,4.25520724495073
"lawa-102303","CHLA",2019,40
"lawa-102303","NH4N",2019,0.02
"lawa-102303","pH",2019,7.1
"lawa-102303","Secchi",2019,0.95
"lawa-102303","TLI",2019,5.71282062693361
"lawa-102303","TN",2019,1343
"lawa-102303","TP",2019,80
"lawa-102304","CHLA",2019,35
"lawa-102304","NH4N",2019,0.034
"lawa-102304","pH",2019,6.7
"lawa-102304","Secchi",2019,0.4
"lawa-102304","TLI",2019,6.16775210321669
"lawa-102304","TN",2019,2406
"lawa-102304","TP",2019,100
"lawa-102305","CHLA",2019,39
"lawa-102305","NH4N",2019,0.01
"lawa-102305","pH",2019,7.1
"lawa-102305","Secchi",2019,0.745
"lawa-102305","TLI",2019,5.9543574926287
"lawa-102305","TN",2019,1382
"lawa-102305","TP",2019,95
"lawa-102308","TLI",2019,6.08089055147701
"nrc-00095","CHLA",2019,3.7
"nrc-00095","NH4N",2019,0.017
"nrc-00095","Secchi",2019,0.9
"nrc-00095","TLI",2019,4.59676746313345
"nrc-00095","TN",2019,440
"nrc-00095","TP",2019,33
"orc-00027","CHLA",2019,1.2
"orc-00027","ECOLI",2019,5
"orc-00027","NH4N",2019,0.005
"orc-00027","pH",2019,7.85
"orc-00027","TLI",2019,2.19988434925978
"orc-00027","TN",2019,70
"orc-00027","TP",2019,7
"orc-00028","CHLA",2019,0.98
"orc-00028","ECOLI",2019,5
"orc-00028","NH4N",2019,0.005
"orc-00028","pH",2019,7.7
"orc-00028","TLI",2019,1.8136599404157
"orc-00028","TN",2019,42
"orc-00028","TP",2019,15
"orc-00031","CHLA",2019,4.9
"orc-00031","ECOLI",2019,5
"orc-00031","NH4N",2019,0.006
"orc-00031","pH",2019,8.25
"orc-00031","TLI",2019,4.45330511079007
"orc-00031","TN",2019,290
"orc-00031","TP",2019,28
"orc-00033","CHLA",2019,12.5
"orc-00033","ECOLI",2019,5
"orc-00033","NH4N",2019,0.015
"orc-00033","pH",2019,8.25
"orc-00033","TLI",2019,5.41159112443873
"orc-00033","TN",2019,935
"orc-00033","TP",2019,47
"orc-00034","CHLA",2019,1.6
"orc-00034","ECOLI",2019,2
"orc-00034","NH4N",2019,0.005
"orc-00034","pH",2019,6.8
"orc-00034","TLI",2019,3.55847479520085
"orc-00034","TN",2019,240
"orc-00034","TP",2019,21
"orc-00035","CHLA",2019,0.0039
"orc-00035","ECOLI",2019,6.6
"orc-00035","NH4N",2019,0.00775
"orc-00035","pH",2019,7.7
"orc-00035","TLI",2019,5.16716487026662
"orc-00035","TN",2019,330
"orc-00035","TP",2019,36.3
"orc-00036","CHLA",2019,5.2
"orc-00036","ECOLI",2019,29
"orc-00036","NH4N",2019,0.007
"orc-00036","pH",2019,7.5
"orc-00036","TLI",2019,4.67504663074691
"orc-00036","TN",2019,460
"orc-00036","TP",2019,42
"orc-00037","CHLA",2019,0.98
"orc-00037","ECOLI",2019,5
"orc-00037","NH4N",2019,0.005
"orc-00037","pH",2019,7.7
"orc-00037","TLI",2019,1.88386699413394
"orc-00037","TN",2019,45.5
"orc-00037","TP",2019,2.5
"orc-00038","CHLA",2019,1.15
"orc-00038","ECOLI",2019,5
"orc-00038","NH4N",2019,0.005
"orc-00038","pH",2019,7.9
"orc-00038","TLI",2019,2.15775791951656
"orc-00038","TN",2019,61
"orc-00038","TP",2019,25
"trc-00051","NH4N",2019,0.005
"trc-00051","pH",2019,7.2
"trc-00051","TLI",2019,4.1799698440331
"trc-00051","TN",2019,715
"trc-00051","TP",2019,20
"trc-00053","NH4N",2019,0.022
"trc-00053","pH",2019,7.2
"trc-00053","TLI",2019,4.40866726638897
"trc-00053","TN",2019,735
"trc-00053","TP",2019,27.5
"wcrc-00064","CHLA",2019,0.9
"wcrc-00064","NH4N",2019,0.005
"wcrc-00064","Secchi",2019,6.3
"wcrc-00064","TLI",2019,2.7536679794793
"wcrc-00064","TN",2019,220.5
"wcrc-00064","TP",2019,6
"wcrc-00065","CHLA",2019,1.6
"wcrc-00065","NH4N",2019,0.0185
"wcrc-00065","Secchi",2019,5.36
"wcrc-00065","TLI",2019,3.13334110472721
"wcrc-00065","TN",2019,222.5
"wcrc-00065","TP",2019,8
"wcrc-00067","CHLA",2019,1.5
"wcrc-00067","NH4N",2019,0.022
"wcrc-00067","Secchi",2019,2.11
"wcrc-00067","TLI",2019,3.72408500251072
"wcrc-00067","TN",2019,358
"wcrc-00067","TP",2019,14
