"LawaSiteID","Measurement","nMeasures","nFirstYear","nLastYear","numMonths","numQuarters","numYears","proportionNeeded","Observations","KWstat","pvalue","nObs","S","VarS","D","tau","Z","p","MKProbability","AnalysisNote","prop.censored","prop.unique","no.censorlevels","Median","Sen_VarS","AnnualSenSlope","Intercept","Lci","Uci","AnalysisNoteSS","Sen_Probability","Probabilitymax","Probabilitymin","Percent.annual.change","standard","ConfCat","period","frequency","Source","TrendScore"
"ECAN-00270","Electrical conductivity/salinity",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00270","Nitrate nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00297","Ammoniacal nitrogen",25,0,3,25,25,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=25/40  nY=7/10","Canterbury",NA
"ECAN-00297","Chloride",27,0,4,27,27,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=27/40  nY=7/10","Canterbury",NA
"ECAN-00297","Dissolved reactive phosphorus",25,0,4,25,25,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=25/40  nY=7/10","Canterbury",NA
"ECAN-00297","E.coli",27,0,4,27,27,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=27/40  nY=7/10","Canterbury",NA
"ECAN-00297","Electrical conductivity/salinity",27,0,4,27,27,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=27/40  nY=7/10","Canterbury",NA
"ECAN-00297","Nitrate nitrogen",27,0,4,27,27,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=27/40  nY=7/10","Canterbury",NA
"EW-00131","Ammoniacal nitrogen",12,1,2,12,12,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=12/40 nQinLY=2/4 ","Waikato",NA
"EW-00131","Chloride",12,1,2,12,12,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=12/40 nQinLY=2/4 ","Waikato",NA
"EW-00131","Dissolved reactive phosphorus",7,0,2,7,7,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=7/40 nQinLY=2/4 nY=5/10","Waikato",NA
"EW-00131","E.coli",3,0,0,3,3,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=3/40 nQinLY=0/4 nY=3/10","Waikato",NA
"EW-00131","Electrical conductivity/salinity",12,1,2,12,12,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=12/40 nQinLY=2/4 ","Waikato",NA
"EW-00131","Nitrate nitrogen",12,1,2,12,12,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=12/40 nQinLY=2/4 ","Waikato",NA
"EW-00132","Ammoniacal nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Waikato",NA
"EW-00132","Chloride",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Waikato",NA
"EW-00132","Dissolved reactive phosphorus",9,0,2,9,9,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=9/40 nQinLY=2/4 nY=5/10","Waikato",NA
"EW-00132","Electrical conductivity/salinity",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Waikato",NA
"EW-00132","Nitrate nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Waikato",NA
"GDC-00034","Ammoniacal nitrogen",22,3,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Gisborne",NA
"GDC-00034","Chloride",22,3,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Gisborne",NA
"GDC-00034","E.coli",19,0,1,19,19,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=19/40 nQinLY=1/4 ","Gisborne",NA
"GDC-00034","Electrical conductivity/salinity",22,3,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Gisborne",NA
"GDC-00034","Nitrate nitrogen",22,3,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Gisborne",NA
"GDC-00035","Ammoniacal nitrogen",32,6,2,30,25,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=25/40 nQinLY=2/4 ","Gisborne",NA
"GDC-00035","Chloride",43,4,2,38,29,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=29/40 nQinLY=2/4 ","Gisborne",NA
"GDC-00035","E.coli",5,0,2,5,5,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=5/40 nQinLY=2/4 nY=3/10","Gisborne",NA
"GDC-00035","Electrical conductivity/salinity",45,6,2,40,29,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=29/40 nQinLY=2/4 ","Gisborne",NA
"GDC-00035","Nitrate nitrogen",30,4,2,30,29,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=29/40 nQinLY=2/4 ","Gisborne",NA
"GW-00073","Ammoniacal nitrogen",40,4,4,40,39,10,0.75,39,2.37825008736038,0.497696203397746,39,8,6812,741,0.0107962213225371,0.0848126670427149,0.932410322983448,0.466205161491724,"ok",0,0.615384615384615,0,0.023,6812,0,0.023,-0.000412514913315241,0.00056480234650087,"WARNING: Sen slope influenced by censored values",0.466205161491724,0.553012860735875,0.380982127892533,0,NA,"Indeterminate",10,"quarterly","Wellington",0
"GW-00073","Chloride",40,4,4,40,39,10,0.75,39,0.192984504351505,0.978713813606734,39,16,6489.33333333333,741,0.0215924426450742,0.186204948162936,0.852284043748462,0.426142021874231,"ok",0,0.358974358974359,0,37.5479,6489.33333333333,0,37.5479,-0.000837273138929123,0.0740853084981567,"WARNING: Sen slope influenced by censored values",0.426142021874231,0.895039006846963,0.0519546341016253,0,NA,"Indeterminate",10,"quarterly","Wellington",0
"GW-00073","Dissolved reactive phosphorus",40,4,4,40,39,10,0.75,39,1.18736094221501,0.756037248685276,39,-91,6822.33333333333,741,-0.12280701754386,-1.08962244845536,0.275879490320448,0.862060254839776,"ok",0,0.794871794871795,0,0.147,6822.33333333333,-0.000936003296703297,0.151446015659341,-0.00235541694593215,0.00048731534785837,"WARNING: Sen slope influenced by censored values",0.867325285352917,0.889297098733626,0.842521245897735,-0.636736936532855,NA,"Likely improving",10,"quarterly","Wellington",1
"GW-00073","E.coli",40,4,4,40,39,10,0.75,39,2.89999999999983,0.407301567035976,39,NA,NA,NA,NA,NA,NA,NA,"< 3 unique values",0.974358974358974,0.0512820512820513,1,NA,NA,NA,NA,NA,NA,"< 3 unique values",NA,NA,NA,NA,NA,NA,10,"quarterly","Wellington",NA
"GW-00073","Electrical conductivity/salinity",40,4,4,40,39,10,0.75,39,1.89453518233178,0.594582135125821,39,128,6716.66666666667,741,0.172739541160594,1.54962574525987,0.121231369936141,0.0606156849680703,"ok",0,0.41025641025641,0,283,6716.66666666667,0.238413838120104,281.867534268929,0,0.581070045769127,"WARNING: Sen slope influenced by censored values",0.0606156849680703,0.206815921063057,0.0112525720890085,0.0842451724806023,NA,"Very likely degrading",10,"quarterly","Wellington",-2
"GW-00073","Nitrate nitrogen",40,4,4,40,39,10,0.75,39,1.01904710882531,0.79664325220076,39,NA,NA,NA,NA,NA,NA,NA,"< 5 Non-censored values",0.923076923076923,0.102564102564103,1,0.005,NA,NA,NA,NA,NA,"< 5 Non-censored values",NA,NA,NA,NA,NA,NA,10,"quarterly","Wellington",NA
"GW-00076","Ammoniacal nitrogen",39,4,4,39,39,10,0.75,39,2.89999999999983,0.407301567035976,39,NA,NA,NA,NA,NA,NA,NA,"< 3 unique values",0.974358974358974,0.0512820512820513,1,NA,NA,NA,NA,NA,NA,"< 3 unique values",NA,NA,NA,NA,NA,NA,10,"quarterly","Wellington",NA
"GW-00076","Chloride",39,4,4,39,39,10,0.75,39,4.04344826033611,0.256810561968644,39,-125,6825,741,-0.168690958164642,-1.50096428101863,0.133364800416711,0.933317599791645,"ok",0,0.82051282051282,0,13.4,6825,-0.122131183469004,13.9801231214778,-0.240024555156821,0.00765219587985026,"WARNING: Sen slope influenced by censored values",0.936392071107791,0.946290727218679,0.925128739112704,-0.911426742306003,NA,"Very likely improving",10,"quarterly","Wellington",2
"GW-00076","Dissolved reactive phosphorus",39,4,4,39,39,10,0.75,39,17.8548894660895,0.000471222748509965,39,8,423.333333333333,171,0.0467836257309941,0.340217623729376,0.733692647149438,0.366846323574719,"ok",0,0.435897435897436,0,0.019,423.333333333333,0,0.019,-4.98577196140897e-06,0.000167752694904306,"WARNING: Sen slope based on tied non-censored values",0.366846323574719,0.822113063600188,0.0543699131712629,0,NA,"Indeterminate",10,"quarterly","Wellington",0
"GW-00076","E.coli",39,4,4,39,39,10,0.75,39,4.33796829971181,0.227206548826974,39,70,4462,741,0.0944669365721997,1.03296191085555,0.301621723857245,0.150810861928623,"ok",0.666666666666667,0.205128205128205,1,0.25,4762,0,0.25,0,0,"WARNING: Sen slope influenced by censored values",0.158680663017304,0.999938527040944,2.61056709966732e-09,0,NA,"Likely degrading",10,"quarterly","Wellington",-1
"GW-00076","Electrical conductivity/salinity",39,4,4,39,39,10,0.75,39,7.86837867443621,0.0488117032453773,39,6,464,171,0.0350877192982456,0.232119172721315,0.81644545383725,0.408222726918625,"ok",0,0.58974358974359,0,127,464,0.100343406593401,126.523368818681,-0.431879854372229,0.500490451632368,"ok",0.408222726918625,0.444617803603163,0.372603083631071,0.0790105563727566,NA,"Indeterminate",10,"quarterly","Wellington",0
"GW-00076","Nitrate nitrogen",39,4,4,39,39,10,0.75,39,6.8697138458752,0.0761684333225661,39,-93,6780.33333333333,741,-0.125506072874494,-1.11728072060814,0.263874316126517,0.868062841936741,"ok",0,0.641025641025641,0,2.3,6780.33333333333,-0.0286470588235294,2.43607352941176,-0.0667707586574421,0.00608192820003608,"WARNING: Sen slope influenced by censored values",0.873183481914356,0.935498404193175,0.777892334804661,-1.24552429667519,NA,"Likely improving",10,"quarterly","Wellington",1
"GW-00077","Ammoniacal nitrogen",40,4,4,40,38,10,0.75,38,4.64918768022578,0.199362901341498,38,87,6257.66666666667,703,0.12375533428165,1.08715692987109,0.276967461654548,0.138483730827274,"ok",0.0263157894736842,0.526315789473684,1,0.43023,6257.66666666667,0.0016187444842802,0.422743306760204,-0.000722665699626642,0.0047996563001396,"WARNING: Sen slope influenced by censored values",0.138483730827274,0.276207934273257,0.0570339750488793,0.376250955135672,NA,"Likely degrading",10,"quarterly","Wellington",-1
